Wavelength,Flux,Error
3502.32,-8.5701e-01,3.4995e+00
3503.10,-3.7362e+00,3.5784e+00
3503.87,-6.6877e+00,3.6053e+00
3504.65,1.1939e-01,3.5706e+00
3505.42,-4.1034e+00,3.5094e+00
3506.20,-5.3057e+00,3.5489e+00
3506.97,-3.8150e-02,3.4760e+00
3507.75,-4.7985e+00,3.4403e+00
3508.52,1.2053e-01,3.4000e+00
3509.30,-2.8638e-01,3.4294e+00
3510.07,-1.0328e-01,3.4281e+00
3510.85,-1.0141e-01,3.4048e+00
3511.62,1.6265e+00,3.7477e+00
3512.40,-1.7150e-01,3.8331e+00
3513.17,-5.8920e+00,3.8463e+00
3513.95,6.5049e-01,3.4275e+00
3514.72,-7.2972e-01,3.3639e+00
3515.50,6.2058e-01,3.3445e+00
3516.27,3.8822e+00,3.3448e+00
3517.05,-2.8569e+00,3.3069e+00
3517.82,-4.4902e+00,3.3104e+00
3518.60,-1.4039e+00,3.3486e+00
3519.37,5.7752e+00,3.2826e+00
3520.15,8.7363e-01,3.2571e+00
3520.92,-2.7367e+00,3.2546e+00
3521.69,-2.6563e+00,3.2559e+00
3522.47,-3.9301e-01,3.2614e+00
3523.24,4.8878e-01,3.2084e+00
3524.02,3.7787e+00,3.1750e+00
3524.79,4.3000e+00,3.1336e+00
3525.57,9.2863e-01,3.1682e+00
3526.34,3.0237e-01,3.2297e+00
3527.12,2.9376e+00,3.2567e+00
3527.89,7.0081e-01,3.2847e+00
3528.67,-5.3271e+00,3.2510e+00
3529.44,-2.7809e+00,3.1912e+00
3530.22,6.6377e+00,3.2482e+00
3530.99,-4.0078e+00,3.2582e+00
3531.77,2.9641e-01,3.1420e+00
3532.54,-3.4317e+00,3.1156e+00
3533.32,-1.2713e+00,3.1536e+00
3534.09,4.8559e+00,3.1474e+00
3534.87,-1.2210e+00,3.1079e+00
3535.64,2.1361e+00,3.1289e+00
3536.42,-2.9063e-01,3.1368e+00
3537.19,2.6276e+00,3.0748e+00
3537.97,2.2024e+00,3.1079e+00
3538.74,5.9847e-01,3.1407e+00
3539.52,1.6819e+00,3.1390e+00
3540.29,6.5623e+00,3.0955e+00
3541.07,-1.2293e+00,3.0672e+00
3541.84,-4.4029e+00,3.0816e+00
3542.61,2.8606e+00,3.0602e+00
3543.39,2.3065e+00,3.0671e+00
3544.16,1.0762e+00,3.0917e+00
3544.94,-1.4019e+00,3.0927e+00
3545.71,2.1611e+00,3.0719e+00
3546.49,1.9412e+00,3.0633e+00
3547.26,-1.7623e+00,3.0305e+00
3548.04,2.3839e+00,2.9892e+00
3548.81,-2.5128e+00,3.0788e+00
3549.59,-3.0497e+00,3.0999e+00
3550.36,9.8302e-01,3.0669e+00
3551.14,-2.5655e+00,3.0156e+00
3551.91,1.4948e+00,2.9634e+00
3552.69,2.5579e+00,2.9961e+00
3553.46,4.5232e+00,3.0220e+00
3554.24,5.0194e+00,3.0318e+00
3555.01,3.6913e+00,3.0315e+00
3555.79,1.4564e+00,3.0646e+00
3556.56,3.9930e+00,3.0508e+00
3557.34,7.3124e-01,3.0492e+00
3558.11,-1.4145e+00,2.9963e+00
3558.89,-1.2602e+00,2.9342e+00
3559.66,-2.4072e+00,2.9512e+00
3560.44,-7.4200e-01,2.8918e+00
3561.21,-3.2792e+00,2.8967e+00
3561.99,4.3127e+00,2.9151e+00
3562.76,3.8463e+00,2.9270e+00
3563.53,-7.4101e-01,2.9518e+00
3564.31,-3.3861e+00,2.9607e+00
3565.08,2.3075e+00,2.8563e+00
3565.86,2.7865e+00,2.7850e+00
3566.63,2.1605e+00,2.8044e+00
3567.41,3.4550e+00,2.8063e+00
3568.18,-2.6322e-01,2.8154e+00
3568.96,4.3330e+00,2.7987e+00
3569.73,3.5729e+00,2.8159e+00
3570.51,-1.5896e+00,2.8485e+00
3571.28,-2.6757e+00,2.8224e+00
3572.06,7.2357e-01,2.8360e+00
3572.83,-2.0229e+00,2.8007e+00
3573.61,-3.0388e+00,2.7867e+00
3574.38,-3.1285e-01,2.7866e+00
3575.16,5.6487e+00,2.7847e+00
3575.93,9.3575e-01,2.7547e+00
3576.71,-3.9132e-01,2.7390e+00
3577.48,-1.0691e+00,2.7283e+00
3578.26,-6.2659e+00,2.6710e+00
3579.03,-1.3291e+00,2.6425e+00
3579.81,3.2587e+00,2.6252e+00
3580.58,4.1565e+00,2.6251e+00
3581.36,8.4520e-01,2.6185e+00
3582.13,2.4939e+00,2.6372e+00
3582.91,4.4712e+00,2.6055e+00
