Wavelength,Flux,Error
3619.34,2.4776e+01,7.1936e+00
3620.12,1.8275e+01,7.4010e+00
3620.89,1.3095e+01,7.3163e+00
3621.67,-1.7485e+00,7.1010e+00
3622.44,-7.2834e+00,7.0785e+00
3623.22,-6.0273e+00,7.2180e+00
3623.99,1.6856e+01,7.2763e+00
3624.77,2.1340e+01,7.2319e+00
3625.54,1.9255e+01,7.2293e+00
3626.32,3.2640e+01,7.1999e+00
3627.09,1.6574e+01,7.2423e+00
3627.87,2.0697e+01,7.0698e+00
3628.64,3.6249e+01,6.9994e+00
3629.42,2.8612e+01,7.0264e+00
3630.19,1.5777e+01,6.9946e+00
3630.97,1.1727e+01,7.0572e+00
3631.74,-3.6291e+00,7.1212e+00
3632.52,-1.4268e+01,7.0914e+00
3633.29,9.6124e+00,7.3355e+00
3634.07,2.5218e+01,7.2578e+00
3634.84,1.6293e+01,7.1274e+00
3635.62,1.2968e+01,6.9750e+00
3636.39,1.0356e+01,6.9514e+00
3637.17,-9.5180e+00,6.9825e+00
3637.94,1.9791e+01,7.0085e+00
3638.72,2.2158e+01,6.9982e+00
3639.49,1.0004e+01,6.9956e+00
3640.27,8.8572e+00,6.9411e+00
3641.04,4.1979e-02,6.8541e+00
3641.82,2.5364e+00,6.8928e+00
3642.59,2.5196e+01,6.7947e+00
3643.37,2.8146e+01,6.7726e+00
3644.14,1.0772e+01,6.8292e+00
3644.92,8.9025e+00,6.7863e+00
3645.69,-3.3103e+00,6.7071e+00
3646.47,7.6221e+00,6.6883e+00
3647.24,3.1974e+01,6.6845e+00
3648.02,9.4658e+00,6.6126e+00
3648.79,2.4261e+01,6.7825e+00
3649.56,1.7325e+01,6.7131e+00
3650.34,-1.6123e+01,6.7030e+00
3651.11,-6.2191e+00,6.6872e+00
3651.89,1.8041e+01,6.6928e+00
3652.66,2.7819e+01,6.6409e+00
3653.44,2.2164e+01,6.6029e+00
3654.21,1.8477e+01,6.5658e+00
3654.99,-8.3571e+00,6.5552e+00
3655.76,2.3018e+01,6.4555e+00
3656.54,2.0872e+01,6.4964e+00
3657.31,1.4719e+01,6.5738e+00
3658.09,1.4559e+01,6.5779e+00
3658.86,1.1636e+01,6.5665e+00
3659.64,-1.3291e+01,6.6078e+00
3660.41,8.9673e+00,6.5470e+00
3661.19,2.0275e+01,6.4223e+00
3661.96,1.3708e+01,6.3150e+00
3662.74,2.8310e+01,6.3304e+00
3663.51,-9.2369e+00,6.2818e+00
3664.29,-9.6839e+00,6.2783e+00
3665.06,3.0085e+01,6.3005e+00
3665.84,3.1959e+01,6.3700e+00
3666.61,2.8467e+01,6.3458e+00
3667.39,2.4687e+01,6.2978e+00
3668.16,1.7009e+00,6.2978e+00
3668.94,-1.0187e+01,6.3026e+00
3669.71,1.7866e+01,6.2472e+00
3670.49,2.7906e+01,6.2126e+00
3671.26,1.8601e+01,6.1478e+00
3672.04,1.4476e+01,6.0483e+00
3672.81,1.6599e+01,6.1659e+00
3673.59,2.1663e+01,6.1081e+00
3674.36,1.9533e+01,6.0559e+00
3675.14,2.1852e+01,6.0115e+00
3675.91,2.1965e-01,5.9623e+00
3676.69,3.2283e+00,5.9349e+00
3677.46,-1.6188e+00,5.8998e+00
3678.24,9.3832e+00,5.9301e+00
3679.01,2.9699e+01,5.8832e+00
3679.79,1.4272e+01,5.8822e+00
3680.56,1.6458e+01,5.8624e+00
3681.34,1.2164e+01,5.8938e+00
3682.11,-1.2287e+01,6.0559e+00
3682.89,-4.2230e+00,6.0289e+00
3683.66,2.0466e+01,5.9250e+00
3684.44,2.2741e+01,5.7199e+00
3685.21,1.6494e+01,5.7458e+00
3685.99,3.6934e+00,5.7431e+00
3686.76,-7.4840e+00,5.7963e+00
3687.54,2.2955e+01,5.7731e+00
3688.31,3.2260e+01,5.6983e+00
3689.09,1.8635e+01,5.7349e+00
3689.86,1.3334e+01,5.7347e+00
3690.64,-2.5306e+00,5.6592e+00
3691.41,-1.0524e+01,5.6050e+00
3692.19,1.3131e+01,5.6122e+00
3692.96,2.3262e+01,5.6113e+00
3693.74,1.9955e+01,5.6093e+00
3694.51,8.7845e+00,5.6151e+00
3695.29,-4.9339e+00,5.5607e+00
3696.06,4.9582e+00,5.5072e+00
3696.84,2.1925e+01,5.4954e+00
3697.61,1.4520e+01,5.4360e+00
3698.39,1.7253e+01,5.4146e+00
3699.16,1.3851e+01,5.3809e+00
3699.94,2.0051e+00,5.3957e+00
3700.71,1.5233e+00,5.3902e+00
3701.49,2.8057e+01,5.2996e+00
3702.26,1.7079e+01,5.2507e+00
3703.04,1.3666e+01,5.2951e+00
3703.81,1.4643e+01,5.3076e+00
3704.59,1.0226e+01,5.2717e+00
3705.36,1.4794e+01,5.2186e+00
3706.14,3.5310e+01,5.2613e+00
3706.91,2.6741e+01,5.2753e+00
3707.69,1.0281e+01,5.1385e+00
3708.46,-3.0348e+00,5.0866e+00
3709.24,3.1501e+00,5.0638e+00
3710.01,1.9975e+01,5.0378e+00
3710.79,3.3481e+01,5.0408e+00
3711.56,2.3953e+01,5.0379e+00
3712.34,1.5506e+01,5.0098e+00
3713.11,4.2483e+00,5.0067e+00
3713.89,-2.4833e+00,4.9764e+00
3714.66,2.1508e+01,4.9436e+00
3715.44,1.7102e+01,4.9516e+00
3716.21,1.8757e+01,4.8855e+00
3716.99,1.8110e+01,4.8264e+00
3717.76,4.1639e+00,4.8445e+00
3718.54,6.3726e+00,4.8515e+00
3719.31,2.5151e+01,4.8297e+00
3720.09,1.6044e+01,4.8123e+00
3720.86,6.7413e+00,4.7775e+00
3721.64,9.0568e+00,4.7822e+00
3722.41,-1.4775e+00,4.7632e+00
3723.19,1.4725e+01,4.6919e+00
3723.96,1.8050e+01,4.6972e+00
3724.73,1.0948e+01,4.7199e+00
3725.51,7.4684e+00,4.6111e+00
3726.28,3.5019e+00,4.6171e+00
3727.06,7.2086e+00,4.6238e+00
3727.83,1.7760e+01,4.6455e+00
3728.61,2.1085e+01,4.5829e+00
3729.38,1.2260e+01,4.5624e+00
3730.16,3.8279e+00,4.5666e+00
3730.93,-2.5601e+00,4.5365e+00
3731.71,2.9036e-01,4.5280e+00
3732.48,1.3423e+01,4.5465e+00
3733.26,7.4682e+00,4.4972e+00
3734.03,1.4752e+01,4.4900e+00
3734.81,2.1670e+01,4.4837e+00
3735.58,8.9156e+00,4.4853e+00
3736.36,4.8251e+00,4.4393e+00
3737.13,1.6288e+01,4.4490e+00
3737.91,1.3446e+01,4.4514e+00
3738.68,1.3808e+01,4.3807e+00
3739.46,5.9785e+00,4.3408e+00
3740.23,-8.9799e+00,4.2880e+00
3741.01,1.3329e+00,4.2759e+00
3741.78,1.5321e+01,4.2660e+00
3742.56,1.2934e+01,4.3001e+00
3743.33,1.6337e+01,4.2468e+00
3744.11,7.0148e+00,4.2514e+00
3744.88,-8.3934e-01,4.2983e+00
3745.66,1.5665e+01,4.3014e+00
3746.43,2.2734e+01,4.2108e+00
3747.21,6.9080e+00,4.1987e+00
3747.98,5.5546e+00,4.2270e+00
3748.76,-4.4227e+00,4.1939e+00
3749.53,1.8113e+00,4.1793e+00
3750.31,2.0543e+01,4.1763e+00
3751.08,2.5390e+01,4.1537e+00
3751.86,2.3710e+01,4.1313e+00
3752.63,1.4085e+01,4.1298e+00
3753.41,1.6719e+00,4.1381e+00
3754.18,3.2551e+00,4.1249e+00
3754.96,2.3696e+01,4.0656e+00
3755.73,2.0347e+01,4.0695e+00
3756.51,7.8431e+00,4.0684e+00
3757.28,7.3313e+00,4.0191e+00
3758.06,3.1072e+00,3.9960e+00
3758.83,1.8215e+01,3.9646e+00
3759.61,2.6647e+01,3.9555e+00
3760.38,9.4598e+00,3.9264e+00
3761.16,1.5102e+01,3.9229e+00
3761.93,5.5058e+00,3.8840e+00
3762.71,8.3471e+00,3.9089e+00
3763.48,2.0694e+01,3.9012e+00
3764.26,2.6227e+01,3.8687e+00
3765.03,2.0806e+01,3.8926e+00
3765.81,7.4583e+00,3.8763e+00
3766.58,1.4933e+00,3.8501e+00
3767.36,3.5048e+00,3.8122e+00
3768.13,1.6763e+01,3.8149e+00
3768.91,2.4803e+01,3.7910e+00
3769.68,1.5044e+01,3.8094e+00
3770.46,7.9487e+00,3.7974e+00
3771.23,3.3091e-01,3.7691e+00
3772.01,1.0471e+01,3.7967e+00
3772.78,9.2106e+00,3.7538e+00
3773.56,1.9117e+01,3.7342e+00
3774.33,1.9435e+01,3.7250e+00
3775.11,5.0853e+00,3.7072e+00
3775.88,-2.6402e+00,3.6912e+00
3776.66,6.2590e+00,3.6874e+00
3777.43,1.2681e+01,3.6769e+00
3778.21,6.0411e+00,3.6483e+00
3778.98,1.0725e+01,3.6373e+00
3779.76,-2.1789e+00,3.6158e+00
3780.53,-9.7980e-01,3.6057e+00
3781.31,6.5199e+00,3.5852e+00
3782.08,3.0440e+00,3.5974e+00
3782.86,2.0413e+00,3.5905e+00
3783.63,3.2875e+00,3.5932e+00
3784.41,-5.0047e+00,3.5727e+00
3785.18,1.3198e+01,3.5601e+00
3785.96,1.5382e+01,3.5200e+00
3786.73,9.9379e+00,3.5004e+00
3787.51,1.5252e+01,3.5148e+00
3788.28,3.0423e+00,3.4935e+00
3789.06,3.8071e+00,3.4958e+00
3789.83,1.5860e+01,3.5074e+00
3790.61,2.5571e+01,3.4744e+00
3791.38,1.1765e+01,3.4150e+00
3792.16,9.1137e+00,3.4338e+00
3792.93,-7.0608e+00,3.4216e+00
3793.71,4.9446e+00,3.3718e+00
3794.48,1.6795e+01,3.3860e+00
3795.26,8.2324e+00,3.3590e+00
3796.03,7.3397e+00,3.3700e+00
3796.81,-8.0518e-01,3.3764e+00
3797.58,-6.0668e+00,3.3269e+00
3798.36,7.5505e+00,3.3131e+00
3799.13,1.2859e+01,3.3046e+00
