Wavelength,Flux,Error
3503.10,5.8980e+00,1.5264e+01
3503.87,1.0823e+01,1.5291e+01
3504.65,5.8201e+01,1.5158e+01
3505.42,3.8547e+01,1.5240e+01
3506.20,3.1260e+01,1.5219e+01
3506.97,1.6469e+01,1.5124e+01
3507.75,4.1399e+01,1.4894e+01
3508.52,4.0880e+01,1.5064e+01
3509.30,4.7875e+01,1.4978e+01
3510.07,9.5066e+00,1.4916e+01
3510.85,1.6762e+01,1.4828e+01
3511.62,2.6376e+01,1.4717e+01
3512.40,2.7785e+01,1.4602e+01
3513.17,1.3211e+01,1.4882e+01
3513.95,-3.3753e+00,1.4756e+01
3514.72,1.1762e+01,1.4743e+01
3515.50,6.8511e+00,1.4707e+01
3516.27,1.0005e+01,1.4407e+01
3517.05,2.8492e+01,1.4461e+01
3517.82,5.4265e+01,1.4565e+01
3518.60,4.6981e+01,1.4739e+01
3519.37,9.0916e+00,1.4333e+01
3520.15,5.0362e-01,1.4147e+01
3520.92,2.1971e+01,1.3993e+01
3521.70,5.5166e+01,1.3947e+01
3522.47,5.5197e+01,1.4104e+01
3523.25,4.0502e+01,1.3982e+01
3524.02,9.4269e+00,1.3853e+01
3524.80,3.6665e+01,1.3980e+01
3525.57,4.9443e+01,1.4019e+01
3526.35,3.0477e+01,1.3983e+01
3527.12,4.8627e+01,1.4205e+01
3527.90,4.5445e+01,1.4620e+01
3528.67,4.1098e+00,1.4585e+01
3529.45,3.2583e+00,1.4332e+01
3530.22,5.1887e+01,1.3785e+01
3530.99,2.1808e+01,1.3603e+01
3531.77,2.8262e+01,1.3526e+01
3532.54,3.5047e+01,1.3371e+01
3533.32,4.9766e+01,1.3644e+01
3534.09,2.4085e+01,1.3796e+01
3534.87,1.4902e+01,1.3805e+01
3535.64,3.4198e+01,1.3642e+01
3536.42,1.9541e+01,1.3617e+01
3537.19,5.4222e+01,1.3597e+01
3537.97,5.2010e+01,1.3646e+01
3538.74,2.4881e+01,1.3551e+01
3539.52,5.7998e+01,1.3590e+01
3540.29,2.6241e+01,1.3565e+01
3541.07,1.9666e+01,1.3563e+01
3541.84,1.3010e+01,1.3412e+01
3542.62,1.4737e+01,1.3568e+01
3543.39,2.5888e+01,1.3579e+01
3544.17,2.2556e+01,1.3621e+01
3544.94,4.7631e+01,1.3672e+01
3545.72,6.8999e+01,1.3614e+01
3546.49,5.2301e+01,1.3391e+01
3547.27,6.0692e+01,1.3662e+01
3548.04,-1.1647e+01,1.3502e+01
3548.82,8.1244e+00,1.3342e+01
3549.59,9.5301e+00,1.3146e+01
3550.37,-1.0468e+00,1.3024e+01
3551.14,3.3055e+01,1.3188e+01
3551.92,3.2850e+01,1.3211e+01
3552.69,2.3991e+01,1.2989e+01
3553.47,3.8623e+01,1.3045e+01
3554.24,3.3345e+01,1.3085e+01
3555.02,4.3651e+01,1.2867e+01
3555.79,1.2909e+01,1.2873e+01
3556.57,3.0193e+01,1.2936e+01
3557.34,1.5652e+01,1.2986e+01
3558.12,3.4468e+01,1.2998e+01
3558.89,-1.2447e+01,1.2921e+01
3559.66,-2.4351e+00,1.2697e+01
3560.44,1.0956e+01,1.2759e+01
3561.21,1.2836e+01,1.2789e+01
3561.99,2.9402e+00,1.2742e+01
3562.76,9.5061e+00,1.2669e+01
3563.54,3.4472e+01,1.2489e+01
3564.31,1.9448e+01,1.2376e+01
3565.09,5.9433e+00,1.2439e+01
3565.86,1.4487e+01,1.2157e+01
3566.64,1.6792e+01,1.2226e+01
3567.41,8.3058e+00,1.2038e+01
3568.19,1.9678e+01,1.2030e+01
3568.96,4.6264e+01,1.2125e+01
3569.74,2.0441e+01,1.2053e+01
3570.51,-8.2275e+00,1.2020e+01
3571.29,1.0311e+01,1.1979e+01
3572.06,1.4917e+01,1.1998e+01
3572.84,1.2795e+01,1.2001e+01
3573.61,1.4885e+01,1.1995e+01
3574.39,4.5572e+00,1.1790e+01
3575.16,2.4682e+01,1.1788e+01
3575.94,1.9416e+01,1.1685e+01
3576.71,1.2435e+01,1.1585e+01
3577.49,8.9866e+00,1.1650e+01
3578.26,1.2995e+01,1.1553e+01
3579.04,9.3868e+00,1.1426e+01
3579.81,1.9651e+01,1.1367e+01
3580.59,5.6237e+01,1.1463e+01
3581.36,2.6015e+01,1.1440e+01
3582.14,1.3669e+01,1.1483e+01
