Wavelength,Flux,Error
3503.10,1.3638e+02,4.8552e+01
3503.87,1.6590e+02,4.8474e+01
3504.65,1.3352e+02,4.9121e+01
3505.42,7.5766e+01,4.9213e+01
3506.20,4.8011e+01,4.8005e+01
3506.97,1.0004e+01,4.8508e+01
3507.74,9.9807e+01,4.7851e+01
3508.52,-1.6916e+01,4.7665e+01
3509.29,-4.0360e+00,4.7220e+01
3510.07,1.0349e+02,4.6422e+01
3510.84,1.5397e+02,4.6536e+01
3511.62,1.3985e+02,4.6427e+01
3512.39,7.3299e+00,4.6633e+01
3513.16,6.4415e+01,4.6966e+01
3513.94,7.6723e+01,4.6588e+01
3514.71,2.4665e+01,4.6135e+01
3515.49,-5.7940e+01,4.6167e+01
3516.26,-1.0427e+02,4.5904e+01
3517.04,1.5246e+01,4.6539e+01
3517.81,5.9874e+01,4.6607e+01
3518.59,5.2873e+01,4.6659e+01
3519.36,7.1326e+00,4.6472e+01
3520.13,-4.0875e+01,4.5975e+01
3520.91,4.9611e+01,4.5331e+01
3521.68,1.2060e+02,4.5176e+01
3522.46,1.0406e+02,4.4804e+01
3523.23,4.8577e+01,4.5163e+01
3524.01,4.1815e+01,4.4059e+01
3524.78,8.0949e+01,4.5244e+01
3525.55,7.3735e+01,4.9478e+01
3526.33,-3.8890e+00,5.1365e+01
3527.10,-4.1815e+01,4.7382e+01
3527.88,6.9676e+01,4.5747e+01
3528.65,3.8248e+01,4.5257e+01
3529.43,3.0896e+01,4.4776e+01
3530.20,3.0226e+01,4.4913e+01
3530.98,1.3150e+02,4.4105e+01
3531.75,-2.6742e+01,4.3710e+01
3532.52,8.9149e+01,4.4377e+01
3533.30,9.0403e+01,4.4447e+01
3534.07,2.4063e+01,4.3987e+01
3534.85,3.4374e+01,4.3879e+01
3535.62,9.8525e+01,4.4435e+01
3536.40,-7.5265e+01,4.4338e+01
3537.17,-3.5318e+01,4.4013e+01
3537.94,7.6071e+01,4.4104e+01
3538.72,6.3934e+01,4.4101e+01
3539.49,3.2545e+01,4.3384e+01
3540.27,7.6864e+01,4.3685e+01
3541.04,2.9070e+01,4.4236e+01
3541.82,-2.6864e+01,4.3345e+01
3542.59,6.9292e+00,4.2830e+01
3543.37,-3.6897e+01,4.3066e+01
3544.14,2.9044e+01,4.3842e+01
3544.91,4.8585e+01,4.5443e+01
3545.69,2.2984e+00,4.9261e+01
3546.46,1.1363e+02,4.9351e+01
3547.24,1.3414e+02,4.6156e+01
3548.01,5.6918e+01,4.3310e+01
3548.79,7.3151e+01,4.3176e+01
3549.56,1.2700e+02,4.2567e+01
3550.33,-3.0687e+01,4.2688e+01
3551.11,7.3546e+01,4.2419e+01
3551.88,-4.6586e+01,4.1863e+01
3552.66,-4.6527e+01,4.1857e+01
3553.43,1.3383e+02,4.1430e+01
3554.21,2.3221e+01,4.1837e+01
3554.98,2.7814e+01,4.1663e+01
3555.76,-5.0508e+01,4.1911e+01
3556.53,-3.6446e+01,4.1717e+01
3557.30,1.1018e+02,4.1200e+01
3558.08,1.1474e+02,4.1778e+01
3558.85,4.5273e+01,4.1438e+01
3559.63,-3.3345e+01,4.1022e+01
3560.40,-7.3653e+01,4.0838e+01
3561.18,-1.4492e+01,4.0713e+01
3561.95,7.6705e+01,4.1178e+01
3562.72,4.9424e+01,4.1071e+01
3563.50,1.0437e+02,4.0627e+01
3564.27,1.3148e+01,4.0334e+01
3565.05,1.0108e+02,3.9818e+01
3565.82,6.5218e+01,3.9526e+01
3566.60,1.0907e+02,3.8959e+01
3567.37,2.6710e+00,3.9504e+01
3568.15,1.0549e+02,3.9606e+01
3568.92,-1.0701e+01,3.8781e+01
3569.69,-2.5336e+01,3.8712e+01
3570.47,7.1229e+01,3.9706e+01
3571.24,-1.9093e+01,3.9240e+01
3572.02,1.7656e+01,3.8757e+01
3572.79,6.2339e+01,3.8991e+01
3573.57,9.8329e+01,3.9229e+01
3574.34,1.0874e+02,3.9130e+01
3575.12,5.8757e+01,3.8605e+01
3575.89,4.1462e+01,3.8618e+01
3576.66,4.4110e+01,3.8211e+01
3577.44,3.9739e+01,3.8135e+01
3578.21,5.7719e+01,3.7488e+01
3578.99,6.4388e+01,3.7601e+01
3579.76,3.9349e+01,3.7806e+01
3580.54,6.3764e+01,3.8139e+01
3581.31,1.1784e+02,3.8003e+01
3582.08,8.6959e+01,3.7649e+01
3582.86,-3.0709e+01,3.7409e+01
3583.63,5.1759e+00,3.7326e+01
3584.41,6.6602e+01,3.6553e+01
3585.18,1.8899e+02,3.6179e+01
3585.96,1.3494e+02,3.6534e+01
3586.73,7.8038e+01,3.7442e+01
3587.51,4.6705e+01,3.6966e+01
3588.28,3.7586e+01,3.6773e+01
3589.05,5.2799e+01,3.6216e+01
3589.83,1.2224e+02,3.6406e+01
3590.60,1.1237e+02,3.6585e+01
3591.38,4.0417e+01,3.6215e+01
3592.15,5.2064e+01,3.6168e+01
3592.93,4.1809e+01,3.6411e+01
3593.70,1.8225e+01,3.6207e+01
3594.47,2.4682e+01,3.6206e+01
3595.25,1.1608e+02,3.6323e+01
3596.02,9.9854e+01,3.6206e+01
3596.80,8.0186e+01,3.6208e+01
3597.57,-5.0292e+00,3.6580e+01
3598.35,2.2514e+01,3.6357e+01
3599.12,2.9235e+01,3.5949e+01
3599.90,4.9816e+01,3.5722e+01
3600.67,3.8131e+01,3.5434e+01
3601.44,6.1821e+01,3.5277e+01
3602.22,9.8776e+01,3.5016e+01
3602.99,9.3386e+01,3.4714e+01
3603.77,6.3360e+01,3.4663e+01
3604.54,2.0314e+01,3.5311e+01
3605.32,4.4337e+01,3.5281e+01
