Wavelength,Flux,Error
3503.10,-3.4055e+01,6.8516e+01
3503.87,-1.0115e+01,6.9312e+01
3504.65,1.0094e+02,7.1309e+01
3505.42,-1.5193e+02,7.2969e+01
3506.20,-3.3862e+02,7.2143e+01
3506.97,-3.3146e+02,7.1963e+01
3507.75,-1.5627e+02,7.1334e+01
3508.52,7.0317e+00,6.9949e+01
3509.29,-1.2873e+02,6.8136e+01
3510.07,-6.3692e+01,6.6999e+01
3510.84,1.6190e+02,6.7170e+01
3511.62,-3.7599e+01,6.7406e+01
3512.39,-8.7984e+01,6.6767e+01
3513.17,2.1115e+02,6.6130e+01
3513.94,7.5660e+01,6.6023e+01
3514.72,1.2544e+02,6.6642e+01
3515.49,-1.4440e+01,6.6433e+01
3516.26,1.7597e+02,6.5970e+01
3517.04,7.0994e+01,6.5717e+01
3517.81,2.3040e+02,6.5204e+01
3518.59,2.9895e+02,6.5259e+01
3519.36,7.1552e+01,6.5387e+01
3520.14,1.3065e+02,6.4988e+01
3520.91,2.2262e+02,6.4637e+01
3521.69,1.3360e+02,6.3979e+01
3522.46,2.3977e+02,6.3273e+01
3523.24,1.7692e+02,6.3185e+01
3524.01,-4.8025e+01,6.3373e+01
3524.78,3.0043e+01,6.3121e+01
3525.56,7.8946e+00,6.3084e+01
3526.33,6.4647e+01,6.2699e+01
3527.11,-9.8058e+01,6.2236e+01
3527.88,-1.3904e+02,6.2174e+01
3528.66,-2.2864e+01,6.1744e+01
3529.43,9.5084e+01,6.1609e+01
3530.21,-2.7155e+02,6.1377e+01
3530.98,4.8220e+01,6.1152e+01
3531.76,9.3112e+01,6.1028e+01
3532.53,3.2122e+01,6.0817e+01
3533.30,-6.9808e+01,6.0514e+01
3534.08,2.0036e+01,6.0824e+01
3534.85,1.4585e+01,6.1161e+01
3535.63,6.5956e+01,6.0969e+01
3536.40,1.7307e+02,6.0798e+01
3537.18,8.0874e+01,6.0535e+01
3537.95,2.5743e+01,6.0321e+01
3538.73,-9.5153e+01,6.0655e+01
3539.50,1.5170e+02,6.0330e+01
3540.27,2.9134e+01,6.0384e+01
3541.05,-3.0906e+01,6.1874e+01
3541.82,5.1052e+01,6.2594e+01
3542.60,2.5443e+02,6.2542e+01
3543.37,2.3189e+01,6.3159e+01
3544.15,1.8043e+02,6.2935e+01
3544.92,-5.8937e+01,6.0636e+01
3545.70,1.9206e+02,6.1062e+01
3546.47,3.3033e+01,6.1471e+01
3547.25,1.0322e+02,6.1410e+01
3548.02,4.8333e+01,6.0187e+01
3548.79,7.6457e+01,5.9655e+01
3549.57,5.8200e+01,5.9058e+01
3550.34,-1.0064e+02,5.9435e+01
3551.12,1.6637e+01,5.8932e+01
3551.89,-1.3860e+02,5.8691e+01
3552.67,-9.9811e+01,5.8421e+01
3553.44,-7.9046e+01,5.8224e+01
3554.22,1.8472e+01,5.8005e+01
3554.99,1.4044e+02,5.7932e+01
3555.76,2.7855e+02,5.8323e+01
3556.54,5.4740e+01,5.9023e+01
3557.31,-2.1389e+01,5.9227e+01
3558.09,-8.0421e-01,5.8688e+01
3558.86,-4.4302e+01,5.7706e+01
3559.64,-1.2699e+02,5.7245e+01
3560.41,-6.9928e+01,5.7413e+01
3561.19,4.4381e+01,5.7035e+01
3561.96,2.1854e+02,5.6886e+01
3562.74,8.8858e+01,5.6664e+01
3563.51,9.1262e+01,5.6993e+01
3564.28,-1.0321e+02,5.6661e+01
3565.06,-9.5826e+01,5.6469e+01
3565.83,-2.4877e+02,5.6170e+01
3566.61,8.1255e+01,5.6384e+01
3567.38,2.3366e+02,5.6534e+01
3568.16,2.5141e+02,5.6259e+01
3568.93,7.1488e+01,5.6070e+01
3569.71,8.0082e+01,5.6299e+01
3570.48,2.1822e+02,5.5998e+01
3571.26,1.4165e+02,5.5846e+01
3572.03,-9.7083e+01,5.5443e+01
3572.80,-9.5185e+01,5.5012e+01
3573.58,1.1856e+02,5.4954e+01
3574.35,1.6785e+02,5.4566e+01
3575.13,3.1826e+02,5.3748e+01
3575.90,1.4340e+02,5.3629e+01
3576.68,1.1331e+02,5.3985e+01
3577.45,1.3606e+02,5.3782e+01
3578.23,2.2751e+02,5.3612e+01
3579.00,2.9207e+02,5.3622e+01
3579.77,1.4819e+02,5.3553e+01
3580.55,1.0187e+02,5.3164e+01
3581.32,1.7301e+02,5.2774e+01
3582.10,2.5641e+01,5.2817e+01
3582.87,-5.6272e+01,5.2590e+01
3583.65,-7.8998e+01,5.2704e+01
3584.42,-2.2333e+01,5.2913e+01
3585.20,6.3268e+01,5.2054e+01
3585.97,5.0748e+01,5.1720e+01
3586.75,2.8422e+00,5.1605e+01
3587.52,-4.9529e+01,5.1624e+01
3588.29,1.5660e+02,5.1406e+01
3589.07,8.5547e+01,5.1371e+01
3589.84,2.6998e+00,5.1209e+01
3590.62,1.3914e+02,5.1242e+01
3591.39,5.1998e+01,5.1372e+01
3592.17,-7.0747e+01,5.1410e+01
3592.94,1.3284e+02,5.1306e+01
3593.72,1.7673e+02,5.0967e+01
3594.49,-2.2309e+01,5.0959e+01
3595.27,3.7251e+01,5.0636e+01
3596.04,-4.8277e+01,5.0705e+01
3596.81,4.1874e+01,5.0405e+01
3597.59,1.8645e+02,5.0224e+01
3598.36,-4.3803e+01,5.0318e+01
3599.14,4.7609e+01,5.0485e+01
3599.91,1.2146e+02,5.0427e+01
3600.69,7.2729e+01,5.0479e+01
3601.46,-1.2503e+02,5.0196e+01
3602.24,6.2825e+01,5.0269e+01
3603.01,-3.1819e+01,4.9906e+01
3603.78,1.3660e+02,4.9535e+01
3604.56,4.9073e+01,4.9104e+01
3605.33,8.2824e+01,4.9284e+01
3606.11,-1.1075e+01,4.9225e+01
3606.88,4.9479e+01,4.8855e+01
3607.66,-4.1111e+01,4.8779e+01
3608.43,1.4140e+02,4.8750e+01
3609.21,1.0150e+02,4.8673e+01
3609.98,5.5300e+01,4.8201e+01
3610.76,2.6004e+01,4.8118e+01
3611.53,6.7483e+01,4.8190e+01
3612.30,-8.8074e+01,4.8033e+01
3613.08,1.1390e+01,4.7771e+01
3613.85,1.8164e+02,4.7796e+01
3614.63,1.7771e+02,4.7741e+01
3615.40,6.2724e+01,4.7361e+01
3616.18,5.1959e+01,4.7574e+01
3616.95,1.6581e+02,4.7064e+01
3617.73,-2.8328e+01,4.6684e+01
3618.50,-2.1935e+02,4.6812e+01
