Wavelength,Flux,Error
3504.65,7.2028e+00,7.3015e+00
3505.42,1.1502e+01,7.0904e+00
3506.20,2.0177e+01,6.9689e+00
3506.97,1.7074e+01,7.4611e+00
3507.75,5.1345e+00,7.3815e+00
3508.52,9.4723e+00,6.8617e+00
3509.30,3.9719e+00,6.5487e+00
3510.07,3.2631e+00,6.8499e+00
3510.85,-1.4351e+00,6.5165e+00
3511.62,-2.3360e+00,6.3178e+00
3512.40,-5.2801e+00,6.4138e+00
3513.17,-5.1723e+00,6.4413e+00
3513.95,1.1941e+00,6.6194e+00
3514.72,-1.7528e+00,6.7208e+00
3515.50,2.7603e+00,6.4388e+00
3516.27,-2.9048e+00,6.3608e+00
3517.05,3.7525e+00,6.4238e+00
3517.82,5.3115e-01,6.5509e+00
3518.60,-1.3530e+01,6.7429e+00
3519.37,8.6299e-01,6.5896e+00
3520.15,1.1076e+01,6.3860e+00
3520.92,2.2094e+00,6.3888e+00
3521.69,4.6482e+00,6.3400e+00
3522.47,6.7148e+00,5.9810e+00
3523.24,3.2813e+00,6.0064e+00
3524.02,-3.5083e+00,6.1958e+00
3524.79,-9.2735e+00,6.1017e+00
3525.57,1.4122e+01,5.8357e+00
3526.34,4.5283e+00,5.6950e+00
3527.12,5.6953e+00,5.9020e+00
3527.89,-1.4744e+00,5.6690e+00
3528.67,4.9244e+00,5.7384e+00
3529.44,5.8885e+00,5.8252e+00
3530.22,2.1507e-01,5.9118e+00
3530.99,3.0942e+00,5.9704e+00
3531.77,1.1441e+00,5.9564e+00
3532.54,-1.7293e-01,5.9178e+00
3533.32,-1.4122e+01,5.7155e+00
3534.09,-3.2233e+00,5.7139e+00
3534.87,1.2462e+01,5.6050e+00
3535.64,-6.3723e+00,5.7584e+00
3536.42,-2.7103e+00,5.8216e+00
3537.19,1.1110e+00,5.7595e+00
3537.97,1.2817e+01,5.8451e+00
3538.74,1.0555e+01,5.6872e+00
3539.52,-1.1867e-01,5.6649e+00
3540.29,1.5507e+00,5.6822e+00
3541.07,1.7582e+01,5.7780e+00
3541.84,-5.7165e-01,5.7768e+00
3542.61,4.2294e+00,5.7528e+00
3543.39,7.8707e+00,5.6880e+00
3544.16,1.2359e+01,5.7106e+00
3544.94,-5.6597e+00,5.6277e+00
3545.71,-8.4884e+00,5.9938e+00
3546.49,7.5986e+00,6.0156e+00
3547.26,4.0078e+00,5.6730e+00
3548.04,-9.7212e+00,5.4330e+00
3548.81,5.5607e+00,5.4469e+00
3549.59,1.7969e+01,5.6191e+00
3550.36,2.1345e+00,5.6481e+00
3551.14,4.2659e+00,5.6780e+00
3551.91,8.2346e+00,5.6830e+00
3552.69,8.7992e+00,5.7064e+00
3553.46,-6.1295e+00,5.4935e+00
3554.24,-6.3430e+00,5.3938e+00
3555.01,-1.8053e+00,5.3797e+00
3555.79,7.3144e+00,5.5511e+00
3556.56,-3.9622e+00,5.5627e+00
3557.34,-6.6217e+00,5.4134e+00
3558.11,1.4440e+01,5.4632e+00
3558.89,6.1749e+00,5.4259e+00
3559.66,-1.3420e+01,5.3634e+00
3560.44,-1.0365e+01,5.3676e+00
3561.21,1.4103e+00,5.4697e+00
3561.99,9.4619e+00,5.4456e+00
3562.76,-6.1180e+00,5.3797e+00
3563.54,1.2156e+01,5.2799e+00
3564.31,1.0752e+01,5.3872e+00
3565.08,-8.8510e+00,5.2175e+00
3565.86,-5.5554e+00,5.1903e+00
3566.63,8.0282e+00,5.1781e+00
3567.41,9.5406e+00,5.1562e+00
3568.18,6.1791e+00,5.1701e+00
3568.96,-1.9590e+00,5.0709e+00
3569.73,7.1561e+00,5.1770e+00
3570.51,1.2574e+01,5.3304e+00
3571.28,2.1896e-01,5.2838e+00
3572.06,8.4284e-01,5.2163e+00
3572.83,9.5318e+00,5.3698e+00
3573.61,4.3528e+00,5.3572e+00
3574.38,-6.9841e-01,5.2068e+00
3575.16,1.0654e+01,5.2067e+00
3575.93,7.9571e+00,5.0973e+00
3576.71,6.4220e+00,5.1833e+00
3577.48,6.1246e+00,5.1043e+00
3578.26,-4.6588e+00,5.0227e+00
3579.03,1.3121e+00,5.0340e+00
3579.81,4.0622e+00,5.0506e+00
3580.58,-4.4174e+00,4.8937e+00
3581.36,-1.1936e+00,4.7885e+00
3582.13,1.1268e+01,4.7364e+00
3582.91,2.6007e-01,4.7645e+00
3583.68,4.8202e+00,4.6947e+00
3584.46,8.2339e+00,4.6640e+00
3585.23,1.4803e+01,4.6107e+00
3586.00,4.0414e+00,4.5865e+00
3586.78,5.8487e+00,4.7036e+00
3587.55,6.6897e+00,4.7921e+00
3588.33,7.5699e+00,4.6925e+00
3589.10,4.8815e+00,4.6126e+00
3589.88,4.5024e-01,4.6598e+00
3590.65,5.0797e+00,4.6252e+00
3591.43,-3.2450e+00,4.6775e+00
3592.20,-1.2662e+01,4.7452e+00
3592.98,-3.1150e-01,4.7674e+00
3593.75,7.2805e+00,4.8753e+00
3594.53,1.4693e+00,4.8524e+00
3595.30,5.1659e+00,4.8015e+00
3596.08,4.4059e+00,4.8237e+00
3596.85,1.2682e+01,4.8495e+00
3597.63,2.4551e-01,4.7846e+00
3598.40,1.1205e+00,4.7910e+00
3599.18,3.2396e+00,4.8594e+00
3599.95,6.4511e+00,4.7654e+00
3600.73,7.1965e+00,4.6633e+00
3601.50,9.9713e+00,4.8067e+00
3602.28,1.0133e+01,4.7054e+00
3603.05,1.0373e+01,4.6450e+00
3603.83,1.0546e+01,4.6340e+00
3604.60,9.6128e+00,4.6700e+00
3605.38,8.7658e+00,4.6246e+00
3606.15,1.4235e+01,4.6075e+00
3606.92,9.9870e+00,4.7552e+00
3607.70,1.3848e+01,4.9096e+00
3608.47,1.1400e+01,4.7626e+00
3609.25,3.0365e+00,4.5123e+00
3610.02,4.3097e+00,4.3588e+00
3610.80,5.4712e+00,4.4488e+00
3611.57,4.8389e+00,4.4317e+00
3612.35,3.3609e+00,4.4184e+00
3613.12,-1.0241e+01,4.4574e+00
3613.90,-3.4352e+00,4.3862e+00
3614.67,6.3957e+00,4.3744e+00
3615.45,6.0036e-02,4.4736e+00
3616.22,8.1672e+00,4.5347e+00
3617.00,1.1576e+01,4.4831e+00
3617.77,5.0057e+00,4.3643e+00
3618.55,3.7708e+00,4.2740e+00
3619.32,3.8120e+00,4.2776e+00
3620.10,8.8611e+00,4.2575e+00
3620.87,1.2317e+01,4.2791e+00
3621.65,1.2447e+01,4.2221e+00
3622.42,1.0168e+01,4.3168e+00
3623.20,1.1622e+01,4.3370e+00
3623.97,1.4732e+01,4.2909e+00
3624.75,2.5180e+00,4.2078e+00
3625.52,6.2082e+00,4.3050e+00
3626.30,5.3108e+00,4.3003e+00
3627.07,-1.0949e+00,4.2938e+00
3627.84,6.3020e+00,4.2780e+00
3628.62,8.5452e-01,4.1026e+00
3629.39,6.7571e+00,4.0995e+00
3630.17,-7.2056e-01,4.2689e+00
3630.94,6.2523e+00,4.2330e+00
3631.72,-2.3610e+00,4.1923e+00
3632.49,2.5114e+00,4.1346e+00
3633.27,6.4738e+00,4.1635e+00
3634.04,2.5551e+00,4.1541e+00
3634.82,9.1750e-01,4.2637e+00
3635.59,-2.7925e+00,4.3542e+00
3636.37,1.2716e+00,4.1995e+00
3637.14,7.8425e+00,4.1999e+00
3637.92,4.9030e-01,4.2583e+00
3638.69,4.9575e-01,4.2625e+00
3639.47,7.2583e+00,4.2950e+00
3640.24,1.4731e+01,4.2674e+00
3641.02,1.0654e+01,4.1898e+00
3641.79,2.7577e+00,4.1352e+00
3642.57,9.2241e-01,4.2166e+00
3643.34,1.0488e+00,4.2553e+00
3644.12,-2.8043e+00,4.1310e+00
3644.89,1.3050e+00,4.0817e+00
3645.67,4.5988e+00,4.1369e+00
3646.44,7.7407e+00,4.0831e+00
3647.22,2.2149e+00,4.0359e+00
3647.99,1.4245e+00,4.0062e+00
3648.76,2.2841e+00,3.9821e+00
3649.54,2.2690e+00,4.0478e+00
3650.31,-6.2686e-01,4.0610e+00
3651.09,9.2299e+00,3.9949e+00
3651.86,8.4939e+00,4.0379e+00
3652.64,9.9475e+00,4.0748e+00
3653.41,1.7304e+01,4.0621e+00
3654.19,7.3804e+00,3.9749e+00
3654.96,1.2600e+01,3.8514e+00
3655.74,5.2442e+00,3.9027e+00
3656.51,1.1716e+01,3.9355e+00
3657.29,6.1765e+00,4.0425e+00
3658.06,6.7809e+00,4.0075e+00
3658.84,1.1949e+00,3.9287e+00
3659.61,5.3663e+00,3.9576e+00
3660.39,5.5346e+00,3.9174e+00
3661.16,1.1048e+01,3.8307e+00
3661.94,1.3513e+01,3.8165e+00
3662.71,1.3549e+01,3.7691e+00
3663.49,1.0982e+01,3.7750e+00
3664.26,6.5360e-01,3.7152e+00
3665.04,2.1546e+00,3.7685e+00
3665.81,5.5642e+00,3.7549e+00
3666.59,1.6429e+01,3.6447e+00
3667.36,5.3583e+00,3.7502e+00
3668.14,-3.4306e-01,3.7541e+00
3668.91,2.4012e+00,3.8785e+00
3669.69,1.1132e+01,3.8651e+00
3670.46,5.0981e+00,3.6842e+00
3671.23,-4.1216e+00,3.6752e+00
3672.01,4.3577e+00,3.7197e+00
3672.78,1.6589e+00,3.7685e+00
3673.56,-1.7832e+00,3.6656e+00
