Wavelength,Flux,Error
3502.32,-2.5274e+00,3.9345e+00
3503.10,-1.0927e+00,3.9205e+00
3503.87,-2.1708e+00,3.9260e+00
3504.65,6.0037e+00,3.9308e+00
3505.42,9.9345e+00,3.9233e+00
3506.20,-7.0208e+00,3.9213e+00
3506.97,-9.9382e-01,3.8686e+00
3507.75,2.2607e+00,3.8466e+00
3508.52,1.1413e+00,3.8431e+00
3509.30,1.1210e-01,3.8213e+00
3510.07,1.0861e-01,3.8222e+00
3510.84,8.5090e+00,3.8690e+00
3511.62,2.5591e+00,3.7885e+00
3512.39,-3.3688e+00,3.7575e+00
3513.17,-9.1988e+00,3.7435e+00
3513.94,-2.4531e+00,3.7426e+00
3514.72,-4.2519e-01,3.7394e+00
3515.49,-4.2630e+00,3.7565e+00
3516.27,-2.2697e+00,3.7141e+00
3517.04,3.7155e+00,3.6676e+00
3517.82,5.1245e+00,3.7120e+00
3518.59,1.5041e+00,3.7255e+00
3519.36,-1.6388e+00,3.6768e+00
3520.14,-6.8322e+00,3.6590e+00
3520.91,4.3107e+00,3.6440e+00
3521.69,1.7075e+00,3.6156e+00
3522.46,-4.9109e-02,3.6168e+00
3523.24,-1.0980e+01,3.5730e+00
3524.01,-6.2642e-01,3.5346e+00
3524.79,4.3779e-03,3.5228e+00
3525.56,7.6528e-01,3.5313e+00
3526.34,4.4254e+00,3.5205e+00
3527.11,-1.8741e+00,3.4495e+00
3527.89,1.3659e+00,3.4344e+00
3528.66,9.5709e+00,3.4679e+00
3529.43,6.4040e+00,3.5038e+00
3530.21,9.8160e-01,3.5234e+00
3530.98,-7.9579e+00,3.5152e+00
3531.76,-4.1407e+00,3.4917e+00
3532.53,7.2387e+00,3.4728e+00
3533.31,-2.4426e+00,3.4437e+00
3534.08,2.3728e+00,3.4683e+00
3534.86,6.0625e+00,3.4395e+00
3535.63,1.0153e+01,3.4136e+00
3536.41,5.5508e+00,3.3864e+00
3537.18,4.4999e+00,3.3988e+00
3537.95,1.5812e+00,3.3918e+00
3538.73,4.1459e+00,3.3873e+00
3539.50,3.6817e+00,3.3924e+00
3540.28,2.0082e+00,3.3547e+00
3541.05,-3.7071e+00,3.3327e+00
3541.83,3.7273e+00,3.3231e+00
3542.60,-1.0906e+01,3.3244e+00
3543.38,-1.3836e+00,3.3369e+00
3544.15,2.8338e+00,3.3720e+00
3544.93,3.7290e+00,3.3869e+00
3545.70,1.2576e+01,3.3354e+00
3546.48,-2.3293e+00,3.3128e+00
3547.25,7.0407e-01,3.3199e+00
3548.02,4.5670e-01,3.3194e+00
3548.80,-8.0247e-01,3.2977e+00
3549.57,5.0650e+00,3.3106e+00
3550.35,6.1813e+00,3.3271e+00
3551.12,-4.6786e+00,3.3202e+00
3551.90,1.3291e+00,3.2994e+00
3552.67,5.8695e+00,3.2704e+00
3553.45,1.0805e+01,3.2663e+00
3554.22,2.0353e+00,3.2303e+00
3555.00,3.5037e+00,3.2072e+00
3555.77,2.6659e-02,3.2175e+00
3556.55,-6.9911e+00,3.2130e+00
3557.32,-3.8060e+00,3.2521e+00
3558.09,-7.0261e-02,3.2347e+00
3558.87,1.2504e+00,3.2037e+00
3559.64,3.9838e+00,3.1804e+00
3560.42,-1.3401e+01,3.1673e+00
3561.19,9.3150e-01,3.1615e+00
3561.97,9.4616e-01,3.1703e+00
3562.74,3.1736e+00,3.2135e+00
3563.52,-1.7299e-01,3.2068e+00
3564.29,-4.1296e+00,3.1892e+00
3565.07,-3.9695e+00,3.1376e+00
3565.84,1.2822e+00,3.1188e+00
3566.61,9.5753e+00,3.1113e+00
3567.39,3.4862e+00,3.1105e+00
3568.16,2.8437e+00,3.1093e+00
3568.94,2.3822e+00,3.0727e+00
3569.71,5.2417e+00,3.0397e+00
3570.49,-7.7009e+00,3.0231e+00
3571.26,-2.9255e+00,3.0288e+00
3572.04,-4.3058e+00,3.0496e+00
3572.81,3.8006e+00,3.0432e+00
3573.59,6.7060e+00,3.0401e+00
3574.36,3.0914e+00,3.0062e+00
3575.14,2.7423e+00,2.9848e+00
3575.91,9.4910e+00,2.9815e+00
3576.68,8.1413e-01,2.9728e+00
3577.46,-7.3085e+00,2.9756e+00
3578.23,-3.5640e+00,2.9597e+00
3579.01,6.1765e+00,2.9067e+00
3579.78,-6.9395e+00,2.8888e+00
3580.56,1.2151e+00,2.8748e+00
3581.33,5.6680e+00,2.8832e+00
3582.11,5.5277e+00,2.8546e+00
3582.88,-5.8912e-01,2.8417e+00
3583.66,6.4489e-02,2.8548e+00
3584.43,4.2741e+00,2.8551e+00
3585.21,-3.8788e+00,2.8380e+00
3585.98,8.7521e-01,2.8074e+00
3586.75,7.3137e+00,2.7891e+00
3587.53,2.1822e+00,2.7968e+00
3588.30,1.0664e+00,2.7940e+00
3589.08,-3.8118e+00,2.8001e+00
3589.85,3.8328e-01,2.8064e+00
3590.63,-2.7204e-01,2.8017e+00
3591.40,-1.0157e+01,2.8355e+00
3592.18,-2.6396e-01,2.8559e+00
3592.95,1.3214e+01,2.8456e+00
3593.73,6.2162e-01,2.8347e+00
3594.50,3.4180e+00,2.8284e+00
3595.27,1.5274e-01,2.8155e+00
3596.05,-2.0701e+00,2.8392e+00
3596.82,2.3013e+00,2.8355e+00
3597.60,4.0114e+00,2.8343e+00
3598.37,-2.0393e+00,2.8346e+00
3599.15,4.9844e+00,2.7917e+00
3599.92,3.5786e+00,2.7861e+00
3600.70,1.5684e+00,2.8105e+00
3601.47,1.1473e+01,2.7956e+00
3602.25,1.4694e+01,2.7797e+00
3603.02,4.5242e+00,2.7535e+00
3603.80,3.8900e-01,2.7236e+00
3604.57,4.4147e+00,2.7083e+00
3605.34,4.2696e+00,2.7173e+00
3606.12,3.8148e+00,2.7240e+00
3606.89,5.5052e+00,2.7023e+00
3607.67,9.3302e+00,2.6752e+00
3608.44,5.9077e+00,2.6574e+00
3609.22,5.7203e-01,2.6384e+00
3609.99,7.2175e+00,2.6331e+00
3610.77,8.4927e+00,2.6398e+00
3611.54,-3.6310e+00,2.6642e+00
3612.32,4.5125e+00,2.6725e+00
3613.09,7.3380e+00,2.6508e+00
3613.86,3.9535e+00,2.6173e+00
3614.64,1.6184e+00,2.6220e+00
3615.41,-1.5060e+00,2.6337e+00
3616.19,1.6965e-01,2.6184e+00
3616.96,2.8948e+00,2.5952e+00
3617.74,6.1543e+00,2.5824e+00
3618.51,-1.4375e+00,2.5328e+00
3619.29,4.7676e+00,2.4899e+00
3620.06,9.0272e+00,2.5171e+00
3620.84,-1.0702e+00,2.5243e+00
3621.61,-4.5674e+00,2.5280e+00
3622.39,7.0881e-01,2.5370e+00
3623.16,4.2317e-01,2.5481e+00
3623.93,2.3263e-01,2.5297e+00
3624.71,8.3174e+00,2.5154e+00
3625.48,4.3258e+00,2.5210e+00
3626.26,-5.7372e-01,2.5459e+00
3627.03,-2.5737e+00,2.5657e+00
3627.81,-3.7277e+00,2.5483e+00
3628.58,-3.8684e+00,2.5082e+00
3629.36,4.7157e+00,2.4915e+00
3630.13,6.0343e+00,2.4931e+00
