Wavelength,Flux,Error
3503.10,-5.0285e+01,6.4359e+01
3503.87,-1.0123e+02,6.4575e+01
3504.65,2.1492e+01,6.3436e+01
3505.42,-1.0667e+02,6.3037e+01
3506.20,-5.1294e+00,6.3533e+01
3506.97,-6.3122e+01,6.3371e+01
3507.74,5.1584e+01,6.2890e+01
3508.52,8.9739e+01,6.1926e+01
3509.29,1.3550e+02,6.2642e+01
3510.07,2.8867e+01,6.1932e+01
3510.84,-3.5927e+01,6.3314e+01
3511.62,-1.8289e+02,6.4549e+01
3512.39,4.1449e+00,6.2311e+01
3513.17,1.6727e+02,6.2056e+01
3513.94,1.7979e+02,6.2177e+01
3514.72,1.9476e+02,6.1619e+01
3515.49,1.2162e+02,6.1355e+01
3516.26,7.7226e+01,6.1120e+01
3517.04,4.2762e+01,6.0672e+01
3517.81,1.2060e+02,6.0795e+01
3518.59,-2.5646e+00,6.0517e+01
3519.36,2.9953e+01,6.0092e+01
3520.14,8.1890e+01,5.9774e+01
3520.91,1.0389e+01,5.9400e+01
3521.69,8.2919e+01,6.0478e+01
3522.46,7.8491e+01,5.9392e+01
3523.23,-1.1721e+01,5.7907e+01
3524.01,-5.2761e+01,5.8313e+01
3524.78,-7.0994e+01,5.8567e+01
3525.56,-3.4628e+01,5.8620e+01
3526.33,-6.3666e+01,5.8878e+01
3527.11,-4.9564e+01,5.8330e+01
3527.88,1.1295e+02,5.7387e+01
3528.66,8.6670e+01,5.7212e+01
3529.43,4.7141e+01,5.7177e+01
3530.21,-8.5080e-01,5.7328e+01
3530.98,-8.8439e+01,5.7434e+01
3531.75,1.1427e+02,5.7141e+01
3532.53,-7.5213e+00,5.7634e+01
3533.30,9.0828e+01,5.7569e+01
3534.08,1.2749e+02,5.7784e+01
3534.85,-4.2650e+01,5.7736e+01
3535.63,-4.4539e+01,5.6561e+01
3536.40,1.8533e+02,5.7681e+01
3537.18,1.1692e+02,5.7794e+01
3537.95,1.1430e+01,5.6708e+01
3538.72,3.0776e+01,5.6575e+01
3539.50,-2.1984e+01,5.6568e+01
3540.27,1.9031e+01,5.6545e+01
3541.05,1.6187e+02,5.5983e+01
3541.82,8.4522e+01,5.6015e+01
3542.60,-2.7448e+01,5.5828e+01
3543.37,-2.0885e+01,5.6972e+01
3544.15,-2.1026e+01,5.7327e+01
3544.92,6.2296e+00,5.6740e+01
3545.70,1.5995e+02,5.6268e+01
3546.47,4.3767e+01,5.6229e+01
3547.24,2.3544e+01,5.5614e+01
3548.02,9.1486e+00,5.5671e+01
3548.79,-8.0502e+01,5.5605e+01
3549.57,-6.2400e+01,5.5659e+01
3550.34,-4.5770e+00,5.5638e+01
3551.12,8.4789e+00,5.5228e+01
3551.89,2.9136e+01,5.4429e+01
3552.67,1.1621e+01,5.4643e+01
3553.44,-1.7957e+01,5.4816e+01
3554.21,8.0046e+00,5.4524e+01
3554.99,1.1868e+01,5.4322e+01
3555.76,1.8478e+01,5.4010e+01
3556.54,1.1127e+02,5.3643e+01
3557.31,-2.7390e-01,5.3249e+01
3558.09,1.5278e+02,5.3152e+01
3558.86,9.8780e+01,5.3390e+01
3559.64,2.1574e+01,5.2968e+01
3560.41,3.7772e+01,5.3054e+01
3561.18,3.5137e+01,5.2327e+01
3561.96,-5.6622e+01,5.2587e+01
3562.73,-4.0091e+01,5.2904e+01
3563.51,6.7771e+01,5.3405e+01
3564.28,7.3739e+01,5.2443e+01
3565.06,-6.0303e+01,5.1600e+01
3565.83,5.3686e+01,5.1523e+01
3566.61,3.3443e+01,5.0996e+01
3567.38,4.0489e+01,5.1253e+01
3568.16,3.8893e+01,5.1088e+01
3568.93,5.7304e+01,5.0363e+01
3569.70,7.6356e+01,4.9998e+01
3570.48,-5.0584e+01,5.0349e+01
3571.25,-4.1778e+01,5.0195e+01
3572.03,3.9669e+01,5.0129e+01
3572.80,1.1766e+02,5.0406e+01
3573.58,-1.8709e+01,5.0119e+01
3574.35,3.0410e+01,5.0514e+01
3575.13,-1.3490e+01,5.0623e+01
3575.90,4.0137e+00,5.0666e+01
3576.67,2.8028e+01,4.9374e+01
3577.45,6.5978e+01,4.9119e+01
3578.22,6.2754e+01,4.8854e+01
3579.00,1.3215e+02,4.8949e+01
3579.77,5.2344e+01,4.9132e+01
3580.55,1.0919e+02,4.8886e+01
3581.32,1.0636e+02,4.9274e+01
3582.10,1.2142e+02,4.9097e+01
3582.87,4.6865e+01,4.8508e+01
3583.65,3.1608e+01,4.9747e+01
3584.42,5.5096e+01,5.0276e+01
3585.19,1.8622e+01,4.9827e+01
3585.97,3.6314e+01,4.8137e+01
3586.74,8.4625e+01,4.7877e+01
3587.52,6.6808e+01,4.8016e+01
3588.29,5.2749e+01,4.8171e+01
3589.07,8.5369e+01,4.7916e+01
3589.84,1.8116e+01,4.7399e+01
3590.62,-1.1206e+02,4.8314e+01
3591.39,5.2458e+01,4.8002e+01
3592.16,6.2966e+01,4.7424e+01
3592.94,2.6030e+01,4.7800e+01
3593.71,7.9892e+01,4.7517e+01
3594.49,-1.2126e+02,4.6762e+01
3595.26,1.2323e+02,4.7382e+01
3596.04,1.9570e+01,4.7250e+01
3596.81,-1.1855e+01,4.7090e+01
3597.59,-1.8826e+01,4.7273e+01
3598.36,9.9296e+01,4.7370e+01
3599.14,1.0488e+02,4.7089e+01
3599.91,9.7994e+01,4.6719e+01
3600.68,7.8836e+01,4.6335e+01
3601.46,9.4575e+00,4.6246e+01
3602.23,-2.9522e+01,4.6435e+01
3603.01,-9.7323e+01,4.6440e+01
3603.78,-6.9869e+01,4.5977e+01
3604.56,2.2796e+01,4.4980e+01
3605.33,8.2731e+01,4.4960e+01
3606.11,1.5559e+02,4.5362e+01
3606.88,1.9209e+02,4.4573e+01
3607.65,1.0007e+02,4.4930e+01
3608.43,6.4103e+01,4.4542e+01
3609.20,9.0878e+01,4.4288e+01
3609.98,6.0022e+01,4.4230e+01
3610.75,7.5413e+01,4.4113e+01
3611.53,8.4501e+01,4.3701e+01
3612.30,3.2874e+01,4.4144e+01
3613.08,-5.0315e+00,4.3902e+01
3613.85,9.7359e+01,4.4357e+01
3614.63,5.7182e+01,4.3916e+01
3615.40,-1.9983e+01,4.3851e+01
3616.17,-2.0153e+01,4.3585e+01
3616.95,1.1920e+01,4.2981e+01
3617.72,-6.0570e+01,4.2767e+01
3618.50,-4.0341e+01,4.2298e+01
3619.27,2.5569e+01,4.2377e+01
3620.05,5.4337e+01,4.2403e+01
3620.82,-8.1534e+00,4.2389e+01
3621.60,-2.8080e+01,4.2347e+01
3622.37,-3.6466e+01,4.2155e+01
3623.14,5.9428e+00,4.1557e+01
3623.92,-8.4536e+01,4.2187e+01
3624.69,8.3849e+01,4.2944e+01
3625.47,4.3067e+01,4.2863e+01
3626.24,-1.8703e+01,4.1750e+01
3627.02,-5.0181e+01,4.1415e+01
3627.79,-2.3891e+01,4.1497e+01
3628.57,9.4634e+00,4.1605e+01
3629.34,5.9510e+01,4.1046e+01
3630.11,6.7049e+01,4.1101e+01
3630.89,-7.4747e+00,4.0925e+01
3631.66,5.5621e+01,4.0717e+01
3632.44,1.5072e+02,4.0692e+01
3633.21,8.9432e+01,4.0875e+01
3633.99,2.0559e+01,4.1029e+01
3634.76,1.8325e+01,4.1078e+01
3635.54,-2.7080e+01,4.0470e+01
3636.31,2.2636e+01,4.0388e+01
3637.09,8.5658e+00,4.0047e+01
3637.86,-4.9669e+01,3.9708e+01
3638.63,-9.2454e+01,4.0404e+01
3639.41,-3.2615e+01,3.9878e+01
3640.18,3.6771e+01,3.9681e+01
3640.96,4.5102e+00,3.9445e+01
3641.73,7.1771e+01,3.9519e+01
3642.51,1.0010e+02,3.9129e+01
3643.28,6.8597e+01,3.9068e+01
3644.06,-3.9743e+01,3.8723e+01
3644.83,7.6551e+00,3.8609e+01
3645.60,1.1905e+02,3.8229e+01
3646.38,4.0234e+01,3.7708e+01
3647.15,3.6023e+01,3.7590e+01
3647.93,4.0665e+01,3.7553e+01
3648.70,4.9156e+01,3.7567e+01
3649.48,8.1845e+01,3.7187e+01
3650.25,1.2210e+02,3.7122e+01
3651.03,2.9297e+01,3.7513e+01
3651.80,6.9569e+01,3.7223e+01
3652.58,-2.9351e+01,3.6918e+01
3653.35,9.4304e+01,3.6762e+01
3654.12,2.4391e+01,3.6667e+01
3654.90,1.3341e+01,3.6701e+01
3655.67,-7.1008e+01,3.6581e+01
3656.45,5.1132e+00,3.6146e+01
3657.22,5.4313e+01,3.6193e+01
3658.00,1.6652e+01,3.6096e+01
3658.77,5.0591e+01,3.6360e+01
3659.55,6.3734e+01,3.6244e+01
3660.32,7.2083e+01,3.5616e+01
3661.09,-1.9648e+01,3.5649e+01
3661.87,2.2616e+01,3.5805e+01
3662.64,1.2190e+02,3.5499e+01
