Wavelength,Flux,Error
3503.10,6.2799e+01,6.4172e+01
3503.87,4.4246e+01,6.3723e+01
3504.65,6.7718e+01,6.4045e+01
3505.42,5.4951e+01,6.4552e+01
3506.20,1.5289e+01,6.4294e+01
3506.97,1.1385e+02,6.4454e+01
3507.75,7.7081e+01,6.3390e+01
3508.52,7.8871e+01,6.2670e+01
3509.29,9.0909e+01,6.2109e+01
3510.07,1.6854e+01,6.3193e+01
3510.84,2.0571e+01,6.2980e+01
3511.62,2.6877e+00,6.1873e+01
3512.39,9.6344e+00,6.1537e+01
3513.17,1.0221e+01,6.1129e+01
3513.94,4.7432e+01,6.1645e+01
3514.72,8.8542e+01,6.1882e+01
3515.49,6.1884e+01,6.2010e+01
3516.26,3.8712e+01,6.1831e+01
3517.04,8.3599e+01,6.0895e+01
3517.81,9.0966e+01,6.1134e+01
3518.59,4.5801e+01,6.2126e+01
3519.36,-5.5146e+00,7.4348e+01
3520.14,-4.0138e+01,7.9053e+01
3520.91,-2.1720e-01,6.5917e+01
3521.69,3.1157e+00,5.9361e+01
3522.46,-9.8527e+00,5.9042e+01
3523.24,3.2225e+01,5.8656e+01
3524.01,2.0796e+01,5.8157e+01
3524.78,8.8284e+01,5.9645e+01
3525.56,7.0695e+01,5.9064e+01
3526.33,7.5883e+01,5.8624e+01
3527.11,5.7792e+01,5.8307e+01
3527.88,2.5915e+01,5.7529e+01
3528.66,2.5436e+01,5.7841e+01
3529.43,6.7846e+01,5.7213e+01
3530.21,5.2020e+01,5.7443e+01
3530.98,3.5201e+01,5.8120e+01
3531.76,4.6340e+01,5.8012e+01
3532.53,6.0748e+01,5.6796e+01
3533.30,6.1785e+01,5.7341e+01
3534.08,4.4431e+01,5.7833e+01
3534.85,-3.3548e+00,5.7068e+01
3535.63,4.0177e+01,5.7273e+01
3536.40,5.4376e+01,5.7574e+01
3537.18,1.0454e+01,5.6605e+01
3537.95,-2.7843e+01,5.6529e+01
3538.73,8.6974e+01,5.6236e+01
3539.50,-2.0400e+01,5.6175e+01
3540.27,-2.0792e+01,5.6563e+01
3541.05,-2.7709e-01,5.7431e+01
3541.82,3.9417e+01,5.7371e+01
3542.60,5.1415e+01,5.6151e+01
3543.37,-2.7386e+01,5.6047e+01
3544.15,-8.0318e+01,5.6012e+01
3544.92,-7.0096e+00,5.6307e+01
3545.70,-2.9118e+01,5.5984e+01
3546.47,-8.8119e+00,5.5848e+01
3547.25,3.3050e+01,5.5676e+01
3548.02,2.7252e+01,5.8024e+01
3548.79,1.1778e+02,5.7528e+01
3549.57,5.6973e+01,5.4813e+01
3550.34,8.0038e+00,5.3579e+01
3551.12,7.9771e+01,5.3505e+01
3551.89,9.7944e+01,5.3503e+01
3552.67,4.7825e+01,5.3881e+01
3553.44,6.6638e+01,5.6716e+01
3554.22,9.8412e+01,5.8362e+01
3554.99,8.1189e+01,6.3091e+01
3555.76,5.8472e+00,6.4099e+01
3556.54,-1.3596e+02,6.3254e+01
3557.31,1.8092e+01,8.0140e+01
3558.09,4.8433e+01,6.7763e+01
3558.86,-5.2584e+01,5.4138e+01
3559.64,-5.1779e+01,5.3406e+01
3560.41,9.1050e+01,5.3171e+01
3561.19,5.3131e+01,5.1923e+01
3561.96,2.4066e+01,5.1475e+01
3562.74,4.5710e+01,5.1938e+01
3563.51,3.9888e+01,5.2023e+01
3564.28,-9.7939e+00,5.2498e+01
3565.06,2.8604e+01,5.1753e+01
3565.83,-9.3118e-01,5.0718e+01
3566.61,6.9634e+00,5.1478e+01
3567.38,1.2602e+01,5.2755e+01
3568.16,2.4206e+01,5.2696e+01
3568.93,4.0470e+01,5.2431e+01
3569.71,7.1547e+01,5.2711e+01
3570.48,6.3669e+00,5.2682e+01
3571.26,3.4889e+01,5.2222e+01
3572.03,3.5197e+01,5.1097e+01
3572.80,6.3341e+01,5.0451e+01
3573.58,2.9522e+01,5.1046e+01
3574.35,2.3251e+01,5.1227e+01
3575.13,3.7991e+01,5.0710e+01
3575.90,-1.9519e+01,4.9972e+01
3576.68,3.8933e-01,5.1248e+01
3577.45,5.2965e+01,5.0679e+01
3578.23,8.4733e+01,4.9690e+01
3579.00,3.5015e+01,4.9635e+01
3579.77,3.0795e+00,5.0362e+01
3580.55,1.6500e+01,5.0278e+01
3581.32,3.0255e+01,4.9433e+01
3582.10,1.5917e+01,4.9674e+01
3582.87,2.7455e+01,4.8494e+01
3583.65,3.9013e+01,4.9449e+01
3584.42,3.8249e+01,4.9486e+01
3585.20,4.4859e+01,4.8259e+01
3585.97,9.4163e+01,4.7905e+01
3586.75,1.2082e+02,4.8285e+01
3587.52,-2.9187e+01,4.8347e+01
3588.29,-7.2544e+01,4.8141e+01
3589.07,-1.2681e+00,4.7777e+01
3589.84,-3.1177e+01,4.7492e+01
3590.62,-1.7039e+01,4.7988e+01
3591.39,7.6432e+00,4.8021e+01
3592.17,3.4076e+00,4.8526e+01
3592.94,1.6696e+01,4.8287e+01
3593.72,1.6402e+00,4.7776e+01
3594.49,5.0271e+01,4.7404e+01
3595.27,1.1849e+02,4.8105e+01
3596.04,1.7472e+01,4.7726e+01
3596.81,-2.8856e+01,4.6892e+01
3597.59,-1.6370e+01,4.7019e+01
3598.36,-1.4845e+01,4.7300e+01
3599.14,1.9143e+01,4.7427e+01
3599.91,4.5760e+01,4.7190e+01
3600.69,8.4193e+01,4.7235e+01
3601.46,1.0044e+02,4.6633e+01
3602.24,8.5114e+01,4.6995e+01
3603.01,3.2396e+01,4.6795e+01
3603.78,7.3891e+01,4.6738e+01
3604.56,3.9325e+01,4.6090e+01
3605.33,-4.4838e+00,4.6081e+01
3606.11,-1.7394e+00,4.6215e+01
3606.88,1.6737e+01,4.5688e+01
3607.66,3.0390e+01,4.6067e+01
3608.43,9.6374e+01,4.7081e+01
3609.21,7.0528e+01,4.9998e+01
3609.98,3.7568e+01,4.7277e+01
3610.76,3.4940e+01,5.0734e+01
3611.53,7.8035e+00,5.0343e+01
3612.30,-3.7469e+01,4.7423e+01
3613.08,-4.1135e+01,4.5286e+01
3613.85,-2.1345e+01,4.5329e+01
3614.63,8.1956e+01,4.4953e+01
3615.40,1.0099e+02,4.3955e+01
3616.18,4.3476e+01,4.4036e+01
3616.95,3.2019e+01,4.4720e+01
3617.73,6.6981e+01,4.4500e+01
3618.50,7.4454e+01,4.4082e+01
3619.28,1.4217e+02,4.4011e+01
3620.05,1.0735e+02,4.3723e+01
3620.82,6.5737e+00,4.3684e+01
3621.60,2.4699e+01,4.3210e+01
3622.37,-3.7539e+01,4.2828e+01
3623.15,-6.2622e+01,4.3076e+01
3623.92,-3.5854e+01,4.4134e+01
3624.70,1.1033e+01,4.3618e+01
3625.47,4.5263e+01,4.3104e+01
3626.25,5.7135e+01,4.2883e+01
3627.02,4.0477e+01,4.2672e+01
3627.79,7.4003e+01,4.2305e+01
3628.57,1.3769e+01,4.2261e+01
3629.34,4.2604e+01,4.2647e+01
3630.12,2.7520e+01,4.2568e+01
3630.89,-2.7146e+00,4.2225e+01
3631.67,1.1859e+01,4.2039e+01
3632.44,4.5888e+01,4.2702e+01
3633.22,4.7463e+01,4.2436e+01
3633.99,4.4879e+01,4.1773e+01
3634.77,4.7860e+01,4.1912e+01
3635.54,4.8995e+01,4.1965e+01
3636.31,5.4941e+01,4.2029e+01
3637.09,3.2685e+01,4.2104e+01
3637.86,2.4643e+01,4.1623e+01
3638.64,5.5695e+01,4.1635e+01
3639.41,4.6371e+01,4.1833e+01
3640.19,6.8744e+00,4.2134e+01
3640.96,4.5366e+01,4.1881e+01
3641.74,5.3197e+01,4.1413e+01
3642.51,2.8601e+01,4.0994e+01
3643.29,2.7903e+01,4.0327e+01
3644.06,2.3231e+01,4.0721e+01
3644.83,-5.3874e-02,4.0716e+01
3645.61,2.1968e+01,4.0635e+01
3646.38,3.9923e+01,3.9993e+01
3647.16,5.3258e+01,3.9889e+01
3647.93,4.6282e+01,3.9791e+01
3648.71,1.9878e+01,3.9742e+01
3649.48,1.3376e+01,3.9813e+01
3650.26,3.8962e+01,3.9670e+01
3651.03,5.2045e+01,3.9199e+01
3651.80,1.5410e+01,3.8936e+01
3652.58,6.5368e+01,3.9026e+01
3653.35,-2.6108e+01,3.9049e+01
3654.13,2.4657e+01,3.8384e+01
3654.90,2.5131e+01,3.8514e+01
3655.68,1.9031e+01,3.8145e+01
3656.45,2.6072e+01,3.8060e+01
3657.23,4.2358e+01,3.7799e+01
3658.00,4.6195e+01,3.7481e+01
3658.78,-3.5666e+00,3.7544e+01
3659.55,1.3116e+01,3.7542e+01
3660.32,5.4277e+01,3.7220e+01
3661.10,2.1947e+01,3.7218e+01
3661.87,4.0434e+01,3.6578e+01
3662.65,-2.1349e+01,3.6425e+01
3663.42,1.4961e+00,3.5871e+01
3664.20,2.5746e+01,3.5561e+01
