Wavelength,Flux,Error
3617.00,-1.2202e+00,5.4788e+00
3617.77,8.6227e+00,5.4372e+00
3618.55,1.3271e+01,5.5032e+00
3619.32,1.4521e+00,5.3518e+00
3620.10,-5.9844e+00,5.2807e+00
3620.87,4.0718e+00,5.4237e+00
3621.65,-4.9372e+00,5.3775e+00
3622.42,5.5629e+00,5.2126e+00
3623.20,2.6765e+00,5.2198e+00
3623.97,-2.6520e+00,5.3764e+00
3624.75,8.4822e+00,5.5174e+00
3625.52,-2.7427e+00,5.3576e+00
3626.30,-1.5378e-01,5.2322e+00
3627.07,1.2422e+01,5.2030e+00
3627.85,-3.7958e+00,5.2198e+00
3628.62,-7.5972e-01,5.1690e+00
3629.40,-2.6088e+00,5.1480e+00
3630.17,-5.6532e+00,5.1616e+00
3630.94,8.5239e-01,5.2512e+00
3631.72,-8.8850e+00,5.2518e+00
3632.49,4.7584e+00,5.3152e+00
3633.27,3.2025e+00,5.3186e+00
3634.04,-7.4257e-01,5.2247e+00
3634.82,-1.2632e+00,5.1422e+00
3635.59,1.0028e+00,5.3250e+00
3636.37,-1.6807e-01,5.3271e+00
3637.14,4.8379e+00,5.2119e+00
3637.92,4.4834e+00,5.2282e+00
3638.69,7.1140e+00,5.2430e+00
3639.47,-2.3913e+00,5.1494e+00
3640.24,5.7021e+00,5.1252e+00
3641.02,8.4891e-01,5.0906e+00
3641.79,-6.3460e+00,5.0737e+00
3642.57,-4.3650e-01,5.0201e+00
3643.34,1.4492e+00,5.0752e+00
3644.12,9.9191e-01,5.1230e+00
3644.89,1.5652e+01,5.0769e+00
3645.67,2.7600e-01,5.0173e+00
3646.44,8.9209e+00,5.0540e+00
3647.22,-1.0196e+00,5.0092e+00
3647.99,2.7693e+00,5.0122e+00
3648.77,6.4879e+00,4.9039e+00
3649.54,5.4180e+00,4.7485e+00
3650.32,6.4215e+00,4.8332e+00
3651.09,5.3768e+00,4.9478e+00
3651.86,-6.6468e+00,4.8834e+00
3652.64,1.2405e+01,4.8606e+00
3653.41,5.5470e+00,4.8107e+00
3654.19,-4.6331e+00,4.7705e+00
3654.96,-7.2461e-01,4.8694e+00
3655.74,1.4739e+00,4.8644e+00
3656.51,7.1094e+00,4.9383e+00
3657.29,5.8098e+00,4.8255e+00
3658.06,-6.5907e-01,4.6980e+00
3658.84,3.2611e+00,4.6357e+00
3659.61,-4.4013e+00,4.6487e+00
3660.39,-4.1191e-01,4.7598e+00
3661.16,-1.4692e+00,4.7834e+00
3661.94,1.9791e+00,4.7415e+00
3662.71,1.9066e+00,4.5635e+00
3663.49,3.2239e+00,4.5050e+00
3664.26,7.3215e+00,4.6345e+00
3665.04,3.5219e+00,4.6352e+00
3665.81,-6.4407e+00,4.6462e+00
3666.59,1.4642e+00,4.6355e+00
3667.36,-5.5969e+00,4.7291e+00
3668.14,8.3573e-01,4.6928e+00
3668.91,-6.5111e+00,4.4934e+00
3669.69,5.2721e-01,4.5192e+00
3670.46,8.8475e+00,4.6203e+00
3671.24,-5.7902e-01,4.5080e+00
3672.01,4.4564e+00,4.3962e+00
3672.79,1.7425e+00,4.4298e+00
3673.56,-5.4502e+00,4.6256e+00
3674.33,1.2929e+00,4.5851e+00
3675.11,4.9994e+00,4.4430e+00
3675.88,5.3000e+00,4.4567e+00
3676.66,5.7741e+00,4.3733e+00
3677.43,-1.6703e+00,4.2485e+00
3678.21,5.3396e+00,4.2777e+00
3678.98,4.3681e+00,4.3610e+00
3679.76,1.8282e+00,4.2748e+00
3680.53,3.7114e+00,4.3266e+00
3681.31,2.5860e+00,4.3779e+00
3682.08,1.0374e+00,4.3460e+00
3682.86,1.4028e-01,4.2780e+00
3683.63,-2.1271e+00,4.1678e+00
3684.41,8.8898e+00,4.1622e+00
3685.18,9.9569e-01,4.2391e+00
3685.96,8.8142e+00,4.2095e+00
3686.73,-1.3479e+00,4.2023e+00
3687.51,2.9684e-01,4.1805e+00
3688.28,1.2894e+00,4.1781e+00
3689.06,4.3051e+00,4.3307e+00
3689.83,3.6463e+00,4.1800e+00
3690.61,1.6966e+00,4.1687e+00
3691.38,1.6036e+00,4.0733e+00
3692.16,1.2478e+01,4.0897e+00
3692.93,5.8184e+00,4.0742e+00
3693.71,5.0101e+00,4.0009e+00
3694.48,7.0319e+00,3.9055e+00
3695.25,-2.1972e+00,4.0194e+00
3696.03,6.1494e-01,4.0308e+00
3696.80,-2.4547e-01,4.0053e+00
3697.58,8.8364e+00,4.0320e+00
3698.35,8.6906e+00,4.0681e+00
3699.13,4.2653e+00,3.9586e+00
3699.90,1.0721e+00,3.9153e+00
3700.68,1.9415e+00,4.0044e+00
3701.45,-9.5488e-02,4.0334e+00
3702.23,4.7556e-01,3.8894e+00
3703.00,-3.1281e+00,3.7856e+00
3703.78,7.1423e+00,3.8039e+00
3704.55,2.4128e+00,3.8729e+00
3705.33,1.3726e+00,3.8053e+00
3706.10,2.9535e+00,3.7839e+00
3706.88,4.5912e+00,3.7540e+00
3707.65,8.7776e+00,3.6881e+00
3708.43,6.2272e+00,3.6816e+00
3709.20,-1.7038e+00,3.7565e+00
3709.98,6.3621e+00,3.7961e+00
3710.75,1.5982e+00,3.8165e+00
3711.53,3.1121e+00,3.7395e+00
3712.30,7.7945e-01,3.8106e+00
3713.08,2.3082e+00,3.7481e+00
3713.85,2.6250e+00,3.7361e+00
3714.63,1.8531e+00,3.6961e+00
3715.40,6.4122e+00,3.6592e+00
3716.18,2.8018e+00,3.6464e+00
3716.95,-2.5542e+00,3.5596e+00
3717.72,2.9784e+00,3.6343e+00
3718.50,-1.7856e+00,3.6389e+00
3719.27,1.8186e+00,3.6151e+00
3720.05,6.4419e-01,3.6722e+00
3720.82,3.8503e-01,3.5517e+00
3721.60,5.1398e+00,3.5650e+00
3722.37,-1.0772e+00,3.4960e+00
3723.15,5.3371e+00,3.5653e+00
3723.92,3.1903e-01,3.6141e+00
3724.70,5.6977e-01,3.5533e+00
3725.47,-6.9017e-01,3.5307e+00
3726.25,-1.6773e+00,3.5161e+00
3727.02,3.0156e+00,3.4936e+00
3727.80,3.3066e+00,3.4116e+00
3728.57,3.4479e+00,3.3194e+00
3729.35,6.3715e+00,3.3939e+00
3730.12,-1.1550e+00,3.4118e+00
3730.90,4.5023e+00,3.4012e+00
3731.67,-3.9140e-01,3.4219e+00
3732.45,5.0265e-01,3.3977e+00
3733.22,2.2669e+00,3.4222e+00
3734.00,3.9203e+00,3.4171e+00
3734.77,3.7245e+00,3.3587e+00
3735.55,1.5912e+00,3.3586e+00
3736.32,-7.2651e-01,3.3514e+00
3737.10,1.2139e+01,3.3684e+00
3737.87,1.5184e+00,3.3504e+00
3738.64,6.4176e+00,3.3313e+00
3739.42,4.4164e+00,3.3016e+00
3740.19,3.1622e+00,3.2733e+00
3740.97,9.6394e+00,3.2905e+00
3741.74,9.1630e-01,3.2665e+00
3742.52,2.6444e+00,3.2105e+00
3743.29,1.6266e+00,3.1842e+00
3744.07,3.7595e+00,3.1673e+00
3744.84,5.9593e+00,3.1876e+00
3745.62,5.3798e+00,3.1208e+00
3746.39,3.3936e+00,3.0790e+00
3747.17,5.7061e+00,3.1155e+00
3747.94,-9.8540e-01,3.1710e+00
3748.72,4.1204e+00,3.1799e+00
3749.49,2.8275e+00,3.1435e+00
3750.27,3.7093e-01,3.1061e+00
3751.04,6.2722e+00,3.1320e+00
3751.82,-2.9603e-01,3.1270e+00
3752.59,-1.0436e-01,3.0873e+00
3753.37,-2.0588e+00,3.0492e+00
3754.14,1.0277e+00,3.0522e+00
3754.92,2.6420e+00,3.0565e+00
3755.69,-2.2983e+00,3.0536e+00
3756.47,4.7368e-01,3.0261e+00
3757.24,-2.6641e-01,3.0421e+00
3758.02,-4.9925e-01,3.0083e+00
3758.79,7.5189e+00,3.0130e+00
3759.57,5.3157e-01,3.0230e+00
3760.34,4.4053e+00,3.0189e+00
3761.11,-1.2406e+00,2.9934e+00
3761.89,2.2656e+00,2.9493e+00
3762.66,2.4695e+00,2.9202e+00
3763.44,4.7635e+00,2.9367e+00
3764.21,6.0688e+00,2.9475e+00
3764.99,-5.0341e-01,2.9071e+00
3765.76,-1.4859e+00,2.9032e+00
3766.54,1.7175e+00,2.9137e+00
3767.31,1.6089e+00,2.9404e+00
3768.09,4.8263e+00,2.9733e+00
3768.86,2.8298e+00,2.9767e+00
3769.64,4.1227e-01,2.9165e+00
3770.41,-3.6241e-01,2.9097e+00
3771.19,-2.5960e-01,2.8652e+00
3771.96,2.6823e+00,2.8663e+00
3772.74,-3.1995e+00,2.8863e+00
3773.51,1.7479e-01,2.8661e+00
3774.29,3.1652e-01,2.8469e+00
3775.06,1.9588e-01,2.8289e+00
3775.84,-2.4627e-01,2.8068e+00
3776.61,-1.8674e+00,2.8069e+00
3777.39,-1.3619e+00,2.8239e+00
3778.16,2.8581e+00,2.8360e+00
3778.94,-1.5062e+00,2.8524e+00
3779.71,8.8417e+00,2.8356e+00
3780.49,-1.3427e+00,2.7960e+00
3781.26,1.1918e+00,2.7636e+00
3782.03,-2.6598e+00,2.8019e+00
3782.81,-1.2982e+00,2.7547e+00
3783.58,3.0750e+00,2.7203e+00
3784.36,2.7496e-01,2.7275e+00
3785.13,3.1629e+00,2.7004e+00
3785.91,1.4110e+00,2.6970e+00
3786.68,-9.8997e-02,2.7113e+00
3787.46,4.4066e+00,2.7205e+00
3788.23,4.9222e+00,2.6928e+00
3789.01,4.2494e+00,2.6604e+00
3789.78,2.7184e+00,2.6642e+00
3790.56,-2.6697e+00,2.6686e+00
3791.33,1.1661e+00,2.6598e+00
3792.11,-4.4463e+00,2.6545e+00
3792.88,2.6074e+00,2.6372e+00
3793.66,1.4413e+00,2.6364e+00
3794.43,9.3166e-01,2.5935e+00
3795.21,-6.6817e-01,2.6001e+00
3795.98,-1.4916e+00,2.5952e+00
3796.76,-1.4651e-01,2.5786e+00
3797.53,-1.1205e+00,2.5640e+00
3798.31,9.3825e-01,2.5434e+00
3799.08,1.0004e+00,2.5619e+00
3799.86,-3.4038e+00,2.5820e+00
3800.63,5.7123e-02,2.5597e+00
3801.41,3.3762e+00,2.5486e+00
3802.18,1.9036e+00,2.5207e+00
3802.96,-3.3346e-01,2.5236e+00
3803.73,-4.0832e+00,2.5116e+00
3804.50,1.2893e+00,2.5086e+00
3805.28,-1.4805e+00,2.4922e+00
3806.05,-3.6183e-01,2.4743e+00
3806.83,-1.3475e+00,2.4745e+00
3807.60,-1.7379e-01,2.4868e+00
3808.38,1.8582e+00,2.4979e+00
3809.15,2.8621e+00,2.4877e+00
3809.93,3.1322e+00,2.4975e+00
3810.70,4.0679e+00,2.4847e+00
3811.48,-2.2564e+00,2.4790e+00
3812.25,3.7979e+00,2.4856e+00
3813.03,1.6876e+00,2.5121e+00
3813.80,8.1561e-01,2.4652e+00
3814.58,2.0113e+00,2.4257e+00
3815.35,6.1858e-01,2.3964e+00
3816.13,4.5961e+00,2.4174e+00
3816.90,1.6486e+00,2.4298e+00
3817.68,3.1439e+00,2.4085e+00
