Wavelength,Flux,Error
3503.10,3.7932e+01,1.4994e+01
3503.87,2.0852e+01,1.4824e+01
3504.65,3.5280e+01,1.4203e+01
3505.42,3.0884e+01,1.4300e+01
3506.20,5.2110e+01,1.4389e+01
3506.97,5.0641e+01,1.4396e+01
3507.75,2.3582e+01,1.4467e+01
3508.52,7.7736e+01,1.4501e+01
3509.30,9.6958e+00,1.4378e+01
3510.07,3.4617e+01,1.4363e+01
3510.85,3.5983e+01,1.4241e+01
3511.62,3.3651e+01,1.4165e+01
3512.40,2.2548e+01,1.4439e+01
3513.17,-2.5405e-01,1.4271e+01
3513.95,-6.7761e+01,1.4133e+01
3514.72,8.1791e+00,1.4043e+01
3515.50,4.9805e+01,1.4026e+01
3516.27,9.3941e+01,1.3792e+01
3517.05,4.8797e+01,1.3897e+01
3517.82,2.3082e+01,1.3902e+01
3518.60,1.1886e+01,1.3750e+01
3519.37,4.8770e+01,1.3835e+01
3520.15,1.8724e+01,1.4017e+01
3520.92,6.5077e+01,1.4102e+01
3521.70,8.2219e+01,1.3795e+01
3522.47,2.8812e+01,1.3664e+01
3523.24,2.0096e+01,1.3314e+01
3524.02,6.0948e+01,1.3248e+01
3524.79,5.0820e+01,1.3074e+01
3525.57,-2.3383e+01,1.3185e+01
3526.34,3.7684e+01,1.3097e+01
3527.12,1.7625e+01,1.3336e+01
3527.89,2.8689e+01,1.3097e+01
3528.67,3.6191e+01,1.2921e+01
3529.44,2.5509e+01,1.3016e+01
3530.22,6.4118e+01,1.2794e+01
3530.99,2.2865e+01,1.2622e+01
3531.77,-1.5092e+01,1.2684e+01
3532.54,-2.0377e+00,1.2593e+01
3533.32,3.1707e+01,1.2754e+01
3534.09,2.4489e+01,1.2729e+01
3534.87,2.8984e+01,1.2724e+01
3535.64,5.3991e+01,1.2658e+01
3536.42,4.4731e+01,1.2575e+01
3537.19,2.7530e+01,1.2488e+01
3537.97,2.3498e+01,1.2715e+01
3538.74,3.8257e+01,1.2817e+01
3539.52,7.4593e+01,1.2621e+01
3540.29,1.9810e+01,1.2773e+01
3541.07,-2.1036e+01,1.2970e+01
3541.84,2.9451e+01,1.2978e+01
3542.62,3.7481e+01,1.3180e+01
3543.39,-2.0015e+00,1.3558e+01
3544.17,-3.2854e+01,1.3424e+01
3544.94,-4.8670e+00,1.2465e+01
3545.71,4.9336e+01,1.2488e+01
3546.49,7.8106e-01,1.2453e+01
3547.26,-2.1548e+01,1.2366e+01
3548.04,2.3652e+01,1.2349e+01
3548.81,3.7128e+01,1.2557e+01
3549.59,-1.8199e+01,1.2948e+01
3550.36,5.2190e+00,1.2947e+01
3551.14,3.1390e+01,1.2880e+01
3551.91,2.1690e+01,1.2385e+01
3552.69,2.1337e+01,1.2046e+01
3553.46,1.0811e+01,1.2025e+01
3554.24,2.8845e+01,1.2141e+01
3555.01,5.6373e+01,1.1931e+01
3555.79,1.7151e+01,1.1883e+01
3556.56,3.0890e+01,1.1891e+01
3557.34,4.6711e+01,1.1907e+01
3558.11,3.6009e+01,1.1960e+01
3558.89,4.5594e+01,1.2056e+01
3559.66,5.6062e+01,1.1921e+01
3560.44,3.3424e+01,1.1892e+01
3561.21,7.6653e+01,1.1815e+01
3561.99,3.6576e+00,1.1606e+01
3562.76,2.8895e+01,1.1701e+01
3563.54,4.1147e+01,1.1657e+01
3564.31,-1.0009e+00,1.1595e+01
3565.09,2.5793e-01,1.1515e+01
3565.86,6.2524e+01,1.1499e+01
3566.64,3.4681e+01,1.1427e+01
3567.41,-7.2225e+00,1.1376e+01
3568.18,2.8960e+01,1.1259e+01
3568.96,-4.0539e-01,1.1306e+01
3569.73,2.9881e+01,1.1326e+01
3570.51,3.8444e+01,1.0963e+01
3571.28,3.5673e+01,1.0895e+01
3572.06,3.6376e+01,1.0875e+01
3572.83,1.8756e+01,1.1129e+01
3573.61,1.2491e+01,1.1200e+01
3574.38,1.0478e+01,1.1256e+01
3575.16,1.1620e+01,1.1141e+01
3575.93,1.9615e+01,1.0910e+01
3576.71,3.8519e+01,1.0703e+01
3577.48,-8.6454e+00,1.0790e+01
3578.26,4.3194e+01,1.0929e+01
3579.03,2.8145e+01,1.0925e+01
3579.81,1.2394e+01,1.0686e+01
3580.58,5.1247e+01,1.0588e+01
3581.36,6.8910e+00,1.0440e+01
3582.13,8.8057e+00,1.0321e+01
3582.91,4.4063e+01,1.0301e+01
3583.68,2.2639e+01,1.0257e+01
3584.46,4.7505e+01,1.0331e+01
3585.23,2.1646e+01,1.0170e+01
3586.01,4.7574e+00,1.0059e+01
3586.78,9.0412e+00,1.0080e+01
3587.56,2.8229e+01,1.0213e+01
3588.33,2.8668e+01,1.0238e+01
3589.11,3.0385e+01,9.9755e+00
3589.88,8.9186e+00,1.0051e+01
3590.65,-7.1862e+00,1.0337e+01
3591.43,7.1468e+01,1.0405e+01
3592.20,6.2237e+01,1.0270e+01
3592.98,1.6126e+01,1.0117e+01
3593.75,-1.4782e+01,1.0029e+01
3594.53,1.3696e+01,9.9655e+00
3595.30,5.2157e+01,9.9909e+00
3596.08,2.9563e+01,1.0027e+01
3596.85,3.0971e+01,1.0157e+01
3597.63,6.9642e+01,1.0249e+01
3598.40,1.7510e+00,1.0116e+01
3599.18,1.5874e+01,1.0178e+01
3599.95,1.2362e+01,1.0110e+01
3600.73,1.9181e+01,1.0044e+01
3601.50,3.7269e+01,9.9531e+00
3602.28,4.8546e+01,1.0024e+01
3603.05,-1.9536e+01,9.9164e+00
3603.83,1.9918e+00,1.0013e+01
3604.60,3.6773e+01,1.0102e+01
3605.38,2.5472e+01,1.0105e+01
3606.15,3.4308e+01,1.0019e+01
3606.93,5.2686e+00,9.8530e+00
3607.70,1.9017e+00,9.7085e+00
3608.48,3.2642e+01,9.4270e+00
3609.25,2.6856e+01,9.3206e+00
3610.03,2.8576e+01,9.3657e+00
3610.80,5.5359e+01,9.4834e+00
3611.58,2.2709e+01,9.4507e+00
3612.35,2.7681e+01,9.2152e+00
3613.12,2.5004e+00,9.1928e+00
3613.90,1.4347e+01,9.2646e+00
3614.67,2.7733e+01,9.1940e+00
3615.45,1.7155e+01,9.3498e+00
3616.22,2.9138e+01,9.4477e+00
3617.00,4.0036e+01,9.3122e+00
3617.77,2.7210e+01,9.0520e+00
3618.55,4.2161e+01,8.9063e+00
3619.32,5.9642e+01,8.9126e+00
3620.10,2.7682e+01,9.0035e+00
3620.87,3.8155e+01,8.9879e+00
3621.65,3.4382e+01,9.0244e+00
3622.42,2.1043e+01,9.1157e+00
3623.20,3.6991e+00,9.2676e+00
3623.97,1.0562e+01,9.1398e+00
3624.75,1.6841e+01,8.9981e+00
3625.52,5.0352e+01,9.0074e+00
3626.30,3.1410e+01,9.0401e+00
3627.07,1.2463e+01,9.1640e+00
3627.85,2.5423e+01,8.9542e+00
3628.62,1.0141e+01,8.9245e+00
3629.40,1.4462e+01,8.8441e+00
