SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,Ia-pec/2013bh/HET-LRS phase-band : -2.0V,0.35379863,0.6378092,0.19,2.0,-2.0,V,0.12646909,0.8735309,6.333722,0.014661394
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,IIn/2010jl/DEIMOS phase-band : 20.65V,0.30456087,0.76304543,0.07,2.0,20.65,V,0.06504978,0.93495023,6.2836905,0.0147159025
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,SLSN-I/2015bn/SPRAT phase-band : -16.66B,0.295429,0.6142173,0.3,0.0,-16.66,B,0.2507211,0.7492789,6.3815074,0.014980065
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,Ic-BL/2006aj/FORS2 phase-band : 11.01B,0.3010048,0.7604333,0.08,2.0,11.01,B,0.066058055,0.93394196,6.3767734,0.015004173
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,SLSN-I/LSQ14mo/EFOSC2-NTT phase-band : -8.84r,0.8135642,0.0731263,0.5,-0.6,-8.84,r,0.9782843,0.021715676,6.8966064,0.0151241375
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,II/2013fs/ALFOSC phase-band : 6.24B,0.7341798,0.27402404,0.07,0.2,6.24,B,0.6736308,0.32636923,8.427146,0.016051708
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,SLSN-I/SN2010gx/DBSP phase-band : -6.63B,0.4345978,0.33673075,0.5,-1.4,-6.63,B,0.7483849,0.2516151,8.296478,0.016396202
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,SLSN-I/PTF12dam/OSIRIS phase-band : -19.0B,0.30496287,0.08092207,0.46,-2.0,-19.0,B,0.98523873,0.014761293,7.151355,0.016631057
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB4,TDE H+He/ASASSN-14li/DIS phase-band : 9.91B,0.082523495,0.7292318,0.02,-1.4,9.91,B,0.3584823,0.6415177,8.602362,0.016703615
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,Sc,Ia-norm/2011by/KAST phase-band : -2.77B,0.24393582,0.27503714,0.02,-1.6,-2.77,B,0.8115414,0.18845865,9.271375,0.017011696
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,Sc,Ia-norm/2011by/KAST phase-band : -4.75B,0.2523958,0.27112937,0.02,-1.6,-4.75,B,0.8150463,0.18495367,9.301389,0.017066767
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB4,Ia 99aa-like/1999aa/ALFOSC phase-band : -10.0B,0.24937195,0.42821825,0.05,-1.8,-10.0,B,0.7293369,0.27066305,9.128367,0.017126393
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,SLSN-I/Gaia16apd/MMT-Blue phase-band : -2.16B,0.42689052,0.007553677,0.5,-2.0,-2.16,B,0.9987647,0.0012352901,7.530338,0.017311122
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB4,Ia-norm/2012cg/KAST phase-band : -5.5B,0.3113119,0.13530396,0.02,-1.8,-5.5,B,0.9278255,0.072174504,9.4425955,0.017357713
