no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn2002bf,Ia-norm,0.4319,6.1,0.6195,0.0071,15.5,0,good
2,sn1995D,Ia-norm,0.4251,5.98,0.5945,0.006,69.0,0,good
3,sn2002dj,Ia-norm,0.4319,5.89,0.6049,0.0065,22.3,0,good
4,sn2007fs,Ia-norm,0.4264,5.83,0.5982,0.0055,51.1,0,good
5,sn1999gp,Ia-91T,0.4346,5.82,0.6054,0.006,21.4,0,good
6,sn2007fs,Ia-norm,0.421,5.81,0.5969,0.0054,55.1,0,good
7,sn2002bf,Ia-norm,0.4319,5.72,0.6199,0.0071,14.6,0,good
8,sn2002bf,Ia-norm,0.4305,5.68,0.619,0.0071,16.4,0,good
9,sn2001N,Ia-norm,0.4251,5.65,0.6225,0.0071,9.4,0,good
10,sn2000bk,Ia-norm,0.4305,5.59,0.6074,0.0061,11.9,0,good
11,sn2002bf,Ia-norm,0.4319,5.56,0.6234,0.0074,11.7,0,bad
12,sn2000B,Ia-norm,0.4264,5.55,0.621,0.0068,13.6,0,good
13,sn1992A,Ia-norm,0.4319,5.52,0.6164,0.0064,15.8,0,good
14,sn2006X,Ia-norm,0.4319,5.51,0.6171,0.0084,17.1,0,good
15,sn2007fs,Ia-norm,0.4237,5.49,0.5969,0.0056,60.9,0,good
16,sn2006X,Ia-norm,0.4156,5.44,0.6089,0.0068,31.1,0,good
17,sn1997do,Ia-norm,0.4224,5.43,0.6047,0.0065,47.8,0,good
18,sn1997bp,Ia-norm,0.421,5.37,0.612,0.007,31.5,0,good
19,sn2001N,Ia-norm,0.4251,5.36,0.6231,0.0072,10.4,0,good
20,sn2000B,Ia-norm,0.4251,5.31,0.6038,0.0079,44.0,0,good
21,sn2001cp,Ia-norm,0.4292,5.28,0.6032,0.0064,22.3,0,good
22,sn2002bf,Ia-norm,0.4319,5.28,0.6229,0.0078,12.6,0,good
23,sn1997bq,Ia-norm,0.421,5.28,0.5953,0.0077,46.9,0,good
24,sn2006X,Ia-norm,0.417,5.27,0.6089,0.0076,33.2,0,good
25,sn2001gc,Ia-norm,0.4264,5.25,0.6152,0.0083,18.2,0,good
26,sn2002cs,Ia-norm,0.4237,5.24,0.6139,0.0063,18.0,0,good
27,sn2007fs,Ia-norm,0.4116,5.2,0.5978,0.0059,48.2,0,good
28,sn1999X,Ia-norm,0.4305,5.2,0.6038,0.0062,20.8,0,good
29,sn1997do,Ia-norm,0.417,5.17,0.6098,0.0063,20.9,0,good
30,sn1998dk,Ia-norm,0.421,5.16,0.6109,0.007,21.0,0,good
31,sn1997bp,Ia-norm,0.4143,5.16,0.6131,0.0074,27.4,0,good
32,sn2003kf,Ia-norm,0.4156,5.14,0.5995,0.0069,53.1,0,good
33,sn1998dk,Ia-norm,0.421,5.12,0.6097,0.0071,23.0,0,good
34,sn2002bf,Ia-norm,0.4305,5.12,0.6264,0.008,10.6,0,bad
35,sn1997do,Ia-norm,0.417,5.11,0.6101,0.0065,20.0,0,good
36,sn1998ec,Ia-norm,0.4264,5.1,0.6092,0.0077,19.6,0,good
37,sn1999aw,Ia-91T,0.4413,5.09,0.606,0.0059,35.6,0,good
38,sn2002bo,Ia-norm,0.4116,5.08,0.598,0.0072,49.3,0,good
39,sn1997bp,Ia-norm,0.421,5.06,0.6021,0.0095,54.3,0,good
40,sn1998ab,Ia-91T,0.4346,5.05,0.6014,0.006,17.5,0,good
41,sn2006ac,Ia-norm,0.4454,5.05,0.6136,0.0069,15.0,0,good
42,sn2004at,Ia-norm,0.4278,5.05,0.6045,0.0065,17.8,0,good
43,sn1998dk,Ia-norm,0.421,5.03,0.6052,0.0077,44.7,0,good
44,sn1997bp,Ia-norm,0.4197,5.02,0.6051,0.0092,49.3,0,good
45,sn2002bo,Ia-norm,0.4116,5.02,0.5978,0.0073,51.2,0,good
46,sn1995D,Ia-norm,0.4237,5.02,0.5952,0.0066,64.0,0,good
47,sn2000fa,Ia-norm,0.4292,5.01,0.6059,0.0068,20.8,0,good
48,sn2002dj,Ia-norm,0.4156,5.01,0.6103,0.0077,16.4,0,good
