no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn2003ic,Ia-norm,0.6986,7.05,0.0748,0.0057,5.3,0,good
2,sn1999ac,Ia-91T,0.8448,6.95,0.0763,0.0076,-2.1,0,good
3,sn2003ic,Ia-norm,0.6986,6.78,0.076,0.0059,4.3,0,good
4,sn2003ic,Ia-norm,0.6986,6.3,0.0736,0.0054,8.0,0,good
5,sn2003ic,Ia-norm,0.6972,6.3,0.0744,0.0062,7.2,0,good
6,sn2002ic,Ia-csm,0.815,5.85,0.0657,0.0067,9.4,0,good
7,sn2003W,Ia-norm,0.6959,5.68,0.0885,0.011,-3.3,0,good
8,sn2003ic,Ia-norm,0.6986,5.61,0.0756,0.0071,3.4,0,good
9,sn1999aa,Ia-91T,0.7568,5.33,0.0719,0.0113,6.7,0,good
10,sn2002bo,Ia-norm,0.75,5.19,0.0857,0.012,-3.7,0,good
11,sn1999ac,Ia-91T,0.7622,5.09,0.0811,0.0131,-9.9,0,good
12,sn1999ac,Ia-91T,0.8353,5.09,0.0689,0.0093,7.8,0,good
13,sn2006le,Ia-norm,0.7446,5.07,0.1028,0.0122,-11.7,0,good
14,sn2002bo,Ia-norm,0.8637,5.05,0.0839,0.0124,-2.8,0,good
15,sn2005A,Ia-norm,0.7757,5.03,0.0813,0.0114,1.5,0,good
