no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn2006bp,IIP,0.7392,8.43,0.0398,0.0066,0.1,0,good
2,sn2006bp,IIP,0.7067,6.91,0.041,0.0076,-1.7,0,good
3,sn2006bp,IIP,0.75,6.82,0.0389,0.0079,2.1,0,good
4,sn1999em,IIP,0.6918,6.71,0.0344,0.0077,-2.6,0,good
5,sn1999gi,IIP,0.6891,6.58,0.0356,0.0079,-4.0,0,good
6,sn1999em,IIP,0.6864,6.23,0.036,0.0085,-3.6,0,good
7,sn1999em,IIP,0.6918,6.08,0.0337,0.0081,-1.6,0,good
8,sn1999gi,IIP,0.6877,5.59,0.0376,0.0088,-5.0,0,good
9,sn2006bp,IIP,0.6783,5.47,0.0372,0.0086,3.3,0,good
