no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn2007jg,Ia-norm,0.6891,4.3,0.1792,0.0144,13.1,0,good
2,sn2002ap,Ic-broad,0.6133,4.21,0.1904,0.0117,270.3,0,good
3,sn2005cs,IIP,0.769,4.19,0.1537,0.0054,12.7,0,bad
4,sn2005cs,IIP,0.7703,4.16,0.1541,0.0062,9.7,0,bad
5,sn1998de,Ia-91bg,0.6241,4.15,0.1894,0.0156,-7.2,0,good
6,sn1995E,Ia-norm,0.8854,4.07,0.2138,0.0138,8.9,0,bad
7,sn2004S,Ia-norm,0.8962,4.03,0.096,0.0101,1.6,0,bad
8,sn1994I,Ic-norm,0.7432,4.01,0.1743,0.0139,0.1,0,good
9,sn1984A,Ia-norm,0.4955,4.0,0.2157,0.0148,-7.0,0,bad
10,sn1998de,Ia-91bg,0.6999,3.99,0.187,0.0159,-6.2,0,good
11,sn2006X,Ia-norm,0.7013,3.98,0.1807,0.0153,17.1,0,good
12,sn1997cn,Ia-91bg,0.727,3.98,0.1718,0.0075,3.9,0,good
13,sn2005cs,IIP,0.7419,3.98,0.1544,0.006,10.0,0,bad
14,sn2006X,Ia-norm,0.7107,3.96,0.1842,0.0154,10.3,0,good
15,sn2006X,Ia-norm,0.7121,3.96,0.1827,0.015,11.2,0,good
16,sn2005cs,IIP,0.7432,3.95,0.1547,0.0063,9.0,0,bad
17,sn2006gr,Ia-norm,0.7392,3.91,0.182,0.0054,12.4,0,good
18,sn1998de,Ia-91bg,0.6999,3.83,0.1809,0.0153,-2.2,0,good
19,sn2006X,Ia-norm,0.6986,3.82,0.182,0.0166,12.3,0,good
20,sn2004et,IIP,0.7432,3.8,0.1596,0.0094,10.0,0,bad
21,sn2007S,Ia-91T,0.7459,3.8,0.1829,0.0082,12.1,0,good
22,sn2005cs,IIP,0.7446,3.79,0.1547,0.0065,8.0,0,bad
23,sn2005cg,Ia-norm,0.6309,3.78,0.3433,0.0118,-8.8,0,bad
24,sn2008Z,Ia-norm,0.7446,3.75,0.1706,0.0109,47.5,0,good
25,sn2006D,Ia-norm,0.7405,3.73,0.1795,0.0091,4.5,0,good
26,sn2003du,Ia-norm,0.7744,3.71,0.1627,0.0118,71.3,0,bad
27,sn1994D,Ia-norm,0.6877,3.7,0.3422,0.0126,-9.2,0,bad
28,sn2000ce,Ia-norm,0.6959,3.7,0.1777,0.0137,19.5,0,good
29,sn2003cg,Ia-norm,0.6403,3.68,0.334,0.0087,-2.8,0,bad
30,sn1998de,Ia-91bg,0.7013,3.68,0.1778,0.0154,-0.3,0,good
31,sn2007le,Ia-norm,0.7473,3.67,0.1673,0.0125,67.0,0,bad
32,sn2006bz,Ia-91bg,0.7392,3.67,0.1755,0.0128,-0.3,0,good
33,sn1983V,Ic-norm,0.6579,3.67,0.1729,0.0129,17.9,0,good
34,sn1998es,Ia-91T,0.7311,3.64,0.1792,0.0094,14.3,0,good
35,sn1998de,Ia-91bg,0.6999,3.63,0.1839,0.0169,-5.2,0,good
36,sn1983V,Ic-norm,0.6038,3.61,0.1713,0.0171,13.9,0,good
37,sn1984A,Ia-norm,0.5212,3.61,0.2156,0.0168,-5.9,0,bad
38,sn1998bw,Ic-broad,0.7811,3.59,0.1803,0.0162,59.2,0,good
39,sn1986G,Ia-91bg,0.6552,3.57,0.1761,0.0158,0.8,0,good
40,sn2003hv,Ia-norm,0.6417,3.56,0.1799,0.0136,11.2,0,good
41,sn2004dt,Ia-norm,0.7839,3.55,0.1632,0.0108,59.7,0,bad
42,sn1990I,Ib-norm,0.8475,3.54,0.1558,0.004,40.1,0,bad
43,sn2004et,IIP,0.7446,3.53,0.1599,0.0102,12.0,0,bad
44,sn2002fk,Ia-norm,0.7013,3.51,0.1692,0.0133,119.3,0,good
45,sn1994I,Ic-norm,0.7107,3.5,0.177,0.0191,-2.5,0,good
46,sn2007le,Ia-norm,0.7487,3.5,0.1654,0.0112,77.9,0,bad
47,sn1991bg,Ia-91bg,0.7338,3.49,0.1645,0.0175,0.9,0,bad
48,sn2007af,Ia-norm,0.75,3.49,0.1619,0.0121,87.7,0,bad
49,sn1998de,Ia-91bg,0.7013,3.49,0.1743,0.0148,2.7,0,good
50,sn2005cs,IIP,0.7446,3.48,0.1523,0.0045,26.0,0,bad
51,sn2007ca,Ia-norm,0.7419,3.48,0.1821,0.0099,11.4,0,good
52,sn1986G,Ia-91bg,0.6552,3.48,0.1752,0.016,-0.2,0,good
53,sn1983V,Ic-norm,0.6579,3.47,0.1739,0.0135,15.9,0,good
