no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn2002cd,Ia-norm,0.6458,9.34,0.2788,0.0061,18.0,0,good
2,sn2006le,Ia-norm,0.6864,8.45,0.2736,0.0067,16.7,0,good
3,sn2002cd,Ia-norm,0.6471,8.11,0.2815,0.0072,15.1,0,good
4,sn2005lu,Ia-norm,0.7311,7.91,0.2751,0.0072,18.5,0,good
5,sn2005lu,Ia-norm,0.7283,7.79,0.278,0.007,16.6,0,good
6,sn2001E,Ia-norm,0.6552,7.64,0.2812,0.0071,14.6,0,good
7,sn2006le,Ia-norm,0.685,7.63,0.276,0.0073,14.7,0,good
8,sn2000fa,Ia-norm,0.6593,7.62,0.2737,0.0072,16.0,0,good
9,sn1999aa,Ia-91T,0.6607,7.54,0.2724,0.0075,14.5,0,good
10,sn1999aa,Ia-91T,0.6525,7.48,0.2724,0.0074,16.6,0,good
11,sn1999aa,Ia-91T,0.6525,7.29,0.2734,0.0081,15.6,0,good
12,sn2007le,Ia-norm,0.7107,7.24,0.2745,0.0076,15.4,0,good
13,sn2006X,Ia-norm,0.7243,7.16,0.2724,0.0078,275.1,0,good
14,sn2002bf,Ia-norm,0.662,7.12,0.2781,0.0076,14.6,0,good
15,sn2007le,Ia-norm,0.7094,7.09,0.2757,0.0077,14.4,0,good
16,sn2007le,Ia-norm,0.7107,7.03,0.2736,0.0077,16.4,0,good
17,sn1998dk,Ia-norm,0.6512,6.99,0.2753,0.0076,16.1,0,good
18,sn1999aa,Ia-91T,0.6512,6.92,0.2746,0.0081,14.6,0,good
19,sn2000fa,Ia-norm,0.6593,6.89,0.2758,0.0079,14.0,0,good
20,sn2003kc,Ia-norm,0.6688,6.81,0.2737,0.0082,14.6,0,good
21,sn1996ai,Ia-norm,0.6458,6.73,0.273,0.0084,15.1,0,good
22,sn2001az,Ia-91T,0.6769,6.73,0.2723,0.0086,18.0,0,good
23,sn2001cp,Ia-norm,0.6579,6.71,0.2726,0.008,16.5,0,good
24,sn2001ck,Ia-norm,0.6701,6.67,0.2717,0.0081,16.3,0,good
25,sn1998dm,Ia-norm,0.6431,6.65,0.2717,0.008,17.4,0,good
