no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn1990O,Ia-norm,0.8015,14.58,0.0339,0.0045,-6.6,0,good
2,sn1990O,Ia-norm,0.8015,14.26,0.033,0.0044,-5.6,0,good
3,sn2002er,Ia-norm,0.7717,13.22,0.0312,0.0048,-7.0,0,good
4,sn1992A,Ia-norm,0.7135,12.26,0.0365,0.0046,-5.4,0,good
5,sn2006gr,Ia-norm,0.7338,11.45,0.0318,0.0056,-1.1,0,good
6,sn2002er,Ia-norm,0.8989,11.45,0.0302,0.0053,-5.0,0,good
7,sn2005cf,Ia-norm,0.9395,11.44,0.0256,0.0052,-1.2,0,good
8,sn2008Z,Ia-norm,0.7405,11.43,0.0317,0.0057,-9.2,0,good
9,sn2002er,Ia-norm,0.6688,11.08,0.0293,0.0053,-6.0,0,good
10,sn1992A,Ia-norm,0.7135,11.0,0.0323,0.0047,-0.8,0,good
11,sn2006gr,Ia-norm,0.7338,10.95,0.0343,0.0059,-4.0,0,good
12,sn1990N,Ia-norm,0.8935,10.83,0.0435,0.007,-14.2,0,good
13,sn2006gr,Ia-norm,0.7311,10.63,0.0355,0.0063,-5.1,0,good
14,sn2003du,Ia-norm,0.7514,10.56,0.0273,0.0059,-8.1,0,good
15,sn2007co,Ia-norm,0.7405,10.45,0.0271,0.0054,-0.2,0,good
16,sn2007co,Ia-norm,0.7405,10.43,0.0279,0.0055,-1.2,0,good
17,sn2003du,Ia-norm,0.8069,10.32,0.0232,0.0056,-2.2,0,good
18,sn2002er,Ia-norm,0.7703,10.26,0.0336,0.0062,-9.0,0,good
19,sn2005cf,Ia-norm,0.9395,10.26,0.0274,0.006,-2.7,0,good
20,sn2006gr,Ia-norm,0.7365,10.25,0.0317,0.0059,-2.1,0,good
21,sn2003du,Ia-norm,0.9368,10.12,0.0276,0.0059,-7.2,0,good
22,sn2006gr,Ia-norm,0.7311,10.11,0.0389,0.007,-6.9,0,good
23,sn2002er,Ia-norm,0.9395,10.11,0.0274,0.0059,-4.0,0,good
24,sn2007A,Ia-norm,0.7378,10.09,0.0225,0.0056,-2.4,0,good
25,sn2007co,Ia-norm,0.7365,10.03,0.0258,0.0055,1.7,0,good
26,sn2008ar,Ia-norm,0.7378,10.03,0.0241,0.0057,3.1,0,good
27,sn2007A,Ia-norm,0.7446,10.0,0.0225,0.0057,-3.4,0,good
28,sn2008ar,Ia-norm,0.7419,9.81,0.0233,0.006,4.1,0,good
29,sn2008bf,Ia-norm,0.7419,9.79,0.0267,0.0056,0.7,0,good
30,sn2007kk,Ia-norm,0.7256,9.77,0.0312,0.0062,-1.7,0,good
31,sn2007co,Ia-norm,0.7392,9.75,0.0264,0.0057,0.8,0,good
32,sn2007af,Ia-norm,0.7473,9.75,0.0251,0.0058,-5.6,0,good
33,sn2007af,Ia-norm,0.7473,9.73,0.0245,0.0057,-4.6,0,good
34,sn2003du,Ia-norm,0.792,9.73,0.0233,0.0059,-0.3,0,good
35,sn2006gr,Ia-norm,0.7297,9.69,0.0372,0.0071,-6.0,0,good
36,sn2005cf,Ia-norm,0.9395,9.68,0.0289,0.0066,-5.5,0,good
37,sn2003U,Ia-norm,0.9152,9.63,0.0317,0.0063,-8.5,0,good
38,sn2005cf,Ia-norm,0.9395,9.63,0.024,0.0057,1.5,0,good
39,sn2008Z,Ia-norm,0.7419,9.6,0.0308,0.0065,-8.2,0,good
40,sn2007co,Ia-norm,0.7419,9.59,0.03,0.0063,-3.1,0,good
41,sn2005cf,Ia-norm,0.9395,9.58,0.0288,0.0068,-3.8,0,good
42,sn1994D,Ia-norm,0.9395,9.58,0.0271,0.0058,-4.3,0,good
43,sn2007fs,Ia-norm,0.7459,9.49,0.0217,0.0057,4.1,0,good
44,sn2007jg,Ia-norm,0.7311,9.43,0.0366,0.0076,-2.3,0,good
45,sn2006cc,Ia-norm,0.7338,9.39,0.0306,0.0062,-9.7,0,good
46,sn2006gr,Ia-norm,0.7324,9.37,0.0418,0.0079,-7.9,0,good
47,sn2008bf,Ia-norm,0.7405,9.35,0.025,0.0058,4.5,0,good
48,sn2008ar,Ia-norm,0.7392,9.31,0.0226,0.006,5.0,0,good
49,sn2008Z,Ia-norm,0.7446,9.29,0.0277,0.0063,-5.3,0,good
50,sn2006sr,Ia-norm,0.7405,9.29,0.0282,0.0056,-0.9,0,good
51,sn2002dj,Ia-norm,0.9395,9.27,0.036,0.007,-4.6,0,good
52,sn1990N,Ia-norm,0.8055,9.26,0.0304,0.0068,-7.4,0,good
53,sn2008bf,Ia-norm,0.7405,9.23,0.026,0.0058,2.6,0,good
54,sn2007bd,Ia-norm,0.7324,9.23,0.0299,0.0061,-4.2,0,good
55,sn2005cf,Ia-norm,0.9395,9.23,0.0252,0.0061,-0.2,0,good
56,sn2005cf,Ia-norm,0.9395,9.18,0.0257,0.0062,-1.5,0,good
57,sn2006le,Ia-norm,0.7405,9.18,0.0264,0.0063,2.9,0,good
58,sn1999ee,Ia-norm,0.9395,9.18,0.0263,0.0064,-0.2,0,good
59,sn2008Z,Ia-norm,0.7419,9.17,0.0295,0.0066,-7.3,0,good
60,sn2008Z,Ia-norm,0.7459,9.13,0.0273,0.0065,-4.3,0,good
61,sn2007fs,Ia-norm,0.7487,9.11,0.0221,0.0059,3.1,0,good
62,sn2007F,Ia-norm,0.7392,9.1,0.0241,0.0063,-1.8,0,good
63,sn2003du,Ia-norm,0.9355,9.09,0.0329,0.0071,-11.1,0,good
64,sn2006S,Ia-norm,0.7351,9.07,0.0285,0.0064,-4.6,0,good
65,sn2004eo,Ia-norm,0.9395,9.07,0.025,0.0061,-5.6,0,good
66,sn1999aw,Ia-91T,0.9179,9.05,0.0291,0.0065,2.9,0,good
67,sn2006le,Ia-norm,0.7419,9.04,0.0402,0.0083,-7.8,0,good
68,sn2003du,Ia-norm,0.7906,9.04,0.0231,0.0064,-1.3,0,good
69,sn2008bf,Ia-norm,0.7405,9.02,0.0254,0.0059,3.6,0,good
70,sn2007co,Ia-norm,0.7392,9.01,0.0247,0.0061,2.7,0,good
71,sn1999ee,Ia-norm,0.9395,9.01,0.0253,0.0063,1.8,0,good
72,sn2006et,Ia-norm,0.7446,9.01,0.022,0.006,2.4,0,good
73,sn2007kk,Ia-norm,0.727,9.0,0.0275,0.0064,3.2,0,good
74,sn2006cp,Ia-norm,0.7419,8.97,0.0375,0.0074,-6.3,0,good
75,sn2007co,Ia-norm,0.7405,8.96,0.0315,0.0068,-4.1,0,good
76,sn2007F,Ia-norm,0.7405,8.96,0.0279,0.0065,-5.7,0,good
77,sn2001da,Ia-norm,0.9395,8.95,0.0295,0.0067,-1.0,0,good
78,sn2006le,Ia-norm,0.7405,8.95,0.042,0.0086,-8.8,0,good
79,sn2008ar,Ia-norm,0.7419,8.93,0.027,0.0068,-0.7,0,good
80,sn2008Z,Ia-norm,0.7446,8.93,0.0288,0.0066,-6.3,0,good
81,sn2007af,Ia-norm,0.7473,8.91,0.0233,0.0061,-2.6,0,good
82,sn2007bc,Ia-norm,0.7405,8.9,0.0219,0.0059,-2.6,0,good
83,sn2006le,Ia-norm,0.7365,8.9,0.0369,0.0081,-6.8,0,good
84,sn2005ki,Ia-norm,0.7392,8.89,0.0229,0.0059,1.0,0,good
85,sn2006N,Ia-norm,0.7392,8.89,0.0261,0.006,-3.3,0,good
86,sn2006S,Ia-norm,0.7338,8.86,0.0293,0.0068,-5.5,0,good
87,sn2007S,Ia-91T,0.7432,8.85,0.0242,0.0062,-0.7,0,good
88,sn2007af,Ia-norm,0.7446,8.85,0.0237,0.0062,-3.6,0,good
89,sn2002dj,Ia-norm,0.9395,8.83,0.0387,0.0075,-6.6,0,good
90,sn1989B,Ia-norm,0.8312,8.82,0.0255,0.0065,-7.2,0,good
91,sn2007bm,Ia-norm,0.7432,8.8,0.0253,0.0064,-9.3,0,good
92,sn2006S,Ia-norm,0.7365,8.79,0.0271,0.0064,-2.6,0,good
93,sn2007kk,Ia-norm,0.7283,8.75,0.0265,0.0066,4.1,0,good
94,sn2006ax,Ia-norm,0.7419,8.73,0.0261,0.0072,-9.3,0,good
95,sn2002dj,Ia-norm,0.9395,8.7,0.0344,0.0072,-3.6,0,good
96,sn2005cf,Ia-norm,0.9395,8.68,0.0219,0.0063,4.5,0,good
97,sn2007kk,Ia-norm,0.7256,8.65,0.0296,0.0068,-0.8,0,good
98,sn2007af,Ia-norm,0.7459,8.64,0.0224,0.0063,-1.6,0,good
99,sn2007co,Ia-norm,0.7405,8.64,0.0328,0.0072,-5.1,0,good
100,sn2007af,Ia-norm,0.7459,8.64,0.022,0.0062,-0.6,0,good
101,sn2006lf,Ia-norm,0.7135,8.63,0.0266,0.0061,-6.5,0,good
102,sn2002er,Ia-norm,0.9395,8.62,0.0281,0.0066,-3.1,0,good
103,sn2002bo,Ia-norm,0.7852,8.62,0.0324,0.0071,-4.8,0,good
104,sn2003du,Ia-norm,0.9192,8.61,0.0224,0.0065,0.9,0,good
105,sn2005cf,Ia-norm,0.7446,8.61,0.0235,0.0064,1.6,0,good
106,sn2006N,Ia-norm,0.7419,8.6,0.025,0.0061,-1.3,0,good
