no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn2002er,Ia-norm,0.773,15.94,0.0312,0.0037,-7.0,0,good
2,sn1990O,Ia-norm,0.8028,14.82,0.0342,0.0042,-6.6,0,good
3,sn2007co,Ia-norm,0.7419,14.46,0.0329,0.0043,-5.1,0,good
4,sn2006cp,Ia-norm,0.7419,14.26,0.0373,0.0045,-6.3,0,good
5,sn2006kf,Ia-norm,0.7446,13.91,0.0286,0.0036,-5.2,0,good
6,sn2006le,Ia-norm,0.7419,13.78,0.0385,0.005,-7.8,0,good
7,sn2006le,Ia-norm,0.7365,13.72,0.0359,0.0048,-6.8,0,good
8,sn2006le,Ia-norm,0.7405,13.6,0.0404,0.0054,-8.8,0,good
9,sn2007co,Ia-norm,0.7419,13.37,0.0317,0.0045,-4.1,0,good
10,sn2007le,Ia-norm,0.7473,13.06,0.0364,0.0046,-6.4,0,good
11,sn2002er,Ia-norm,0.9003,13.05,0.0303,0.0045,-5.0,0,good
12,sn1990O,Ia-norm,0.8028,13.03,0.0334,0.0046,-5.6,0,good
13,sn2006cp,Ia-norm,0.7392,12.96,0.0406,0.005,-8.4,0,good
14,sn2007co,Ia-norm,0.7432,12.91,0.0303,0.0045,-3.1,0,good
15,sn2004fu,Ia-norm,0.7459,12.56,0.0356,0.0047,-6.4,0,good
16,sn1992A,Ia-norm,0.7148,12.5,0.0376,0.0043,-5.4,0,good
17,sn2005cf,Ia-norm,0.9395,12.46,0.0276,0.0047,-2.7,0,good
18,sn2007co,Ia-norm,0.7419,12.13,0.0285,0.0047,-1.2,0,good
19,sn2004fu,Ia-norm,0.7446,12.11,0.0342,0.0049,-5.4,0,good
20,sn2004ef,Ia-norm,0.7392,12.07,0.0313,0.0047,-1.5,0,good
21,sn2008ar,Ia-norm,0.7432,11.95,0.0272,0.005,-0.7,0,good
22,sn2008ar,Ia-norm,0.7419,11.67,0.0359,0.0059,-8.5,0,good
23,sn2005cf,Ia-norm,0.9395,11.61,0.0289,0.0051,-3.8,0,good
24,sn2005cf,Ia-norm,0.9395,11.59,0.0259,0.0049,-1.2,0,good
25,sn2007F,Ia-norm,0.7419,11.46,0.0317,0.0051,-8.7,0,good
26,sn2004ef,Ia-norm,0.7378,11.45,0.0301,0.0049,-0.4,0,good
27,sn2004ef,Ia-norm,0.7365,11.35,0.0292,0.0049,0.6,0,good
28,sn2008ar,Ia-norm,0.7459,11.34,0.0286,0.0053,-2.7,0,good
29,sn2005hj,Ia-91T,0.7906,11.31,0.0264,0.0047,2.4,0,good
30,sn2007bd,Ia-norm,0.7392,11.28,0.0367,0.0052,-9.0,0,good
31,sn2004fu,Ia-norm,0.7446,11.22,0.0319,0.0052,-3.5,0,good
32,sn2002bo,Ia-norm,0.7866,11.22,0.0321,0.0054,-4.8,0,good
33,sn2008ar,Ia-norm,0.7392,11.13,0.0341,0.0061,-7.5,0,good
34,sn2007co,Ia-norm,0.7419,11.08,0.0279,0.005,-0.2,0,good
35,sn2006gr,Ia-norm,0.7311,11.05,0.0368,0.0058,-6.0,0,good
36,sn2006gr,Ia-norm,0.7338,11.04,0.0407,0.0063,-7.9,0,good
37,sn2005cf,Ia-norm,0.7459,11.03,0.0281,0.0053,-5.4,0,good
38,sn2000fa,Ia-norm,0.6945,11.0,0.043,0.0066,-10.4,0,good
39,sn2005cf,Ia-norm,0.7459,10.98,0.0278,0.0052,-4.4,0,good
40,sn2006gr,Ia-norm,0.7324,10.97,0.0386,0.0061,-6.9,0,good
41,sn1994D,Ia-norm,0.9395,10.93,0.0282,0.0049,-4.3,0,good
42,sn2008ar,Ia-norm,0.7405,10.84,0.0299,0.0057,-4.6,0,good
43,sn2005cf,Ia-norm,0.7446,10.81,0.0329,0.006,-9.3,0,good
44,sn2007af,Ia-norm,0.7473,10.78,0.0262,0.0051,-5.6,0,good
45,sn2002er,Ia-norm,0.7717,10.77,0.033,0.0054,-9.0,0,good
46,sn2004ef,Ia-norm,0.7392,10.72,0.0284,0.005,1.5,0,good
47,sn2007le,Ia-norm,0.7487,10.61,0.0376,0.0057,-7.4,0,good
48,sn2007co,Ia-norm,0.7405,10.6,0.0271,0.0053,0.8,0,good
49,sn2008ar,Ia-norm,0.7419,10.58,0.0291,0.0057,-3.7,0,good
50,sn2007F,Ia-norm,0.7432,10.55,0.031,0.0055,-7.7,0,good
51,sn2001da,Ia-norm,0.9395,10.52,0.0293,0.0056,-1.0,0,good
52,sn2002ck,Ia-norm,0.6986,10.49,0.0238,0.0049,0.3,0,good
53,sn2008ar,Ia-norm,0.7392,10.43,0.0244,0.0054,3.1,0,good
54,sn2002hu,Ia-91T,0.7013,10.43,0.025,0.0048,-0.7,0,good
55,sn2006cp,Ia-norm,0.7419,10.39,0.0423,0.0063,-9.3,0,good
56,sn2005cf,Ia-norm,0.7473,10.39,0.027,0.0054,-3.4,0,good
57,sn2005cf,Ia-norm,0.9395,10.37,0.0289,0.0058,-5.5,0,good
58,sn2007af,Ia-norm,0.7473,10.35,0.0256,0.0053,-4.6,0,good
59,sn2005hj,Ia-91T,0.8001,10.29,0.0258,0.005,0.5,0,good
60,sn2006gr,Ia-norm,0.7351,10.19,0.0444,0.0072,-9.8,0,good
61,sn2004eo,Ia-norm,0.9395,10.17,0.0255,0.0053,-5.6,0,good
62,sn2002ck,Ia-norm,0.7013,10.15,0.0241,0.0053,-0.6,0,good
63,sn2004ef,Ia-norm,0.7392,10.08,0.0277,0.0052,2.5,0,good
64,sn2006gr,Ia-norm,0.7351,10.07,0.0433,0.0071,-8.9,0,good
65,sn2005cf,Ia-norm,0.7446,10.06,0.0262,0.0056,-2.3,0,good
66,sn2008ar,Ia-norm,0.7405,10.04,0.0317,0.0064,-6.6,0,good
67,sn2003cg,Ia-norm,0.7473,10.04,0.0278,0.005,-2.3,0,good
68,sn2008ar,Ia-norm,0.7432,10.02,0.0237,0.0057,4.1,0,good
69,sn2006gr,Ia-norm,0.7324,9.99,0.0355,0.0063,-5.1,0,good
70,sn2005bc,Ia-norm,0.6918,9.97,0.0277,0.0048,-5.0,0,good
71,sn2003du,Ia-norm,0.7514,9.93,0.0284,0.006,-8.1,0,good
72,sn2005cf,Ia-norm,0.7473,9.91,0.026,0.0056,-1.4,0,good
73,sn2006S,Ia-norm,0.8326,9.91,0.0261,0.0057,4.1,0,good
74,sn2006gr,Ia-norm,0.7351,9.9,0.0346,0.0062,-4.0,0,good
75,sn2002dj,Ia-norm,0.9395,9.89,0.0357,0.0063,-4.6,0,good
76,sn2000dn,Ia-norm,0.6986,9.83,0.0234,0.0051,-0.9,0,good
77,sn2004S,Ia-norm,0.9395,9.82,0.0251,0.006,1.6,0,good
78,sn2005cf,Ia-norm,0.7446,9.76,0.0242,0.0057,1.6,0,good
79,sn2007af,Ia-norm,0.7446,9.73,0.025,0.0055,-3.6,0,good
80,sn2004ef,Ia-norm,0.7392,9.7,0.0331,0.006,-3.3,0,good
81,sn2007af,Ia-norm,0.7473,9.68,0.0245,0.0056,-2.6,0,good
82,sn2003U,Ia-norm,0.9165,9.67,0.032,0.0059,-8.5,0,good
83,sn2007co,Ia-norm,0.7405,9.64,0.0254,0.0057,2.7,0,good
84,sn2007af,Ia-norm,0.7459,9.63,0.0237,0.0057,-1.6,0,good
85,sn2005cf,Ia-norm,0.7459,9.61,0.0236,0.0058,2.5,0,good
86,sn2007jg,Ia-norm,0.7324,9.6,0.0344,0.007,-2.3,0,good
87,sn2002aw,Ia-norm,0.6972,9.57,0.0256,0.0049,-0.9,0,good
88,sn2005cf,Ia-norm,0.9395,9.56,0.0262,0.0058,-1.5,0,good
89,sn2001eh,Ia-91T,0.6972,9.55,0.0277,0.0056,-0.1,0,good
90,sn2007co,Ia-norm,0.7378,9.51,0.0263,0.0058,1.7,0,good
91,sn2007af,Ia-norm,0.7459,9.51,0.0232,0.0057,-0.6,0,good
92,sn2002dj,Ia-norm,0.9395,9.5,0.0385,0.0065,-6.6,0,good
93,sn2005cf,Ia-norm,0.7405,9.49,0.0233,0.0059,3.5,0,good
94,sn2004ef,Ia-norm,0.7378,9.46,0.0347,0.0063,-5.2,0,good
95,sn2005cf,Ia-norm,0.7473,9.46,0.0246,0.0059,0.6,0,good
96,sn2006le,Ia-norm,0.7405,9.41,0.0279,0.006,2.9,0,good
97,sn2004fu,Ia-norm,0.7459,9.38,0.0262,0.0058,4.4,0,good
98,sn2005cf,Ia-norm,0.7446,9.37,0.0253,0.0059,-0.3,0,good
99,sn2002bo,Ia-norm,0.75,9.36,0.0313,0.0064,-3.7,0,good
100,sn2003du,Ia-norm,0.9341,9.36,0.033,0.0062,-11.1,0,good
101,sn2005hj,Ia-91T,0.7933,9.34,0.0256,0.0056,5.1,0,good
102,sn2007bm,Ia-norm,0.7473,9.33,0.0291,0.006,-11.2,0,good
103,sn2006lf,Ia-norm,0.7135,9.33,0.0271,0.0055,-4.5,0,good
104,sn2007af,Ia-norm,0.7378,9.29,0.0225,0.0058,0.3,0,good
105,sn2006sr,Ia-norm,0.7419,9.29,0.0296,0.0056,-0.9,0,good
106,sn2004fu,Ia-norm,0.7419,9.27,0.027,0.0059,2.4,0,good
107,sn1999cp,Ia-norm,0.708,9.26,0.0314,0.0064,-13.8,0,good
108,sn2005cf,Ia-norm,0.7378,9.26,0.0223,0.0061,4.5,0,good
109,sn2000cp,Ia-norm,0.6986,9.25,0.0267,0.0054,-1.5,0,good
110,sn2007co,Ia-norm,0.7419,9.21,0.0249,0.006,3.7,0,good
111,sn1994D,Ia-norm,0.9368,9.21,0.0268,0.0055,-2.3,0,good
112,sn2007bc,Ia-norm,0.7405,9.19,0.0234,0.0058,-2.6,0,good
113,sn2008ar,Ia-norm,0.7405,9.18,0.023,0.0061,5.0,0,good
114,sn2004ef,Ia-norm,0.7324,9.12,0.0362,0.0066,-6.2,0,good
115,sn2007F,Ia-norm,0.7446,9.09,0.0299,0.0064,-6.7,0,good
116,sn2000cp,Ia-norm,0.6986,9.09,0.028,0.0055,-2.5,0,good
117,sn2005am,Ia-norm,0.7473,9.08,0.0331,0.0058,-2.9,0,good
118,sn2003du,Ia-norm,0.9355,9.06,0.0286,0.0063,-7.2,0,good
119,sn2006gr,Ia-norm,0.7351,9.04,0.0322,0.0063,-1.1,0,good
120,sn2007F,Ia-norm,0.7405,9.01,0.0288,0.0065,-5.7,0,good
121,sn2003du,Ia-norm,0.9179,9.0,0.0235,0.0062,0.9,0,good
122,sn2005mc,Ia-norm,0.7378,8.99,0.0262,0.0056,-2.2,0,good
123,sn2005cf,Ia-norm,0.7419,8.95,0.0351,0.0074,-10.4,0,good
124,sn2007au,Ia-norm,0.7419,8.94,0.0289,0.006,-5.6,0,good
