no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn2004dt,Ia-norm,0.9395,18.19,0.0401,0.0034,-1.0,0,good
2,sn2004dt,Ia-norm,0.8136,17.4,0.0419,0.0034,-3.0,0,good
3,sn2004dt,Ia-norm,0.9328,17.19,0.0445,0.0036,-5.6,0,good
4,sn2004dt,Ia-norm,0.9395,16.71,0.0454,0.0037,-6.5,0,good
5,sn2004dt,Ia-norm,0.9395,16.66,0.0421,0.0037,-3.7,0,good
6,sn2004dt,Ia-norm,0.9395,15.16,0.0466,0.004,-8.5,0,good
7,sn2004dt,Ia-norm,0.9395,14.07,0.0454,0.0044,-6.4,0,good
8,sn2004dt,Ia-norm,0.8001,12.87,0.0388,0.0045,-0.7,0,good
9,sn2004dt,Ia-norm,0.9206,12.59,0.0488,0.0048,-9.4,0,good
10,sn2004dt,Ia-norm,0.9246,11.49,0.0363,0.0051,2.3,0,good
11,sn2004dt,Ia-norm,0.9395,10.81,0.0351,0.0052,3.3,0,good
12,sn1994D,Ia-norm,0.9395,10.55,0.0324,0.0058,-4.3,0,good
13,sn2004dt,Ia-norm,0.9395,10.43,0.034,0.0055,3.8,0,good
14,sn2001ay,Ia-norm,0.9301,10.32,0.0357,0.0055,3.3,0,good
15,sn2004dt,Ia-norm,0.9287,9.51,0.0438,0.0065,-4.5,0,good
16,sn2004dt,Ia-norm,0.7798,9.48,0.0412,0.0062,-2.0,0,good
17,sn2002cs,Ia-norm,0.6904,9.1,0.0475,0.0061,-8.5,0,good
18,sn2007bd,Ia-norm,0.7446,8.74,0.0424,0.0071,-9.0,0,good
19,sn2006ot,Ia-norm,0.7243,8.64,0.0374,0.0071,-0.4,0,good
20,sn2006cp,Ia-norm,0.7419,8.56,0.0431,0.0073,-6.3,0,good
21,sn2004dt,Ia-norm,0.8664,8.56,0.0449,0.0069,-6.5,0,good
22,sn1994D,Ia-norm,0.9395,8.36,0.0334,0.0071,-5.3,0,good
23,sn2002cs,Ia-norm,0.6931,8.17,0.0465,0.0069,-7.5,0,good
24,sn2002dj,Ia-norm,0.9395,8.05,0.0401,0.0076,-3.6,0,good
25,sn2003U,Ia-norm,0.9219,7.96,0.0371,0.0075,-8.5,0,good
26,sn2004dt,Ia-norm,0.7852,7.84,0.0472,0.0074,-8.9,0,good
27,sn2001bf,Ia-norm,0.6972,7.73,0.0315,0.0068,0.8,0,good
28,sn2007bd,Ia-norm,0.7446,7.7,0.0405,0.008,-8.1,0,good
29,sn2003du,Ia-norm,0.8069,7.64,0.0286,0.0078,-2.2,0,good
30,sn2003du,Ia-norm,0.7906,7.63,0.0281,0.0079,-1.3,0,good
31,sn2001br,Ia-norm,0.9382,7.55,0.034,0.0073,2.5,0,good
32,sn1990N,Ia-norm,0.9003,7.53,0.0512,0.0094,-14.2,0,good
33,sn1994D,Ia-norm,0.9314,7.5,0.0303,0.0076,-2.3,0,good
34,sn2002he,Ia-norm,0.9355,7.5,0.0343,0.0075,-3.2,0,good
35,sn2002dj,Ia-norm,0.9395,7.45,0.0412,0.0083,-4.6,0,good
36,sn1989B,Ia-norm,0.838,7.36,0.0316,0.0079,-7.2,0,good
37,sn1998dx,Ia-norm,0.6322,7.36,0.0317,0.0074,-1.7,0,good
38,sn2006sr,Ia-norm,0.7432,7.31,0.0337,0.0076,-0.9,0,good
39,sn2006cp,Ia-norm,0.7392,7.29,0.0463,0.0087,-8.4,0,good
40,sn1996ai,Ia-norm,0.9098,7.28,0.0298,0.0082,-0.9,0,good
41,sn1994D,Ia-norm,0.8434,7.26,0.0354,0.0082,-6.1,0,good
42,sn1997bp,Ia-norm,0.9395,7.1,0.0488,0.0088,-3.0,0,good
43,sn2004dt,Ia-norm,0.7013,7.05,0.0371,0.0078,2.0,0,good
44,sn2005cf,Ia-norm,0.9395,7.02,0.0323,0.0086,-1.2,0,good
45,sn2003ch,Ia-norm,0.6959,6.88,0.0277,0.008,1.8,0,good
46,sn2007F,Ia-norm,0.7446,6.84,0.0371,0.0093,-8.7,0,good
47,sn1993ac,Ia-norm,0.8258,6.83,0.0315,0.0077,6.9,0,good
48,sn2003du,Ia-norm,0.9301,6.77,0.0336,0.0091,-7.2,0,good
49,sn2007bd,Ia-norm,0.7392,6.75,0.0359,0.0085,-4.2,0,good
50,sn2006br,Ia-norm,0.7405,6.74,0.0339,0.0077,3.0,0,good
51,sn1992A,Ia-norm,0.7202,6.73,0.0414,0.0083,-5.4,0,good
52,sn2004fu,Ia-norm,0.7446,6.72,0.0366,0.0085,-3.5,0,good
53,sn2003du,Ia-norm,0.9125,6.71,0.0271,0.0088,0.9,0,good
54,sn2003du,Ia-norm,0.792,6.7,0.0282,0.0089,-0.3,0,good
55,sn1989B,Ia-norm,0.9395,6.7,0.0287,0.0083,-1.3,0,good
56,sn2005cf,Ia-norm,0.9395,6.7,0.0349,0.0091,-2.7,0,good
57,sn2004dt,Ia-norm,0.7026,6.68,0.0382,0.0082,1.0,0,good
58,sn2006lf,Ia-norm,0.7135,6.6,0.0308,0.0084,-6.5,0,good
59,sn2002er,Ia-norm,0.9395,6.6,0.0329,0.0087,-4.0,0,good
60,sn1990O,Ia-norm,0.8082,6.57,0.0393,0.0094,-6.6,0,good
61,sn2002cd,Ia-norm,0.6972,6.55,0.0519,0.0101,-8.6,0,good
62,sn2003ch,Ia-norm,0.857,6.51,0.0264,0.0086,1.8,0,good
63,sn2002dj,Ia-norm,0.9395,6.51,0.044,0.0095,-6.6,0,good
64,sn2006sr,Ia-norm,0.7459,6.5,0.0309,0.0084,2.0,0,good
65,sn2006sr,Ia-norm,0.7419,6.44,0.0316,0.0086,1.0,0,good
66,sn2002er,Ia-norm,0.9057,6.44,0.0351,0.0094,-5.0,0,good
67,sn2006cp,Ia-norm,0.7419,6.36,0.0482,0.0099,-9.3,0,good
68,sn2001ay,Ia-norm,0.6999,6.35,0.0398,0.0083,-1.5,0,good
69,sn2002bo,Ia-norm,0.9395,6.35,0.036,0.0089,-1.7,0,good
70,sn2005cf,Ia-norm,0.9395,6.34,0.0367,0.0096,-3.8,0,good
71,sn2004fu,Ia-norm,0.7459,6.33,0.0307,0.0086,3.4,0,good
72,sn1992A,Ia-norm,0.8529,6.32,0.0336,0.0086,5.9,0,good
73,sn2004fu,Ia-norm,0.7459,6.31,0.0308,0.0087,4.4,0,good
74,sn2006N,Ia-norm,0.7392,6.31,0.0314,0.009,-3.3,0,good
75,sn2002er,Ia-norm,0.9395,6.3,0.0332,0.009,-3.1,0,good
76,sn1992A,Ia-norm,0.8529,6.27,0.0333,0.0087,5.5,0,good
77,sn2004fu,Ia-norm,0.7446,6.27,0.039,0.0091,-5.4,0,good
78,sn1991M,Ia-norm,0.7216,6.24,0.0317,0.0089,2.7,0,good
79,sn2002er,Ia-norm,0.9395,6.22,0.0326,0.009,-2.1,0,good
80,sn2004fu,Ia-norm,0.7419,6.22,0.0316,0.0088,2.4,0,good
81,sn2001ck,Ia-norm,0.926,6.21,0.0263,0.0091,5.8,0,good
82,sn2006sr,Ia-norm,0.7459,6.2,0.0301,0.0087,3.9,0,good
83,sn2003du,Ia-norm,0.7514,6.18,0.0326,0.01,-8.1,0,good
84,sn2003du,Ia-norm,0.9138,6.17,0.0254,0.0092,2.9,0,good
85,sn2005am,Ia-norm,0.7459,6.17,0.0319,0.0089,3.0,0,good
86,sn2006sr,Ia-norm,0.7446,6.16,0.0304,0.0087,3.0,0,good
87,sn1998aq,Ia-norm,0.6783,6.15,0.0312,0.0098,-9.9,0,good
88,sn2004fu,Ia-norm,0.7459,6.15,0.0404,0.0094,-6.4,0,good
89,sn2006lf,Ia-norm,0.7135,6.1,0.0304,0.009,-4.5,0,good
90,sn2008Q,Ia-norm,0.7473,6.08,0.0319,0.0096,-6.2,0,good
91,sn2007F,Ia-norm,0.7473,6.08,0.0363,0.0102,-7.7,0,good
92,sn2008Q,Ia-norm,0.7459,6.08,0.0326,0.0097,-7.2,0,good
93,sn1998aq,Ia-norm,0.7026,6.07,0.0279,0.0103,-8.9,0,good
94,sn2006N,Ia-norm,0.7311,6.07,0.0283,0.0092,0.7,0,good
95,sn2005am,Ia-norm,0.7405,6.06,0.0326,0.0091,2.0,0,good
96,sn1981B,Ia-norm,0.9016,6.04,0.032,0.0091,-1.5,0,good
97,sn1990O,Ia-norm,0.8082,6.0,0.0388,0.01,-5.6,0,good
98,sn2006N,Ia-norm,0.7419,5.99,0.03,0.0092,-1.3,0,good
99,sn2007bm,Ia-norm,0.7432,5.98,0.0304,0.0094,-9.3,0,good
100,sn2002cd,Ia-norm,0.6945,5.97,0.0502,0.0107,-7.7,0,good
101,sn2004eo,Ia-norm,0.9395,5.95,0.0306,0.0093,-5.6,0,good
102,sn2001da,Ia-norm,0.9395,5.93,0.0351,0.0096,-1.0,0,good
103,sn2006gz,Ia-pec,0.6431,5.93,0.0374,0.0092,-4.5,0,good
104,sn1999cp,Ia-norm,0.708,5.9,0.0364,0.01,-13.8,0,good
105,sn2006kf,Ia-norm,0.7446,5.88,0.0332,0.0091,-5.2,0,good
106,sn2002bo,Ia-norm,0.9395,5.88,0.0344,0.0094,-0.6,0,good
107,sn2006le,Ia-norm,0.7405,5.87,0.0321,0.0098,2.9,0,good
108,sn2008Q,Ia-norm,0.7446,5.86,0.0304,0.0097,-3.2,0,good
109,sn2005bc,Ia-norm,0.6918,5.85,0.0317,0.009,-5.0,0,good
110,sn2005cf,Ia-norm,0.9395,5.84,0.0272,0.01,4.5,0,good
111,sn2004ef,Ia-norm,0.7419,5.84,0.0344,0.0094,0.6,0,good
