no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn1999ee,Ia-norm,0.9409,9.98,0.077,0.0071,-7.2,0,good
2,sn1999ee,Ia-norm,0.9409,9.35,0.0822,0.0075,-9.1,0,good
3,sn2003ic,Ia-norm,0.6986,9.24,0.0617,0.0061,3.4,0,good
4,sn2005hf,Ia-norm,0.7446,8.8,0.0534,0.0062,8.2,0,good
5,sn1999ee,Ia-norm,0.9409,8.32,0.0678,0.0084,-0.2,0,good
6,sn1999ee,Ia-norm,0.9409,8.29,0.0657,0.0084,1.8,0,good
7,sn2005cf,Ia-norm,0.9409,8.05,0.0725,0.0092,-5.5,0,good
8,sn2005cf,Ia-norm,0.9382,7.79,0.0784,0.0088,-9.2,0,good
9,sn2005cf,Ia-norm,0.9382,7.76,0.0763,0.0089,-8.2,0,good
10,sn1990N,Ia-norm,0.9328,7.75,0.0873,0.0087,-14.2,0,bad
11,sn2005cf,Ia-norm,0.9382,7.73,0.0729,0.0092,-6.3,0,good
12,sn2004S,Ia-norm,0.9409,7.63,0.0677,0.0093,1.6,0,good
13,sn2001eh,Ia-91T,0.9409,7.62,0.0695,0.0103,-4.9,0,good
14,sn1990N,Ia-norm,0.8448,7.62,0.0754,0.01,-7.4,0,good
15,sn2002er,Ia-norm,0.9382,7.61,0.0705,0.0097,-5.0,0,good
16,sn2001da,Ia-norm,0.9409,7.53,0.0712,0.0097,-1.0,0,good
17,sn2005cf,Ia-norm,0.9409,7.4,0.074,0.0096,-6.6,0,good
18,sn1999ac,Ia-91T,0.9382,7.36,0.0561,0.0087,2.7,0,good
19,sn2005cf,Ia-norm,0.9355,7.34,0.0742,0.0095,-7.3,0,good
20,sn1990O,Ia-norm,0.8407,7.3,0.078,0.0103,-6.6,0,good
21,sn2006cf,Ia-norm,0.7473,7.25,0.0556,0.008,2.7,0,good
22,sn2003ic,Ia-norm,0.6999,7.22,0.0636,0.0079,-4.1,0,good
23,sn2005cf,Ia-norm,0.9382,7.07,0.0799,0.0094,-10.2,0,good
24,sn2002er,Ia-norm,0.9409,7.04,0.0655,0.0096,-2.1,0,good
25,sn2002er,Ia-norm,0.9409,7.02,0.0665,0.0098,-3.1,0,good
26,sn1990O,Ia-norm,0.8407,6.97,0.0755,0.0108,-5.6,0,good
27,sn1994D,Ia-norm,0.9409,6.82,0.0861,0.0103,-11.1,0,good
28,sn2001eh,Ia-91T,0.9409,6.8,0.0716,0.0112,-5.9,0,good
29,sn2002er,Ia-norm,0.9409,6.75,0.061,0.0097,2.9,0,good
30,sn1999ee,Ia-norm,0.9165,6.73,0.0616,0.009,6.7,0,good
31,sn2002dj,Ia-norm,0.9409,6.72,0.0778,0.0108,-4.6,0,good
32,sn2001eh,Ia-91T,0.9395,6.66,0.0613,0.0097,2.7,0,good
33,sn2006cj,Ia-norm,0.7405,6.6,0.0626,0.0108,-1.2,0,good
34,sn2002dj,Ia-norm,0.9409,6.53,0.0747,0.0107,-3.6,0,good
35,sn2003U,Ia-norm,0.9409,6.53,0.0721,0.0107,-8.5,0,good
36,sn2005cf,Ia-norm,0.9409,6.51,0.058,0.0096,6.2,0,good
