no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
74,sn2003W,Ia-norm,0.6945,8.42,0.0979,0.0079,-7.3,0,bad
75,sn2006N,Ia-norm,0.7311,8.42,0.0746,0.006,0.7,0,good
76,sn2007fs,Ia-norm,0.7473,8.4,0.0723,0.0066,5.1,0,good
77,sn1990N,Ia-norm,0.8515,8.4,0.0841,0.008,-7.4,0,good
78,sn2006S,Ia-norm,0.7432,8.39,0.0773,0.007,0.2,0,good
79,sn2008bf,Ia-norm,0.7446,8.36,0.0765,0.0067,3.6,0,good
80,sn2006cf,Ia-norm,0.7473,8.35,0.0703,0.0079,2.7,0,good
81,sn2007af,Ia-norm,0.7432,8.35,0.0706,0.0061,2.3,0,good
82,sn2002ck,Ia-norm,0.6986,8.35,0.0738,0.0062,0.3,0,good
83,sn1998es,Ia-91T,0.7365,8.35,0.0742,0.0063,1.5,0,good
84,sn2006lf,Ia-norm,0.7135,8.33,0.0765,0.0065,-4.5,0,good
85,sn2004fu,Ia-norm,0.7446,8.32,0.0838,0.007,-3.5,0,good
86,sn2002ck,Ia-norm,0.6877,8.32,0.0737,0.0063,2.3,0,good
87,sn2006cf,Ia-norm,0.7459,8.32,0.0704,0.0076,4.7,0,good
88,sn2007co,Ia-norm,0.7459,8.3,0.0821,0.0071,-3.1,0,good
89,sn2007kk,Ia-norm,0.7487,8.29,0.0768,0.0077,4.1,0,good
90,sn2006gr,Ia-norm,0.7514,8.29,0.0835,0.0078,-2.1,0,good
91,sn2007kk,Ia-norm,0.7473,8.28,0.0816,0.008,-1.7,0,good
92,sn2002ck,Ia-norm,0.7013,8.27,0.0741,0.0065,-0.6,0,good
93,sn2008ar,Ia-norm,0.7473,8.27,0.0739,0.0071,4.1,0,good
94,sn2007ca,Ia-norm,0.7419,8.26,0.0728,0.0066,3.4,0,good
95,sn2004fu,Ia-norm,0.7419,8.24,0.0779,0.0065,2.4,0,good
96,sn1998es,Ia-91T,0.7338,8.23,0.0747,0.0065,0.5,0,good
97,sn1999ek,Ia-norm,0.6986,8.23,0.0742,0.006,-0.6,0,good
98,sn2006ax,Ia-norm,0.7419,8.22,0.0791,0.0072,-9.3,0,good
99,sn1997bq,Ia-norm,0.7067,8.18,0.0936,0.0072,-8.7,0,good
100,sn2006cf,Ia-norm,0.7473,8.14,0.0707,0.0075,3.7,0,good
101,sn2003cg,Ia-norm,0.6579,8.14,0.0764,0.0063,-2.8,0,good
102,sn1994D,Ia-norm,0.8894,8.13,0.0765,0.0064,-2.3,0,good
103,sn1994T,Ia-norm,0.6471,8.13,0.0786,0.0071,-0.2,0,good
104,sn2008bf,Ia-norm,0.7432,8.12,0.0773,0.0069,2.6,0,good
105,sn2008Q,Ia-norm,0.7473,8.12,0.0762,0.0067,-1.2,0,good
106,sn2003U,Ia-norm,0.6986,8.12,0.0769,0.0064,-0.7,0,good
107,sn2003du,Ia-norm,0.792,8.12,0.0749,0.0067,-0.3,0,good
108,sn2002bo,Ia-norm,0.6959,8.11,0.0895,0.0072,-8.4,0,good
109,sn2003du,Ia-norm,0.8069,8.09,0.0759,0.007,-2.2,0,good
110,sn2003ch,Ia-norm,0.6986,8.08,0.0733,0.0062,0.8,0,good
111,sn2008Q,Ia-norm,0.7432,8.07,0.0756,0.0067,-0.3,0,good
112,sn2008ar,Ia-norm,0.7432,8.04,0.0752,0.0073,3.1,0,good
113,sn2002bo,Ia-norm,0.8976,8.04,0.0794,0.0079,-0.6,0,good
114,sn2003W,Ia-norm,0.6959,8.04,0.1019,0.008,-9.1,0,bad
115,sn2008Q,Ia-norm,0.7419,8.03,0.0768,0.0068,-2.2,0,good
116,sn2008bf,Ia-norm,0.7432,8.03,0.0787,0.007,0.7,0,good
117,sn2005na,Ia-norm,0.7338,8.01,0.0709,0.0073,3.4,0,good
118,sn2007kk,Ia-norm,0.7514,7.99,0.0764,0.0082,5.0,0,good
119,sn2003ch,Ia-norm,0.6986,7.99,0.0741,0.0064,-0.2,0,good
120,sn1996C,Ia-norm,0.7053,7.98,0.0741,0.0065,4.8,0,good
121,sn2006S,Ia-norm,0.7378,7.98,0.0777,0.0071,1.2,0,good
122,sn2007ca,Ia-norm,0.7459,7.98,0.0716,0.0069,6.4,0,good
123,sn2005cf,Ia-norm,0.7446,7.96,0.0773,0.007,-0.3,0,good
124,sn2003iv,Ia-norm,0.6945,7.94,0.0732,0.0063,3.4,0,good
125,sn2000dg,Ia-norm,0.6945,7.94,0.0745,0.0067,0.2,0,good
126,sn2006le,Ia-norm,0.7378,7.93,0.0781,0.0069,3.9,0,good
127,sn2000cf,Ia-norm,0.6999,7.92,0.0697,0.0065,3.9,0,good
128,sn2006S,Ia-norm,0.7419,7.92,0.0824,0.0075,-4.6,0,good
129,sn2005el,Ia-norm,0.7432,7.91,0.0734,0.0064,2.1,0,good
130,sn2008Q,Ia-norm,0.7446,7.9,0.0774,0.0068,-3.2,0,good
131,sn2005cf,Ia-norm,0.7473,7.9,0.0782,0.0071,-1.4,0,good
132,sn1994ae,Ia-norm,0.6986,7.89,0.072,0.0067,4.0,0,good
133,sn1994ae,Ia-norm,0.7013,7.89,0.0718,0.0068,3.0,0,good
134,sn2006cf,Ia-norm,0.7446,7.88,0.0687,0.0078,6.5,0,good
135,sn2008bf,Ia-norm,0.7446,7.87,0.0764,0.0071,4.5,0,good
136,sn2005cf,Ia-norm,0.7446,7.86,0.0787,0.0072,-2.3,0,good
137,sn2006ax,Ia-norm,0.7419,7.84,0.0781,0.0075,-8.4,0,good
138,sn2005mc,Ia-norm,0.7378,7.83,0.0764,0.0068,-2.2,0,good
139,sn1999ac,Ia-91T,0.769,7.81,0.0821,0.0075,-9.9,0,good
140,sn2006S,Ia-norm,0.7446,7.81,0.0805,0.0075,-2.6,0,good
141,sn2005cf,Ia-norm,0.7446,7.79,0.0754,0.007,1.6,0,good
142,sn2005el,Ia-norm,0.7419,7.79,0.0767,0.0069,-3.9,0,good
143,sn2006S,Ia-norm,0.7432,7.77,0.0785,0.0076,-0.7,0,good
144,sn2001gc,Ia-norm,0.6986,7.76,0.0963,0.0078,-8.5,0,good
145,sn1999aw,Ia-91T,0.8691,7.75,0.081,0.0073,2.9,0,good
146,sn2006ax,Ia-norm,0.7419,7.74,0.0762,0.0074,-6.4,0,good
147,sn2006cz,Ia-91T,0.7446,7.74,0.0775,0.0087,-2.0,0,good
148,sn1999ac,Ia-91T,0.8515,7.72,0.0738,0.0078,-2.1,0,good
149,sn2002bo,Ia-norm,0.6959,7.72,0.0884,0.0076,-7.3,0,good
150,sn2005na,Ia-norm,0.7432,7.71,0.0716,0.008,1.4,0,good
151,sn2006az,Ia-norm,0.7392,7.71,0.0716,0.0067,-1.0,0,good
152,sn2003ch,Ia-norm,0.6959,7.71,0.0716,0.0063,3.8,0,good
153,sn2006N,Ia-norm,0.7419,7.7,0.0742,0.0065,1.6,0,good
154,sn2005cf,Ia-norm,0.7473,7.69,0.0763,0.0072,0.6,0,good
155,sn1991bg,Ia-91bg,0.7324,7.67,0.0685,0.0073,1.9,0,good
156,sn2003cg,Ia-norm,0.8163,7.67,0.0731,0.0069,4.0,0,good
157,sn2005el,Ia-norm,0.7419,7.65,0.0729,0.0065,4.0,0,good
158,sn2005cf,Ia-norm,0.7459,7.65,0.0748,0.0071,2.5,0,good
159,sn2007co,Ia-norm,0.7473,7.65,0.0758,0.0073,3.7,0,good
160,sn2006et,Ia-norm,0.7473,7.64,0.0719,0.0076,6.3,0,good
161,sn2003cq,Ia-norm,0.6999,7.64,0.0791,0.0068,-0.9,0,good
162,sn2003du,Ia-norm,0.7906,7.63,0.0751,0.0071,-1.3,0,good
163,sn2006lf,Ia-norm,0.7135,7.61,0.0775,0.0069,-6.5,0,good
164,sn2005M,Ia-91T,0.7432,7.6,0.0664,0.0072,5.1,0,good
165,sn2006N,Ia-norm,0.7378,7.6,0.0736,0.0068,2.6,0,good
166,sn2006gr,Ia-norm,0.7459,7.59,0.0834,0.0078,-1.1,0,good
167,sn2007co,Ia-norm,0.7459,7.59,0.0771,0.0074,2.7,0,good
168,sn2007af,Ia-norm,0.7487,7.59,0.0701,0.0066,3.3,0,good
169,sn1998co,Ia-norm,0.6986,7.58,0.0753,0.0065,1.0,0,good
170,sn1996C,Ia-norm,0.7053,7.58,0.0747,0.0067,2.0,0,good
171,sn2002bo,Ia-norm,0.8691,7.57,0.0805,0.0077,-1.5,0,good
172,sn2003cg,Ia-norm,0.7365,7.56,0.0772,0.0069,-2.3,0,good
173,sn1998es,Ia-91T,0.7365,7.54,0.0753,0.0072,-0.5,0,good
174,sn2004eo,Ia-norm,0.7053,7.54,0.0746,0.0065,-2.0,0,good
175,sn2001eh,Ia-91T,0.9301,7.53,0.0804,0.0079,-4.9,0,good
176,sn2007bd,Ia-norm,0.7446,7.52,0.0818,0.0075,-4.2,0,good
177,sn2000cp,Ia-norm,0.6986,7.52,0.0781,0.0071,-2.5,0,good
178,sn1994ae,Ia-norm,0.7013,7.52,0.0716,0.0067,2.0,0,good
179,sn2003du,Ia-norm,0.8718,7.51,0.0716,0.0071,2.9,0,good
