no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,lbv2001ac,LBV,0.8434,5.11,0.0483,0.0042,-99.9,2,bad
2,sn1991A,Ic-norm,0.6024,4.82,0.095,0.0118,65.1,1,bad
3,sn2006aj,Ic-broad,0.7148,4.72,0.094,0.013,198.1,0,bad
4,sn2004aw,Ic-norm,0.6431,4.51,0.091,0.0099,229.4,0,bad
5,sn1994M,Ia-norm,0.704,4.45,0.0561,0.015,32.7,0,bad
6,sn1990aa,Ic-norm,0.6701,4.41,0.0936,0.013,116.1,1,bad
7,sn1997dq,Ic-broad,0.7135,4.3,0.0902,0.0107,222.2,1,bad
8,sn1992H,IIP,0.4874,4.19,0.0512,0.0067,135.8,0,bad
9,sn1999gi,IIP,0.7013,4.19,0.0477,0.0054,160.4,0,bad
10,sn2005cs,IIP,0.4481,4.13,0.0533,0.0086,4.2,0,bad
11,sn1996L,IIn,0.6877,4.12,0.0505,0.0074,58.1,0,bad
12,sn1993J,IIb,0.769,4.11,0.1713,0.0153,-16.7,0,bad
13,sn2004bd,Ia-norm,0.6972,4.04,0.0515,0.0181,23.1,0,bad
14,sn1999gi,IIP,0.6999,4.04,0.0477,0.0062,144.4,0,bad
15,sn2002ap,Ic-broad,0.7107,3.98,0.0936,0.0161,119.7,0,bad
16,sn1991A,Ic-norm,0.4833,3.98,0.0927,0.0117,128.3,1,bad
17,sn1990I,Ib-norm,0.6701,3.94,0.0963,0.0168,87.7,0,bad
18,sn1997ef,Ic-broad,0.6796,3.91,0.0933,0.013,104.8,0,bad
19,sn2008D,Ib-pec,0.6607,3.9,0.0947,0.0135,130.5,0,bad
20,sn1997ef,Ic-broad,0.708,3.83,0.2733,0.0188,13.8,0,bad
21,sn2007ci,Ia-norm,0.6877,3.83,0.0528,0.0183,21.4,0,bad
22,sn1997ef,Ic-broad,0.6999,3.79,0.0992,0.0205,-5.1,0,bad
23,sn2004et,IIP,0.6891,3.79,0.0478,0.006,168.8,0,bad
24,sn1998S,IIn,0.6986,3.75,0.062,0.0064,367.8,0,bad
25,sn1998S,IIn,0.6999,3.75,0.0614,0.0062,383.6,0,bad
26,sn1987A,II-pec,0.6755,3.73,0.191,0.0192,-82.7,0,good
27,sn1994Q,Ia-norm,0.7906,3.72,0.4888,0.0133,11.6,0,bad
28,kcS0,Gal,0.9368,3.72,0.2213,0.0053,-99.9,2,bad
29,sn1998S,IIn,0.6999,3.72,0.062,0.0065,355.8,0,bad
30,sn1997ef,Ic-broad,0.6945,3.71,0.0948,0.0209,-4.1,0,bad
31,sn1999gi,IIP,0.6999,3.69,0.0479,0.0069,129.4,0,bad
32,sn2005cs,IIP,0.681,3.69,0.0448,0.006,161.8,0,bad
33,sn2007ci,Ia-norm,0.7459,3.68,0.0529,0.0181,18.4,0,bad
34,sn2004aw,Ic-norm,0.6959,3.67,0.2592,0.0173,18.4,0,bad
35,sn1998S,IIn,0.6972,3.67,0.0616,0.0068,390.6,0,bad
36,sn2002ap,Ic-broad,0.7013,3.65,0.0929,0.0163,148.6,0,bad
37,sn1997ef,Ic-broad,0.6945,3.64,0.1008,0.0216,-6.1,0,bad
38,sn1992H,IIP,0.5388,3.61,0.0856,0.0094,129.8,0,bad
39,sn2003it,Ia-norm,0.7026,3.6,0.0592,0.0193,30.9,0,bad
40,sn2002jg,Ia-norm,0.6986,3.6,0.0541,0.0205,25.1,0,bad
41,sn1993J,IIb,0.6458,3.6,0.0948,0.0106,186.1,0,bad
42,sn1990B,Ic-norm,0.6634,3.59,0.0963,0.0166,115.9,0,bad
43,sn1997ef,Ic-broad,0.5659,3.57,0.0934,0.0155,86.0,0,bad
44,sn2001N,Ia-norm,0.6986,3.55,0.0559,0.0194,26.1,0,bad
45,sn2003bg,IIb,0.6864,3.55,0.0951,0.0134,153.2,0,bad
46,sn1997dq,Ic-broad,0.8339,3.54,0.0929,0.0189,81.7,1,bad
47,sn2008D,Ib-pec,0.7798,3.54,0.3298,0.0241,-13.4,0,bad
48,sn2002eu,Ia-norm,0.9043,3.54,0.2654,0.0065,60.7,0,bad
49,sn1996L,IIn,0.7135,3.54,0.0878,0.0099,58.6,0,bad
50,sn2003bg,IIb,0.6417,3.53,0.0938,0.012,182.1,0,bad
51,sn1998S,IIn,0.6999,3.52,0.0626,0.0073,305.1,0,bad
52,sn1998S,IIn,0.6972,3.51,0.0627,0.0074,310.1,0,bad
53,sn2004bd,Ia-norm,0.6972,3.51,0.0573,0.0217,20.1,0,bad
54,sn1998S,IIn,0.6986,3.51,0.062,0.0069,338.9,0,bad
55,sn1997ef,Ic-broad,0.7094,3.5,0.2765,0.0218,12.8,0,bad
56,sn1997ef,Ic-broad,0.708,3.5,0.2765,0.0196,18.6,0,bad
57,sn1998S,IIn,0.6986,3.49,0.0623,0.0071,325.0,0,bad
58,sn1999ee,Ia-norm,0.6403,3.49,0.0563,0.0181,40.4,0,bad
59,sn2002er,Ia-norm,0.6945,3.48,0.0574,0.0185,23.6,0,bad
60,sn1998S,IIn,0.6999,3.47,0.0602,0.011,422.5,0,bad
61,sn1998S,IIn,0.7987,3.47,0.0551,0.0121,56.3,0,bad
62,sn2002es,Ia-91bg,0.6931,3.46,0.2487,0.0094,26.7,0,bad
63,sn1998S,IIn,0.6945,3.45,0.0549,0.0121,58.5,0,bad
64,sn2004et,IIP,0.7094,3.44,0.0477,0.0068,146.9,0,bad
65,sn2002ap,Ic-broad,0.7026,3.43,0.0924,0.0167,154.6,0,bad
66,sn1979C,IIL,0.5388,3.43,0.0668,0.013,71.6,0,bad
67,sn1998S,IIn,0.6986,3.42,0.0627,0.0075,300.0,0,bad
68,sn2004dj,IIP,0.6309,3.41,0.0527,0.0061,89.8,1,bad
69,sn2005bf,Ib-pec,0.6999,3.41,0.5114,0.0184,-22.3,0,bad
70,sn1998S,IIn,0.6972,3.38,0.0552,0.0124,60.5,0,bad
71,sn1998V,Ia-norm,0.597,3.38,0.2491,0.0209,30.8,0,bad
72,sn2004L,Ia-norm,0.6986,3.38,0.0497,0.019,27.5,0,bad
73,sn1998ab,Ia-91T,0.6945,3.38,0.051,0.0181,35.9,0,bad
74,sn2008ae,Ia-pec,0.75,3.37,0.2652,0.0167,1.9,0,bad
75,sn2005cs,IIP,0.5307,3.37,0.0455,0.006,155.6,0,bad
76,sn1990K,IIL,0.5185,3.37,0.0495,0.0122,50.5,1,bad
77,sn1993J,IIb,0.6444,3.35,0.0943,0.0114,150.0,0,bad
78,sn1995E,Ia-norm,0.7771,3.34,0.0514,0.0195,31.6,0,bad
79,sn1993J,IIb,0.6214,3.33,0.0941,0.0102,151.4,0,bad
80,sn1979C,IIL,0.5402,3.33,0.0652,0.0139,42.8,0,bad
81,sn1997ef,Ic-broad,0.7094,3.32,0.2738,0.0229,16.8,0,bad
82,sn1990U,Ic-norm,0.5618,3.32,0.0946,0.0133,92.3,0,bad
83,sn1991A,Ic-norm,0.5564,3.32,0.0948,0.0138,61.4,1,bad
84,sn1998co,Ia-norm,0.6972,3.31,0.0516,0.02,22.5,0,bad
85,sn1999cc,Ia-norm,0.6783,3.31,0.0531,0.0222,24.9,0,bad
86,sn2005cs,IIP,0.6837,3.3,0.0462,0.0064,172.7,0,bad
87,sn1998S,IIn,0.6999,3.3,0.0629,0.008,283.2,0,bad
88,sn2000cn,Ia-91bg,0.6986,3.29,0.0518,0.0193,20.9,0,bad
89,sn1998S,IIn,0.6918,3.29,0.0548,0.0112,46.6,0,bad
90,sn2008ae,Ia-pec,0.7473,3.27,0.2666,0.0155,0.9,0,bad
91,sn1998S,IIn,0.6999,3.27,0.0623,0.0091,311.1,0,bad
92,sn2002ap,Ic-broad,0.4928,3.25,0.0935,0.0171,128.7,0,bad
93,sn2008D,Ib-pec,0.6539,3.24,0.313,0.0233,-11.5,0,bad
94,sn1998S,IIn,0.6931,3.24,0.056,0.0135,70.5,0,bad
95,sn1997cn,Ia-91bg,0.6552,3.23,0.2471,0.0184,11.9,0,bad
96,sn1992H,IIP,0.5144,3.23,0.0515,0.0084,140.8,0,bad
97,sn1996cb,IIb,0.7094,3.22,0.0924,0.0115,149.3,0,bad
98,sn2002bf,Ia-norm,0.6972,3.21,0.0578,0.0185,29.1,0,bad
99,sn1998S,IIn,0.6904,3.21,0.0548,0.0115,45.6,0,bad
100,sn2006gr,Ia-norm,0.75,3.21,0.5038,0.0255,-10.8,0,bad
101,sn2007ci,Ia-norm,0.7487,3.19,0.0532,0.02,16.5,0,bad
102,sn2007if,Ia-pec,0.7947,3.19,0.0648,0.0205,48.4,0,bad
103,sn1996cb,IIb,0.4941,3.19,0.093,0.0098,126.7,0,bad
104,sn1990B,Ic-norm,0.6485,3.19,0.102,0.0211,88.0,0,bad
105,sn1998S,IIn,0.6986,3.18,0.0632,0.0089,277.2,0,bad
106,sn1999gp,Ia-91T,0.6972,3.18,0.0517,0.0182,35.1,0,bad
107,sn1997ef,Ic-broad,0.7067,3.17,0.2718,0.0227,15.7,0,bad
108,sn2005cs,IIP,0.7635,3.17,0.177,0.0148,-0.2,0,good
109,sn1998S,IIn,0.6972,3.17,0.0631,0.0087,275.2,0,bad
110,sn1998S,IIn,0.6904,3.17,0.0488,0.0081,-13.1,0,bad
111,sn2002bo,Ia-norm,0.8285,3.17,0.5305,0.0234,-12.4,0,bad
112,sn2004et,IIP,0.6755,3.15,0.0477,0.0065,195.8,0,bad
113,sn2007fb,Ia-norm,0.6498,3.15,0.494,0.0185,99.8,0,bad
114,sn1995ak,Ia-norm,0.7107,3.15,0.0509,0.0211,26.1,0,bad
115,sn1998S,IIn,0.6959,3.15,0.056,0.0139,72.5,0,bad
116,sn1999ac,Ia-91T,0.7013,3.15,0.2537,0.0203,26.7,0,bad
117,sn1998S,IIn,0.6904,3.14,0.0552,0.0116,43.6,0,bad
118,sn1995F,Ic-norm,0.7026,3.14,0.4969,0.02,1.9,1,bad
119,sn2006gr,Ia-norm,0.7487,3.14,0.5032,0.025,-9.8,0,bad
120,sn2005cc,Ia-pec,0.7459,3.13,0.2555,0.0094,2.6,0,bad
121,sn2006gr,Ia-norm,0.7487,3.13,0.5025,0.0232,-8.9,0,bad
122,sn1990aa,Ic-norm,0.6715,3.12,0.2696,0.0149,0.0,1,bad
123,kcSb,Gal,0.9368,3.12,0.2198,0.0136,-99.9,2,bad
124,sn2005bf,Ib-pec,0.6999,3.12,0.5161,0.0214,-25.3,0,bad
125,sn2006gr,Ia-norm,0.6742,3.12,0.0544,0.0185,39.3,0,bad
126,sn1995F,Ic-norm,0.7703,3.11,0.0937,0.0196,88.8,1,bad
127,sn1999by,Ia-91bg,0.7013,3.1,0.2518,0.0217,7.9,0,bad
128,sn1999gd,Ia-norm,0.6255,3.09,0.0505,0.0201,29.5,0,bad
129,sn2001ay,Ia-norm,0.6945,3.09,0.0546,0.0196,29.5,0,bad
130,sn1998S,IIn,0.6918,3.09,0.0561,0.0142,75.5,0,bad
131,sn1998S,IIn,0.6986,3.09,0.0559,0.0143,74.5,0,bad
132,sn1987A,II-pec,0.6783,3.09,0.047,0.0084,74.3,0,bad
133,sn2004aw,Ic-norm,0.708,3.08,0.2637,0.0197,25.9,0,bad
134,sn2001ay,Ia-norm,0.6918,3.08,0.0564,0.0201,31.4,0,bad
135,kcSc,Gal,0.9368,3.07,0.0459,0.0056,-99.9,2,bad
136,sn1997ef,Ic-broad,0.6999,3.07,0.2713,0.0205,26.5,0,bad
137,sn1993J,IIb,0.8272,3.06,0.0933,0.0141,188.0,0,bad
138,sn1999aa,Ia-91T,0.7622,3.06,0.4991,0.0256,-9.4,0,bad
139,sn2007Y,Ib-norm,0.6755,3.05,0.494,0.0189,4.9,0,bad
140,lbv2001ac,LBV,0.6959,3.05,0.0473,0.0066,-99.9,2,bad
141,sn2004et,IIP,0.6593,3.05,0.0477,0.0065,211.4,0,bad
142,sn1991M,Ia-norm,0.7622,3.05,0.0569,0.0226,27.5,0,bad
143,sn1999em,IIP,0.6999,3.05,0.0465,0.0093,126.8,0,bad
144,sn2003bg,IIb,0.681,3.05,0.0894,0.017,277.4,0,bad
145,sn1999ac,Ia-91T,0.7148,3.05,0.0531,0.0205,40.5,0,bad
146,sn2005bf,Ib-pec,0.6986,3.05,0.5073,0.0211,-18.5,0,bad
147,sn1991A,Ic-norm,0.6146,3.05,0.0969,0.0167,47.5,1,bad
148,sn1993J,IIb,0.4752,3.04,0.0924,0.0137,216.5,0,bad
149,sn2005cs,IIP,0.6092,3.03,0.0454,0.0068,176.1,0,bad
150,sn2004gs,Ia-norm,0.6146,3.03,0.0581,0.0196,31.8,0,bad
151,sn2005cs,IIP,0.6322,3.01,0.0498,0.0089,17.8,0,bad
152,sn2005cs,IIP,0.5348,3.01,0.0461,0.0065,188.6,0,bad
153,sn2005cs,IIP,0.6823,3.0,0.0474,0.0067,220.7,0,bad
154,sn2005cs,IIP,0.7297,3.0,0.0407,0.0088,128.9,0,bad
155,sn1997E,Ia-norm,0.6566,3.0,0.0573,0.022,20.0,0,bad
156,sn1998S,IIn,0.7947,2.99,0.0563,0.015,81.2,0,bad
157,sn2007if,Ia-pec,0.7784,2.99,0.2589,0.012,66.9,0,bad
158,sn1998S,IIn,0.6972,2.99,0.0632,0.0091,268.2,0,bad
159,sn2002er,Ia-norm,0.7554,2.99,0.0589,0.0199,32.6,0,bad
160,sn1990I,Ib-norm,0.6146,2.99,0.091,0.0173,234.5,0,bad
161,sn2005am,Ia-norm,0.7135,2.99,0.0542,0.0229,23.7,0,bad
162,sn1998S,IIn,0.6918,2.98,0.0554,0.0121,40.6,0,bad
