no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn2002er,Ia-norm,0.769,12.68,0.0292,0.0048,-7.0,0,good
2,sn1990O,Ia-norm,0.7987,12.6,0.0306,0.0048,-5.6,0,good
3,sn1990O,Ia-norm,0.7987,12.06,0.0314,0.0052,-6.6,0,good
4,sn2007A,Ia-norm,0.7378,11.03,0.0198,0.0047,-2.4,0,good
5,sn2007af,Ia-norm,0.7473,10.99,0.0226,0.0049,-5.6,0,good
6,sn2007af,Ia-norm,0.7473,10.95,0.0219,0.0048,-4.6,0,good
7,sn2003du,Ia-norm,0.792,10.9,0.0204,0.005,-0.3,0,good
8,sn2002er,Ia-norm,0.7676,10.84,0.0315,0.0056,-9.0,0,good
9,sn2003du,Ia-norm,0.8069,10.62,0.0206,0.0051,-2.2,0,good
10,sn1992A,Ia-norm,0.7107,10.61,0.0347,0.005,-5.4,0,good
11,sn2007A,Ia-norm,0.7446,10.48,0.0201,0.005,-3.4,0,good
12,sn2008bf,Ia-norm,0.7392,10.37,0.0242,0.0051,0.7,0,good
13,sn2007af,Ia-norm,0.7446,10.27,0.0213,0.0051,-3.6,0,good
14,sn2002er,Ia-norm,0.8962,10.14,0.0282,0.0057,-5.0,0,good
15,sn2007af,Ia-norm,0.7473,10.13,0.0209,0.0052,-2.6,0,good
16,sn2003du,Ia-norm,0.7906,10.04,0.0202,0.0054,-1.3,0,good
17,sn2003du,Ia-norm,0.7514,10.02,0.0241,0.0059,-8.1,0,good
18,sn2008bf,Ia-norm,0.7378,9.84,0.0236,0.0053,2.6,0,good
19,sn2006S,Ia-norm,0.8326,9.69,0.0227,0.0058,4.1,0,good
20,sn2007af,Ia-norm,0.7459,9.68,0.0202,0.0054,-1.6,0,good
21,sn2003du,Ia-norm,0.9219,9.67,0.02,0.0054,0.9,0,good
22,sn2006gr,Ia-norm,0.7338,9.67,0.0297,0.0062,-2.1,0,good
23,sn2007F,Ia-norm,0.7365,9.66,0.0218,0.0055,-1.8,0,good
24,sn2008Z,Ia-norm,0.7378,9.61,0.0289,0.006,-9.2,0,good
25,sn2007co,Ia-norm,0.7392,9.54,0.028,0.0062,-3.1,0,good
26,sn2007co,Ia-norm,0.7378,9.53,0.0253,0.0058,-0.2,0,good
27,sn2007bc,Ia-norm,0.7405,9.53,0.0196,0.0052,-2.6,0,good
28,sn2006gr,Ia-norm,0.7283,9.52,0.0334,0.0071,-5.1,0,good
29,sn2002er,Ia-norm,0.6661,9.5,0.0273,0.0059,-6.0,0,good
30,sn2006gr,Ia-norm,0.7311,9.4,0.0319,0.0068,-4.0,0,good
31,sn2007af,Ia-norm,0.7459,9.38,0.0198,0.0056,-0.6,0,good
32,sn2007co,Ia-norm,0.7378,9.36,0.0257,0.006,-1.2,0,good
33,sn2007co,Ia-norm,0.7378,9.32,0.0296,0.0065,-4.1,0,good
34,sn1994D,Ia-norm,0.9395,9.27,0.0246,0.0055,-4.3,0,good
35,sn2008bf,Ia-norm,0.7378,9.27,0.023,0.0056,3.6,0,good
36,sn2007F,Ia-norm,0.7392,9.09,0.021,0.0058,-0.9,0,good
37,sn1995E,Ia-norm,0.6864,9.06,0.0203,0.0058,-0.9,0,good
38,sn2008Q,Ia-norm,0.7473,9.04,0.0251,0.0055,-6.2,0,good
39,sn2008Q,Ia-norm,0.7459,9.03,0.0259,0.0056,-7.2,0,good
40,sn2006N,Ia-norm,0.7392,9.01,0.0239,0.0055,-3.3,0,good
41,sn2007co,Ia-norm,0.7378,8.99,0.0309,0.0069,-5.1,0,good
42,sn2007bd,Ia-norm,0.7297,8.99,0.028,0.0061,-4.2,0,good
43,sn2006gr,Ia-norm,0.7283,8.98,0.0373,0.0079,-6.9,0,good
44,sn2005cf,Ia-norm,0.7459,8.96,0.0202,0.006,2.5,0,good
45,sn2008ar,Ia-norm,0.7351,8.92,0.0219,0.0062,3.1,0,good
46,sn2007co,Ia-norm,0.7365,8.9,0.0247,0.0061,0.8,0,good
47,sn2006N,Ia-norm,0.7419,8.88,0.0226,0.0055,-1.3,0,good
48,sn2005el,Ia-norm,0.7419,8.87,0.022,0.0058,-3.9,0,good
49,sn2005cf,Ia-norm,0.7446,8.85,0.0207,0.0061,1.6,0,good
50,sn2008bf,Ia-norm,0.7378,8.85,0.0227,0.0057,4.5,0,good
51,sn2005el,Ia-norm,0.7392,8.83,0.0226,0.0059,-4.8,0,good
52,sn2007af,Ia-norm,0.7378,8.81,0.0193,0.0059,0.3,0,good
53,sn2008ar,Ia-norm,0.7392,8.78,0.0217,0.0065,4.1,0,good
54,sn2008Z,Ia-norm,0.7419,8.76,0.025,0.006,-5.3,0,good
55,sn1999aw,Ia-91T,0.8583,8.74,0.0306,0.0071,0.0,0,good
56,sn2006gr,Ia-norm,0.727,8.73,0.0352,0.0079,-6.0,0,good
57,sn2008Q,Ia-norm,0.7446,8.71,0.0235,0.0056,-3.2,0,good
58,sn2007F,Ia-norm,0.7378,8.68,0.0245,0.006,-5.7,0,good
59,sn2005cf,Ia-norm,0.7473,8.68,0.0211,0.0063,0.6,0,good
60,sn2006gr,Ia-norm,0.7311,8.64,0.0291,0.007,-1.1,0,good
61,sn1996C,Ia-norm,0.7053,8.62,0.0204,0.0056,2.0,0,good
62,sn1992A,Ia-norm,0.7107,8.62,0.031,0.0059,-0.8,0,good
63,sn2003du,Ia-norm,0.9233,8.61,0.0184,0.0061,2.9,0,good
64,sn2007fs,Ia-norm,0.7473,8.6,0.0199,0.0059,3.1,0,good
65,sn2008Z,Ia-norm,0.7432,8.6,0.0245,0.006,-4.3,0,good
66,sn2005bo,Ia-norm,0.7446,8.57,0.0188,0.006,-0.1,0,good
67,sn2002bo,Ia-norm,0.7825,8.55,0.0307,0.007,-4.8,0,good
68,sn2007co,Ia-norm,0.7338,8.54,0.0241,0.0063,1.7,0,good
69,sn2005cf,Ia-norm,0.7405,8.54,0.0201,0.0063,3.5,0,good
70,sn2008ar,Ia-norm,0.7392,8.52,0.0245,0.007,-0.7,0,good
71,sn2006S,Ia-norm,0.7338,8.51,0.0226,0.0062,0.2,0,good
72,sn2006S,Ia-norm,0.7324,8.49,0.0226,0.0061,1.2,0,good
73,sn2006ax,Ia-norm,0.7419,8.47,0.0213,0.0066,-6.4,0,good
74,sn2006ax,Ia-norm,0.7378,8.47,0.0178,0.0062,0.5,0,good
75,sn2006S,Ia-norm,0.7324,8.46,0.022,0.0061,3.2,0,good
76,sn2006ax,Ia-norm,0.7419,8.45,0.0232,0.0068,-8.4,0,good
77,sn2008Q,Ia-norm,0.7419,8.45,0.023,0.0058,-2.2,0,good
78,sn2002ck,Ia-norm,0.6986,8.44,0.0196,0.0058,0.3,0,good
79,sn2007jg,Ia-norm,0.7283,8.43,0.0344,0.0082,-2.3,0,good
80,sn2007A,Ia-norm,0.7459,8.43,0.018,0.006,4.5,0,good
81,sn2000dn,Ia-norm,0.7189,8.43,0.0202,0.0062,-3.8,0,good
82,sn1995E,Ia-norm,0.6945,8.42,0.0202,0.006,1.0,0,good
83,sn2002ck,Ia-norm,0.7013,8.41,0.02,0.006,-0.6,0,good
84,sn2006S,Ia-norm,0.7338,8.4,0.0244,0.0065,-2.6,0,good
85,sn2006sr,Ia-norm,0.7378,8.37,0.0261,0.006,-0.9,0,good
86,sn2005ki,Ia-norm,0.7392,8.35,0.0211,0.0059,1.0,0,good
87,sn2005el,Ia-norm,0.7378,8.35,0.0233,0.0063,-5.8,0,good
88,sn2005cf,Ia-norm,0.7446,8.31,0.0218,0.0067,-0.3,0,good
89,sn2008Z,Ia-norm,0.7392,8.29,0.0277,0.0066,-8.2,0,good
