no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
129,sn2002hu,Ia-91T,0.6959,5.82,0.0455,0.0111,-5.3,0,good
130,sn1997br,Ia-91T,0.8055,5.8,0.0477,0.0092,-9.6,0,good
131,sn2003hu,Ia-91T,0.6986,5.79,0.0373,0.01,7.5,0,good
132,sn2002er,Ia-norm,0.6891,5.78,0.053,0.0105,-6.0,0,good
133,sn1981B,Ia-norm,0.9152,5.78,0.0475,0.0108,-1.5,0,good
134,sn1998es,Ia-91T,0.7338,5.73,0.0411,0.0092,0.5,0,good
135,sn2007kk,Ia-norm,0.7473,5.72,0.0485,0.0102,1.1,0,good
136,sn1999ee,Ia-norm,0.9341,5.72,0.0419,0.01,6.7,0,good
137,sn2001V,Ia-91T,0.6959,5.71,0.0531,0.0106,-13.2,0,good
138,sn1999aa,Ia-91T,0.8922,5.7,0.0488,0.0097,-9.4,0,good
139,sn2001eh,Ia-91T,0.8705,5.7,0.0405,0.0105,8.6,0,good
140,sn2002er,Ia-norm,0.7906,5.7,0.0583,0.0105,-9.0,0,good
141,sn2008Z,Ia-norm,0.7473,5.69,0.0391,0.0104,7.6,0,good
142,sn2002er,Ia-norm,0.9301,5.68,0.048,0.0101,-4.0,0,good
143,sn2007S,Ia-91T,0.7432,5.67,0.042,0.0095,-0.7,0,good
144,sn2007kk,Ia-norm,0.7459,5.66,0.0495,0.0102,-0.8,0,good
145,sn2005cf,Ia-norm,0.9395,5.62,0.0597,0.0104,-9.2,0,good
146,sn2005cf,Ia-norm,0.9395,5.61,0.0506,0.0109,-3.8,0,good
147,sn2002he,Ia-norm,0.9395,5.6,0.0508,0.0107,-3.2,0,good
148,sn2007kk,Ia-norm,0.75,5.6,0.0454,0.0107,5.9,0,good
149,sn2002er,Ia-norm,0.9395,5.58,0.0458,0.0116,2.9,0,good
150,sn2000cx,Ia-pec,0.6227,5.58,0.0445,0.0105,8.6,0,good
151,sn2007kk,Ia-norm,0.7487,5.58,0.0477,0.0105,2.1,0,good
152,sn2001V,Ia-91T,0.6918,5.56,0.0502,0.0104,-10.2,0,good
153,sn2007kk,Ia-norm,0.7473,5.55,0.0473,0.0106,3.2,0,good
154,sn2003fa,Ia-91T,0.6986,5.54,0.0394,0.0096,8.7,0,good
155,sn1999dq,Ia-91T,0.6959,5.54,0.0478,0.0105,-10.4,0,good
156,sn2007kk,Ia-norm,0.75,5.52,0.0416,0.0109,8.8,0,good
157,sn1997br,Ia-91T,0.8204,5.52,0.0435,0.0095,-4.6,0,good
158,sn2006cm,Ia-norm,0.7446,5.51,0.0428,0.0095,-1.0,0,good
159,sn2007kk,Ia-norm,0.7487,5.5,0.0463,0.0108,4.1,0,good
160,sn1990O,Ia-norm,0.8218,5.5,0.0538,0.0109,-5.6,0,good
161,sn2005cf,Ia-norm,0.9395,5.5,0.0442,0.0108,5.2,0,good
162,sn2005M,Ia-91T,0.7432,5.49,0.0333,0.0098,5.1,0,good
163,sn1998ab,Ia-91T,0.6864,5.49,0.0449,0.01,-7.8,0,good
164,sn2002dj,Ia-norm,0.9395,5.49,0.0588,0.0114,-4.6,0,good
165,sn1998es,Ia-91T,0.6904,5.48,0.0481,0.0106,-10.3,0,good
166,sn2007kk,Ia-norm,0.75,5.47,0.0464,0.0111,5.0,0,good
167,sn2005cf,Ia-norm,0.9395,5.46,0.0431,0.011,7.2,0,good
168,sn2002de,Ia-norm,0.7013,5.45,0.0491,0.0104,-6.1,0,good
169,sn2002bo,Ia-norm,0.926,5.44,0.0483,0.0107,-0.6,0,good
170,sn1999aa,Ia-91T,0.6959,5.44,0.0455,0.0105,-2.1,0,good
171,sn2003ic,Ia-norm,0.6972,5.42,0.037,0.0108,7.2,0,good
172,sn2005cf,Ia-norm,0.9395,5.41,0.048,0.0109,-2.4,0,good
173,sn1998es,Ia-91T,0.6728,5.4,0.0511,0.0121,-9.4,0,good
174,sn2006S,Ia-norm,0.7432,5.39,0.0444,0.0099,-0.7,0,good
175,sn2004eo,Ia-norm,0.9395,5.39,0.0457,0.0111,-5.6,0,good
176,sn2006ax,Ia-norm,0.7419,5.39,0.0463,0.0103,-8.4,0,good
177,sn2005eu,Ia-norm,0.7487,5.39,0.0471,0.0092,-9.0,0,good
178,sn2001br,Ia-norm,0.9395,5.39,0.0487,0.0115,2.5,0,good
179,sn2007F,Ia-norm,0.7405,5.37,0.0483,0.0101,-5.7,0,good
180,sn2003fa,Ia-91T,0.6986,5.36,0.0371,0.0102,10.7,0,good
181,sn1998aq,Ia-norm,0.6783,5.36,0.048,0.0097,-9.9,0,good
182,sn1999ac,Ia-91T,0.769,5.36,0.0376,0.0117,0.4,0,good
183,sn2005M,Ia-91T,0.7378,5.35,0.0316,0.0099,10.0,0,good
184,sn2007S,Ia-91T,0.7446,5.35,0.0383,0.0101,8.1,0,good
185,sn1996ai,Ia-norm,0.8962,5.35,0.0444,0.0099,-0.9,0,good
186,sn1998es,Ia-91T,0.7365,5.34,0.0407,0.0097,1.5,0,good
187,sn1991T,Ia-91T,0.7784,5.33,0.0321,0.0102,9.5,0,good
188,sn2005hc,Ia-norm,0.7392,5.33,0.0429,0.0103,5.4,0,good
189,sn1999ac,Ia-91T,0.9395,5.33,0.0359,0.0123,2.7,0,good
190,sn2006ax,Ia-norm,0.7419,5.33,0.0441,0.0102,-6.4,0,good
191,sn2005eu,Ia-norm,0.7459,5.32,0.0464,0.0097,-7.1,0,good
192,sn2003du,Ia-norm,0.7514,5.31,0.0478,0.0105,-8.1,0,good
193,sn2008Z,Ia-norm,0.7473,5.31,0.0365,0.0115,10.3,0,good
194,sn2006cj,Ia-norm,0.7229,5.3,0.0381,0.0106,8.2,0,good
195,sn2005hj,Ia-91T,0.7811,5.29,0.0454,0.0086,-4.3,0,good
196,sn2006S,Ia-norm,0.7419,5.28,0.0474,0.0102,-4.6,0,good
197,sn2006ax,Ia-norm,0.7419,5.23,0.0473,0.0105,-9.3,0,good
198,sn2006S,Ia-norm,0.7432,5.22,0.0442,0.0101,0.2,0,good
199,sn1989B,Ia-norm,0.8515,5.22,0.0454,0.0111,-7.2,0,good
200,sn2007F,Ia-norm,0.7392,5.21,0.0442,0.01,-1.8,0,good
201,sn2005hc,Ia-norm,0.7419,5.2,0.0435,0.0103,6.3,0,good
202,sn2005hj,Ia-91T,0.773,5.2,0.0456,0.0089,-5.2,0,good
203,sn1996X,Ia-norm,0.9395,5.19,0.0432,0.0106,0.1,0,good
204,sn2004dt,Ia-norm,0.7663,5.18,0.0622,0.0117,-2.0,0,good
205,sn2007F,Ia-norm,0.7473,5.18,0.0496,0.0103,-6.7,0,good
206,sn2000cx,Ia-pec,0.9395,5.17,0.0421,0.0085,0.7,0,good
207,sn1999ac,Ia-91T,0.8367,5.17,0.0573,0.012,-13.9,0,good
208,sn2006cm,Ia-norm,0.7392,5.16,0.0455,0.0107,-1.9,0,good
209,sn2006gr,Ia-norm,0.7514,5.14,0.0508,0.0109,-2.1,0,good
210,sn2000cx,Ia-pec,0.574,5.13,0.0488,0.0109,-3.3,0,good
211,sn2006oa,Ia-91T,0.7297,5.13,0.0512,0.0123,-8.5,0,good
212,sn2003du,Ia-norm,0.8989,5.12,0.0424,0.0112,0.9,0,good
213,sn1998es,Ia-91T,0.6931,5.12,0.0498,0.0115,-11.4,0,good
214,sn1999ef,Ia-norm,0.6959,5.11,0.0408,0.0106,7.7,0,good
215,sn1999gp,Ia-91T,0.6999,5.11,0.0469,0.0117,0.0,0,good
216,sn2003fa,Ia-91T,0.6972,5.11,0.0371,0.011,11.6,0,good
217,sn2003cg,Ia-norm,0.7107,5.1,0.0435,0.011,-2.1,0,good
218,sn2000cx,Ia-pec,0.6214,5.1,0.0411,0.0118,10.6,0,good
219,sn2006cf,Ia-norm,0.7473,5.1,0.0372,0.0114,2.7,0,good
220,sn2003du,Ia-norm,0.7906,5.1,0.0436,0.0107,-1.3,0,good
221,sn2006cq,Ia-norm,0.7392,5.1,0.05,0.0115,-3.3,0,good
222,sn1998ab,Ia-91T,0.5957,5.08,0.0361,0.0111,6.7,0,good
223,sn1999ee,Ia-norm,0.9395,5.08,0.0408,0.0118,10.6,0,good
224,sn2003du,Ia-norm,0.8069,5.07,0.0435,0.0105,-2.2,0,good
225,sn2005na,Ia-norm,0.7338,5.06,0.0387,0.0111,3.4,0,good
226,sn2001G,Ia-norm,0.6904,5.05,0.0496,0.0112,-5.1,0,good
227,sn2000cx,Ia-pec,0.6931,5.04,0.0482,0.0119,-1.3,0,good
228,sn1994ae,Ia-norm,0.9395,5.03,0.0375,0.0124,8.0,0,good
229,sn2000cx,Ia-pec,0.6173,5.03,0.0483,0.0105,-1.3,0,good
230,sn1995ac,Ia-norm,0.6918,5.03,0.0477,0.0105,-5.5,0,good
231,sn1999aa,Ia-91T,0.792,5.01,0.04,0.0129,6.7,0,good
232,sn2001eh,Ia-91T,0.6972,5.0,0.045,0.0112,-2.0,0,good
233,sn1999ef,Ia-norm,0.6972,5.0,0.042,0.0111,6.7,0,good
