no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn2002dj,Ia-norm,0.9409,22.45,0.056,0.003,-3.6,0,good
2,sn2002dj,Ia-norm,0.9409,18.56,0.0571,0.0036,-4.6,0,good
3,sn1997bp,Ia-norm,0.9409,16.91,0.0647,0.0039,-3.0,0,good
4,sn2002bo,Ia-norm,0.9409,16.6,0.0522,0.0038,-1.7,0,good
5,sn2002bo,Ia-norm,0.75,15.36,0.054,0.0041,-3.7,0,good
6,sn2002bo,Ia-norm,0.8989,15.22,0.0528,0.0041,-2.8,0,good
7,sn2006le,Ia-norm,0.7378,14.84,0.0476,0.0041,3.9,0,good
8,sn2002dj,Ia-norm,0.9355,14.67,0.0599,0.0045,-6.6,0,good
9,sn2004fu,Ia-norm,0.7459,14.65,0.0474,0.0039,4.4,0,good
10,sn2006le,Ia-norm,0.7405,14.62,0.0483,0.0041,2.9,0,good
11,sn2002er,Ia-norm,0.9084,14.44,0.0471,0.0042,-1.1,0,good
12,sn2002bo,Ia-norm,0.7541,14.43,0.0517,0.0043,-1.8,0,good
13,sn2006ev,Ia-norm,0.7487,14.2,0.0448,0.0038,5.5,0,good
14,sn2006cp,Ia-norm,0.7419,14.06,0.0589,0.0048,-6.3,0,good
15,sn2002bo,Ia-norm,0.926,13.99,0.0499,0.0044,-0.6,0,good
16,sn1996C,Ia-norm,0.7053,13.87,0.0434,0.0039,4.8,0,good
17,sn2004fu,Ia-norm,0.7459,13.6,0.0474,0.0041,3.4,0,good
18,sn1996bl,Ia-norm,0.7026,13.55,0.0502,0.0043,-2.2,0,good
19,sn2005am,Ia-norm,0.7554,13.5,0.0478,0.0041,3.0,0,good
20,sn1996bl,Ia-norm,0.704,13.09,0.0515,0.0046,-4.0,0,good
21,sn1995E,Ia-norm,0.6688,13.0,0.0439,0.0042,3.9,0,good
22,sn2007af,Ia-norm,0.7487,12.81,0.0415,0.0043,3.3,0,good
23,sn2007af,Ia-norm,0.7432,12.73,0.0421,0.0043,2.3,0,good
24,sn2007co,Ia-norm,0.7473,12.72,0.0462,0.0045,3.7,0,good
25,sn2004fu,Ia-norm,0.7419,12.67,0.0482,0.0044,2.4,0,good
26,sn1996X,Ia-norm,0.9409,12.42,0.0444,0.0045,0.1,0,good
27,sn2004ef,Ia-norm,0.7473,12.42,0.0489,0.0047,1.5,0,good
28,sn2004ef,Ia-norm,0.7514,12.37,0.0479,0.0046,2.5,0,good
29,sn2000cf,Ia-norm,0.6999,12.35,0.0404,0.0044,2.9,0,good
30,sn2001ep,Ia-norm,0.9409,12.21,0.042,0.0046,2.8,0,good
31,sn2007co,Ia-norm,0.7459,12.16,0.0468,0.0046,2.7,0,good
32,sn1984A,Ia-norm,0.5334,12.14,0.0602,0.0052,-2.8,0,good
33,sn2002ck,Ia-norm,0.6986,12.12,0.0447,0.0045,0.3,0,good
34,sn2004eo,Ia-norm,0.9409,12.12,0.0466,0.0049,-5.6,0,good
35,sn2006bt,Ia-norm,0.9409,12.02,0.0492,0.0047,-3.9,0,good
36,sn2005cf,Ia-norm,0.8813,12.0,0.0431,0.0047,4.2,0,good
37,sn2005am,Ia-norm,0.7405,11.92,0.0487,0.0047,2.0,0,good
38,sn2005cf,Ia-norm,0.7419,11.9,0.0584,0.0061,-10.4,0,good
39,sn2006cp,Ia-norm,0.7392,11.85,0.0623,0.0057,-8.4,0,good
40,sn1996X,Ia-norm,0.9409,11.84,0.044,0.0047,1.1,0,good
41,sn2005cf,Ia-norm,0.9409,11.78,0.0429,0.0048,4.5,0,good
42,sn2000cp,Ia-norm,0.6986,11.75,0.0474,0.0046,-1.5,0,good
43,sn1996C,Ia-norm,0.7053,11.75,0.045,0.0046,2.0,0,good
44,sn2004ef,Ia-norm,0.7473,11.68,0.0497,0.0051,0.6,0,good
45,sn2007co,Ia-norm,0.7473,11.63,0.0458,0.0048,4.6,0,good
46,sn2005cf,Ia-norm,0.7446,11.63,0.0561,0.0062,-9.3,0,good
47,sn2002ck,Ia-norm,0.7013,11.56,0.0445,0.0049,-0.6,0,good
48,sn2005am,Ia-norm,0.7419,11.53,0.0468,0.0047,3.9,0,good
49,sn2002bo,Ia-norm,0.8976,11.53,0.0518,0.0052,-1.5,0,good
50,sn2001ck,Ia-norm,0.6972,11.49,0.0454,0.0046,4.8,0,good
51,sn2006bt,Ia-norm,0.9409,11.49,0.0504,0.0048,-4.6,0,good
52,sn1989B,Ia-norm,0.9409,11.47,0.0442,0.0051,-1.3,0,good
53,sn2003cg,Ia-norm,0.8163,11.47,0.0441,0.0049,4.0,0,good
54,sn1997do,Ia-norm,0.6959,11.44,0.0659,0.0062,-10.6,0,good
