no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn2004et,IIP,0.8204,6.87,0.0306,0.0031,195.8,0,good
2,sn2004et,IIP,0.8339,6.62,0.0309,0.0029,284.8,0,good
3,sn2004et,IIP,0.7771,6.34,0.0317,0.0029,374.6,0,good
4,sn2004et,IIP,0.8407,6.3,0.032,0.003,297.7,0,good
5,sn2004et,IIP,0.8339,6.2,0.0308,0.0034,168.8,0,good
6,sn2004et,IIP,0.7771,6.19,0.032,0.0029,384.5,0,good
7,sn1990K,IIL,0.8055,6.16,0.0306,0.0037,202.5,1,good
8,sn2004et,IIP,0.7757,6.14,0.0321,0.003,411.5,0,good
9,sn2004et,IIP,0.8637,6.1,0.0307,0.0032,242.8,0,good
10,sn2005cs,IIP,0.5442,6.1,0.0303,0.0027,328.5,0,good
11,sn2004et,IIP,0.8664,5.95,0.0312,0.0032,236.8,0,good
12,sn1990K,IIL,0.7893,5.92,0.031,0.0041,160.9,1,good
13,sn1990K,IIL,0.8299,5.74,0.0307,0.004,174.7,1,good
14,sn2004et,IIP,0.8746,5.71,0.031,0.0035,229.7,0,good
15,sn2004et,IIP,0.8542,5.58,0.0307,0.0039,146.9,0,good
16,sn2006bp,IIP,0.7473,5.52,0.0347,0.0033,330.0,0,good
17,kcSB1,Gal,0.9382,5.41,0.0329,0.0031,-99.9,2,good
18,sn2005cs,IIP,0.7135,5.37,0.0311,0.0033,220.7,0,good
19,sn1998S,IIn,0.6986,5.27,0.047,0.0039,338.9,0,good
20,sn1998S,IIn,0.6986,5.25,0.047,0.0039,367.8,0,good
21,sn1990K,IIL,0.8583,5.24,0.0306,0.005,119.1,1,good
22,sn2005cs,IIP,0.7121,5.19,0.03,0.0037,161.8,0,good
23,sn1998S,IIn,0.6999,5.18,0.0464,0.004,383.6,0,good
24,kcSB2,Gal,0.9382,5.15,0.0329,0.0032,-99.9,2,good
25,sn1998S,IIn,0.6999,5.13,0.0471,0.004,355.8,0,good
26,sn1999em,IIP,0.8258,5.12,0.0304,0.0041,157.9,0,good
27,sn1998S,IIn,0.6999,5.07,0.0479,0.0042,305.1,0,good
28,sn1998S,IIn,0.6986,5.04,0.0476,0.0042,325.0,0,good
29,sn1998S,IIn,0.6972,5.03,0.0479,0.0042,310.1,0,good
