no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn2005cf,Ia-norm,0.7189,10.25,0.0156,0.0047,60.8,0,good
2,sn2005hk,Ia-pec,0.7987,10.13,0.0062,0.0043,65.5,0,good
3,sn1997cn,Ia-91bg,0.8894,7.91,0.0172,0.0057,43.4,0,good
4,sn2001ep,Ia-norm,0.505,7.74,0.0149,0.005,66.9,0,good
5,sn2006bt,Ia-norm,0.8191,7.54,0.0141,0.0052,53.3,0,good
6,sn2006lf,Ia-norm,0.5848,7.44,0.0172,0.0059,50.6,0,good
7,sn2006lf,Ia-norm,0.6079,7.22,0.0179,0.0059,49.6,0,good
8,sn1991bg,Ia-91bg,0.796,6.83,0.0169,0.0071,33.1,0,good
9,sn2007if,Ia-pec,0.7893,6.72,0.0172,0.0068,61.4,0,good
10,sn2003hv,Ia-norm,0.9314,6.58,0.0197,0.0071,53.2,0,good
11,sn2006lf,Ia-norm,0.6079,6.57,0.018,0.0065,44.6,0,good
12,sn2005hk,Ia-pec,0.532,6.31,0.0058,0.0059,53.8,0,good
13,sn2003du,Ia-norm,0.9314,6.08,0.0183,0.0073,62.4,0,good
14,sn2002eu,Ia-norm,0.9016,6.05,0.0189,0.0073,60.7,0,good
15,sn2002fb,Ia-91bg,0.9219,5.97,0.0216,0.0086,52.5,0,good
16,sn1999em,IIP,0.9246,5.97,0.002,0.0091,71.2,0,good
17,sn1995bd,Ia-91T,0.7798,5.93,0.0108,0.0083,71.6,0,good
18,sn2004et,IIP,0.9206,5.88,0.005,0.0088,47.4,0,good
19,sn1991bg,Ia-91bg,0.639,5.88,0.0177,0.0075,33.8,0,good
20,sn1995F,Ic-norm,0.8488,5.85,0.0197,0.0097,35.7,1,good
21,sn2002es,Ia-91bg,0.6959,5.79,0.0115,0.0089,11.0,0,good
22,sn2002cx,Ia-pec,0.7365,5.76,0.0068,0.0063,54.3,0,good
23,sn2004et,IIP,0.8962,5.72,0.006,0.0084,34.5,0,good
24,sn2006lf,Ia-norm,0.6092,5.72,0.0182,0.0072,37.8,0,good
25,sn2000cn,Ia-91bg,0.5104,5.71,0.0149,0.0075,50.2,0,good
26,sn2001ep,Ia-norm,0.6295,5.71,0.0155,0.0073,47.1,0,good
27,sn2000cx,Ia-pec,0.5659,5.7,0.0205,0.0078,27.5,0,good
28,sn2004et,IIP,0.8894,5.69,0.005,0.0086,39.5,0,good
29,sn2001G,Ia-norm,0.9165,5.68,0.0204,0.0076,62.7,0,good
30,sn2003du,Ia-norm,0.8461,5.66,0.0185,0.0073,58.8,0,good
31,sn2002es,Ia-91bg,0.6945,5.65,0.0127,0.0091,9.0,0,good
32,sn1996X,Ia-norm,0.9314,5.59,0.0203,0.0079,55.6,0,good
33,sn2004et,IIP,0.8664,5.57,0.0042,0.0088,57.5,0,good
34,sn2004et,IIP,0.8637,5.54,0.0036,0.0088,70.5,0,good
35,sn2004eo,Ia-norm,0.9084,5.54,0.0181,0.008,54.0,0,good
36,sn2005bl,Ia-91bg,0.8854,5.54,0.0196,0.0088,22.3,0,good
37,sn2004et,IIP,0.8204,5.53,0.0028,0.0075,82.5,0,good
38,sn2003du,Ia-norm,0.9274,5.52,0.018,0.0076,71.3,0,good
39,sn2004et,IIP,0.8962,5.48,0.0075,0.0084,22.6,0,good
40,sn1986G,Ia-91bg,0.7013,5.46,0.0164,0.0084,56.2,0,good
41,sn2004et,IIP,0.8976,5.45,0.0075,0.0085,24.6,0,good
42,sn2003du,Ia-norm,0.9314,5.44,0.0185,0.0079,50.5,0,good
43,sn1996X,Ia-norm,0.9274,5.38,0.0198,0.0078,56.6,0,good
44,sn2004eo,Ia-norm,0.6539,5.36,0.0163,0.0077,49.1,0,good
45,sn2005cc,Ia-pec,0.6173,5.28,0.0062,0.0065,41.3,0,good
46,sn2005cf,Ia-norm,0.9192,5.28,0.0166,0.0079,76.6,0,good
47,sn2000cx,Ia-pec,0.5862,5.26,0.0212,0.0086,23.5,0,good
48,sn1991bg,Ia-91bg,0.7107,5.21,0.0163,0.0087,49.9,0,good
49,sn1993J,IIb,0.9314,5.2,0.0125,0.0093,13.0,0,good
50,sn1991bg,Ia-91bg,0.7622,5.2,0.0167,0.0091,53.9,0,good
51,sn2007if,Ia-pec,0.9314,5.2,0.0184,0.0068,51.2,0,good
52,sn1991bg,Ia-91bg,0.7554,5.2,0.018,0.0099,45.9,0,good
53,sn2002hu,Ia-91T,0.8908,5.19,0.0173,0.0078,73.5,0,good
54,sn2005cf,Ia-norm,0.9003,5.17,0.017,0.009,75.2,0,good
55,sn1993J,IIb,0.9098,5.17,0.0143,0.0082,3.8,0,good
56,sn1995F,Ic-norm,0.857,5.17,0.0188,0.0107,35.8,1,good
57,sn1991T,Ia-91T,0.7175,5.15,0.0205,0.0088,17.3,0,good
58,sn1993J,IIb,0.8759,5.13,0.0136,0.0094,6.6,0,good
59,sn1999by,Ia-91bg,0.7013,5.1,0.0179,0.0095,41.9,0,good
60,sn2005cf,Ia-norm,0.9043,5.09,0.0166,0.0085,51.9,0,good
61,sn2000cx,Ia-pec,0.5876,5.06,0.021,0.0091,25.5,0,good
62,sn2005cs,IIP,0.8867,5.06,0.0,0.0,31.7,0,good
63,sn2002bo,Ia-norm,0.769,5.04,0.0117,0.01,82.9,0,good
64,sn1999em,IIP,0.9314,5.04,0.0097,0.0088,16.1,0,good
65,sn1994D,Ia-norm,0.8691,5.01,0.0192,0.0096,49.5,0,good
