SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,Sa,SLSN-I/2015bn/KAST phase-band : 9.68B,0.87568516,0.035302002,0.136,0.4,9.68,B,0.97556823,0.024431748,21.340118,0.039372914
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB5,Ia-norm/2011fe/STIS phase-band : -7.48B,0.058194123,0.0024746207,0.03,-0.6,-7.48,B,0.9983714,0.0016285479,21.493189,0.039437044
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,Ibn/2010al/X-Shooter phase-band : 2.82B,1.4182562,0.045933206,0.132,1.8,2.82,B,0.95395327,0.046046704,20.946857,0.039522372
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB3,SLSN-I/2015bn/EFOSC2-NTT phase-band : -20.66B,0.884063,0.0429314,0.138,0.2,-20.66,B,0.96434695,0.035653047,21.54635,0.039534587
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,Sa,SLSN-I/2015bn/EFOSC2-NTT phase-band : -6.66B,1.2711085,0.05307096,0.136,1.2,-6.66,B,0.953159,0.04684102,21.59161,0.039617635
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,II/2016bkv/FLOYDS-N phase-band : 5.88B,1.7137579,0.064905405,0.138,2.0,5.88,B,0.93145066,0.068549365,20.902739,0.039739046
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,IIb/1993J/BC-Ekar phase-band : -16.15B,1.5291461,0.12665908,0.118,2.0,-16.15,B,0.8606505,0.13934954,20.234976,0.03983263
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,Ia 99aa-like/1999aa/DIS phase-band : -6.0B,0.3341553,0.12180043,0.048,-1.4,-6.0,B,0.9503958,0.049604177,20.62079,0.04004037
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,Sa,SLSN-I/2015bn/EFOSC2-NTT phase-band : 0.34B,0.9862494,0.08029495,0.136,0.6,0.34,B,0.94142014,0.058579884,21.855186,0.04010126
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,SLSN-II/2013hx/EFOSC2-NTT phase-band : 0.02B,2.0402656,0.07465052,0.13,2.0,0.02,B,0.92071086,0.079289146,21.533993,0.040784076
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB2,super_chandra/2007if/SNIFS phase-band : -18.46B,1.7717985,0.14761533,0.148,2.0,-18.46,B,0.7638045,0.2361955,22.373713,0.04120389
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,SLSN-I/2017egm/ALFOSC phase-band : 10.32B,0.8840862,0.097479686,0.148,0.6,10.32,B,0.93412626,0.06587372,21.331005,0.041259196
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,TDE H/2019ahk/EFOSC2-NTT phase-band : u-,1.1165894,0.013975086,0.15,0.8,u,-,0.98937553,0.01062447,20.644135,0.041621238
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB1,Ia 99aa-like/iPTF14bdn/YFOSC phase-band : 10.22B,1.2579345,0.4539422,0.014,2.0,10.22,B,0.44233194,0.5576681,22.56498,0.0416328
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,II-flash/2013fs_early/ALFOSC phase-band : -2.79B,0.8641729,0.09753493,0.122,0.2,-2.79,B,0.9387639,0.061236106,21.110584,0.041638233
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,Ibn/PS1-12sk/ALFOSC phase-band : 3.87g,1.369306,0.24859218,0.114,2.0,3.87,g,0.7508132,0.2491868,21.79206,0.04166742
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,II/2013ej/BC-Asi phase-band : -3.61B,1.8851283,0.17069314,0.15,2.0,-3.61,B,0.8287991,0.17120086,21.059713,0.0417024
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,II/2012aw/ALFOSC phase-band : -5.74B,0.8843377,0.00355965,0.01,-0.4,-5.74,B,0.99797845,0.002021559,22.860144,0.04209971
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,IIb-flash/2013cu_early/ALFOSC phase-band : -3.99V,0.5808403,0.02142749,0.134,-1.0,-3.99,V,0.99149805,0.008501931,21.43362,0.04219217
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,SLSN-I/2017egm/ALFOSC phase-band : 5.35B,0.6411331,0.09209241,0.142,-0.2,5.35,B,0.9517295,0.04827053,22.047752,0.042481218
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,SLSN-Ib/2010md/KAST phase-band : 15.0B,1.9285063,0.019986587,0.112,2.0,15.0,B,0.9780778,0.021922197,22.963467,0.042603835
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB1,II/2012aw/AFOSC phase-band : 2.13B,1.4685278,0.2293766,0.01,2.0,2.13,B,0.6682547,0.3317453,23.311373,0.04277316
