SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,S0,Ia-norm/2011by/KAST phase-band : 5.25B,0.5107906,0.044157237,0.044,-0.6,5.25,B,0.97407585,0.02592416,12.218688,0.02279606
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,S0,Ia-norm/2011fe/STIS phase-band : 2.81B,0.026556594,0.06697624,0.042,-1.2,2.81,B,0.9666841,0.03331592,12.497225,0.022930687
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,E,Ia-norm/2009Y/Other phase-band : -5.64B,0.89759517,0.027018756,0.076,0.0,-5.64,B,0.9822211,0.017778886,11.620642,0.023102667
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,Sa,Ia-norm/2009Y/LRIS phase-band : 6.02B,1.5943512,0.1650784,0.054,2.0,6.02,B,0.7751384,0.22486164,12.637918,0.023188842
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,S0,Ia-norm/2012ht/KAST phase-band : 2.3B,0.5296123,0.09404276,0.046,0.0,2.3,B,0.9316438,0.06835621,12.468917,0.023262905
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,S0,Ia 99aa-like/1999aa/MARK-III phase-band : 8.0B,0.7794435,0.16708219,0.06,-0.4,8.0,B,0.89673173,0.103268236,11.819841,0.024072997
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,SB3,Ia-norm/2011fe/KAST phase-band : -16.69B,1.557324,0.10550116,0.068,1.8,-16.69,B,0.8395886,0.16041142,12.845012,0.02423587
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,S0,Ia-norm/2012cg/KAST phase-band : 9.55B,1.374973,0.13178004,0.042,2.0,9.55,B,0.82609165,0.17390838,13.048058,0.024252893
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,Sa,Ia-norm/2011fe/SNIFS phase-band : -14.61B,1.2216353,0.021724826,0.058,1.0,-14.61,B,0.9766386,0.023361405,13.502837,0.024775848
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,Sc,Ia-norm/2012cg/KAST phase-band : -13.49B,1.4067274,0.005369065,0.064,1.4,-13.49,B,0.99178773,0.008212255,13.147623,0.024900801
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,Sc,Ia-norm/2017erp/KAST phase-band : -4.69B,0.72638035,0.010938736,0.052,0.0,-4.69,B,0.9894922,0.010507798,13.602543,0.024958795
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,Sb,Ia-norm/2011fe/STIS phase-band : -0.47B,0.027054474,0.02051476,0.044,-2.0,-0.47,B,0.9923241,0.0076759076,13.728008,0.025189007
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,S0,Ia 91T-like/1991T/UV-Schmidt phase-band : 6.0B,1.3274375,0.21973184,0.042,2.0,6.0,B,0.72450775,0.27549225,13.769178,0.025264548
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,SB3,Ia-norm/2017erp/KAST phase-band : -10.69B,1.1304653,0.046818856,0.068,1.2,-10.69,B,0.9378113,0.062188655,13.945242,0.025776787
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,Sc,Ia-norm/2017erp/RSS phase-band : -16.99B,2.052817,0.10237018,0.082,2.0,-16.99,B,0.8237687,0.17623132,13.397547,0.025814155
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,E,Ia 99aa-like/1999aa/KAST phase-band : 0.0B,0.30541044,0.0008244184,0.048,-2.0,0.0,B,0.99972993,0.00027009202,14.204865,0.026063973
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,SB4,Ia-norm/2012fr/KAST phase-band : 8.26B,0.37183058,0.063463345,0.046,-1.0,8.26,B,0.9601631,0.0398369,13.972361,0.026067836
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,SB1,Ia-norm/2012fr/RSS phase-band : -14.19B,1.4754266,0.30089387,0.086,2.0,-14.19,B,0.5316113,0.46838868,13.582132,0.026169812
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,SB2,Ia-norm/2017erp/KAST phase-band : 4.36B,0.9502292,0.07942131,0.044,-1.0,4.36,B,0.9507411,0.049258877,11.884644,0.02635176
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,SB1,Ia-norm/2009ig/Other phase-band : -13.8B,1.0370654,0.26463553,0.084,2.0,-13.8,B,0.5739122,0.42608777,14.053987,0.026617398
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,Sa,Ia-norm/2009ig/KAST phase-band : -7.78B,0.44975603,0.0008552074,0.062,-1.2,-7.78,B,0.9995917,0.00040828087,14.313543,0.02680439
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,SB1,Ia-pec/2000cx/KAST phase-band : 4.0B,0.25119692,0.10676176,0.052,-1.8,4.0,B,0.9412916,0.05870845,14.761988,0.027086215
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,S0,super_chandra/2009dc/ALFOSC phase-band : 10.0B,1.0946198,0.07170385,0.032,0.0,10.0,B,0.94669145,0.053308543,14.915652,0.02736817
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,Sc,Ia 99aa-like/iPTF14bdn/YFOSC phase-band : 10.22B,0.61422306,0.094913654,0.038,-1.2,10.22,B,0.9402378,0.05976216,14.77881,0.027675673
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,Sa,super_chandra/2007if/SNIFS phase-band : -3.5B,0.9302126,0.009271202,0.03,-0.4,-3.5,B,0.9935127,0.006487306,15.313725,0.02809858
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,E,Ia-CSM-(ambigious)/2002ic/BC-duPont phase-band : 6.0B,1.6245985,0.03222692,0.03,0.8,6.0,B,0.9715094,0.0284906,15.027369,0.028514931
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,S0,Ia-norm/2012fr/KAST phase-band : -5.65B,0.27420038,0.08374965,0.06,-2.0,-5.65,B,0.9708224,0.029177582,15.416147,0.02886919
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,Sc,super_chandra/2007if/SNIFS phase-band : 1.52B,1.9232183,0.15395454,0.026,2.0,1.52,B,0.735673,0.264327,16.294603,0.029898353
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,SB1,Ib/2015ah/KAST phase-band : 4.47B,1.4949566,0.08057035,0.026,1.6,4.47,B,0.86416566,0.13583435,16.29797,0.029904531
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,E,IIb-flash/2013cu_early/AFOSC phase-band : -1.06V,0.9656275,0.010631501,0.134,-0.4,-1.06,V,0.99479485,0.005205127,14.789216,0.030059382
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,SB1,Ia 91T-like/2017pp/ALFOSC phase-band : 0.26B,1.336656,0.19395904,0.15,2.0,0.26,B,0.66027665,0.33972335,16.424603,0.030136887
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,Sa,Ic-BL/2018gep/FLOYDS-N phase-band : 4.24V,1.3933208,0.006478499,0.094,1.0,4.24,V,0.9934477,0.0065522543,15.883082,0.03025349
T2m3ws-20210922.165306-0008.p12_SN_binned.txt,E,Ibn/2005la/DEIMOS phase-band : -1.35B,1.4704021,0.09568692,0.024,1.0,-1.35,B,0.9071143,0.09288567,14.966773,0.030358566
