SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,Sc,Ia-norm/2009Y/Other phase-band : -5.64B,2.051656,0.008371694,0.024,1.6,-5.64,B,0.9892441,0.01075591,22.019592,0.042183127
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,SB3,Ia-norm/2012fr/RSS phase-band : -14.19B,2.6977875,0.015165879,0.04,2.0,-14.19,B,0.9794417,0.020558288,23.027878,0.043042764
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,SB1,Ia-norm/2009ig/Other phase-band : -13.8B,1.8511472,0.028113838,0.028,2.0,-13.8,B,0.95886505,0.04113493,23.648247,0.043391276
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,S0,Ia-pec/2013bh/HET-LRS phase-band : 13.0V,1.0926642,0.109868616,0.004,2.0,13.0,V,0.8641579,0.1358421,22.459003,0.044561516
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,Sc,Ib/2005bf/WFCCD phase-band : -31.0B,2.7861044,0.026087498,0.002,2.0,-31.0,B,0.96331495,0.036685057,23.343699,0.04471973
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,S0,Ia-pec/2013bh/HET-LRS phase-band : 19.0V,1.6708455,0.05191201,0.002,2.0,19.0,V,0.9327731,0.067226864,22.697744,0.045035206
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,S0,Ia-norm/2017erp/KAST phase-band : -4.69B,1.7860824,0.0020098349,0.0,2.0,-4.69,B,0.997616,0.0023840002,24.644447,0.04521917
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,S0,Ia-norm/2011fe/STIS phase-band : 2.81B,0.08227868,0.022087513,0.0,1.4,2.81,B,0.97883433,0.021165667,24.928347,0.045740083
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,S0,Ia 99aa-like/1999aa/MARK-III phase-band : 8.0B,1.9959855,0.114566036,0.012,1.6,8.0,B,0.89182246,0.108177535,22.28508,0.04575992
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,Sc,Ia-norm/2009Y/WFCCD phase-band : 12.36B,2.6340818,0.013484493,0.012,2.0,12.36,B,0.9801694,0.019830592,23.806461,0.04595842
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,S0,Ia-norm/2011fe/STIS phase-band : -10.61B,0.11810854,0.0033847995,0.0,1.0,-10.61,B,0.99710506,0.0028949461,25.053366,0.04596948
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,S0,Ia-norm/2011fe/STIS phase-band : -0.47B,0.07773162,0.010397712,0.0,0.4,-0.47,B,0.9926575,0.0073425057,25.078127,0.046014912
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,SB2,Ia-norm/2012fr/KAST phase-band : 8.26B,1.2509239,0.008497612,0.004,1.8,8.26,B,0.9877772,0.012222841,25.18069,0.046203103
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,SB1,Ibn/PS1-12sk/ALFOSC phase-band : 3.87g,1.8974648,0.014365836,0.078,1.8,3.87,g,0.98062634,0.019373668,24.76621,0.04629198
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,Sc,Ibn/2006jc/AFOSC phase-band : 3.0B,1.0284594,0.01397966,0.088,0.6,3.0,B,0.9878034,0.012196623,23.983408,0.046300013
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,SB6,Ia-norm/2009ig/KAST phase-band : -7.78B,1.1153743,0.0004466959,0.012,0.8,-7.78,B,0.9995824,0.00041757704,25.282839,0.04639053
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,SB1,Ia-norm/2011by/KAST phase-band : -2.77B,1.0972062,0.0020409864,0.0,0.8,-2.77,B,0.99793226,0.0020677687,25.408897,0.04662183
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,SB4,Ia 99aa-like/1999aa/ALFOSC phase-band : -10.0B,1.2481587,0.014117081,0.024,0.4,-10.0,B,0.9888227,0.0111773135,25.33626,0.046745867
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,Sa,Ia 99aa-like/1999aa/DIS phase-band : -6.0B,0.6415829,0.0007273068,0.014,-0.2,-6.0,B,0.9995554,0.00044458875,24.657595,0.046788607
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,E,Ia 91T-like/1991T/Other phase-band : -7.0B,1.2285647,0.1029786,0.146,2.0,-7.0,B,0.8968176,0.103182346,23.233095,0.046840917
T2m3ws-20220807.104858-0027.p12_SN_binned.txt,S0,II/2012aw/ALFOSC phase-band : -5.74B,1.9516535,0.0019935172,0.12,2.0,-5.74,B,0.9978084,0.0021916328,23.625834,0.046876654
