SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,Sa,Ia-norm/2011fe/STIS phase-band : -10.61B,0.02527599,0.18461774,0.016,-2.0,-10.61,B,0.9145813,0.08541869,10.511653,0.019287437
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,Sa,Ia-norm/2009Y/Other phase-band : -5.64B,0.90875775,0.50436693,0.042,2.0,-5.64,B,0.39526385,0.60473615,10.593156,0.020569235
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,SB5,Ia-norm/1994D/KAST phase-band : -10.8B,0.49422666,0.5488766,0.03,-0.2,-10.8,B,0.5541007,0.44589928,8.743042,0.020571865
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,E,Ia-norm/2017erp/KAST phase-band : -4.69B,0.7679394,0.49245447,0.018,2.0,-4.69,B,0.43934909,0.56065094,12.188581,0.022364369
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,E,Ia-norm/2011fe/STIS phase-band : -7.48B,0.022348514,0.32707775,0.014,-2.0,-7.48,B,0.8496512,0.15034881,13.364742,0.024522463
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,SB2,Ia-norm/2012cg/KAST phase-band : -8.44B,0.43900082,0.22027716,0.02,-1.8,-8.44,B,0.8680883,0.13191168,11.993177,0.024626648
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,E,Ia-norm/2011fe/STIS phase-band : -0.47B,0.02999453,0.54996,0.012,0.4,-0.47,B,0.51355207,0.48644796,13.702093,0.025141455
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,E,Ia-norm/2009ig/KAST phase-band : -7.78B,0.6532092,0.54526657,0.032,2.0,-7.78,B,0.41045836,0.5895417,13.839076,0.025439477
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,E,Ia-norm/2011fe/STIS phase-band : -13.69B,0.0988926,0.4510981,0.018,2.0,-13.69,B,0.46970856,0.53029144,13.900216,0.025504984
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,E,Ia-norm/2011by/KAST phase-band : -10.76B,0.6080217,0.41002783,0.016,0.8,-10.76,B,0.6062296,0.39377043,14.094601,0.025861653
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,Sb,Ia-norm/2011fe/STIS phase-band : 2.81B,0.034098122,0.58355635,0.01,2.0,2.81,B,0.334791,0.665209,14.155845,0.025974028
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,Sb,Ia-norm/2011by/KAST phase-band : -2.77B,0.37332803,0.47466493,0.014,0.2,-2.77,B,0.57095283,0.4290472,14.258397,0.026162198
T2m3ws-20230106.103716-0035.p12_SN_binned.txt,E,Ia-norm/2012fr/KAST phase-band : -5.65B,0.4207276,0.58272946,0.026,1.4,-5.65,B,0.42482093,0.5751791,14.392376,0.02640803
