# Template No. 1: sn2003jo x sn99ee (Ia-norm; +7)
#redshift correlation
 -0.0121102929 -0.0651647896
 -0.0107719898 -0.0618244708
 -0.00943183899 -0.0581893325
 -0.00808990002 -0.0541567504
 -0.0067461729 -0.0497449785
 -0.00540059805 -0.0450903773
 -0.00405317545 -0.0404128358
 -0.00270396471 -0.0359600037
 -0.00135290623 -0.0319464393
  0. -0.0285030436
  0.00135469437 -0.0256502014
  0.00271129608 -0.0233014189
  0.00406968594 -0.0212951656
  0.00542986393 -0.019446807
  0.00679194927 -0.0176067334
  0.00815594196 -0.0157085657
  0.00952172279 -0.0137948161
  0.0108892918 -0.0120115411
  0.0122587681 -0.0105726095
  0.0136300325 -0.00970100518
  0.0150033236 -0.00956193916
  0.0163782835 -0.0102045331
  0.01775527 -0.0115281017
  0.0191340446 -0.0132834027
  0.0205146074 -0.0151109099
  0.0218971968 -0.0166084021
  0.0232815742 -0.0174126588
  0.0246677399 -0.0172748789
  0.026055932 -0.016110044
  0.0274459124 -0.0140066464
  0.0288378 -0.0111919586
  0.030231595 -0.00795990042
  0.0316272974 -0.00457969448
  0.0330249071 -0.00120842492
  0.034424305  0.00216759951
  0.0358257294  0.00574523583
  0.0372289419  0.00986340735
  0.0386340618  0.0149160884
  0.0400412083  0.0212397445
  0.0414501429  0.0290037319
  0.0428609848  0.038133204
  0.0442737341  0.0482873097
  0.0456885099  0.0589025505
  0.0471050739  0.069293499
  0.0485236645  0.0787890777
  0.0499440432  0.0868704766
  0.0513664484  0.0932765082
  0.052790761  0.0980484709
  0.0542169809  0.101501279
  0.0556452274  0.104127035
  0.0570752621  0.106454052
  0.0585073233  0.108896941
  0.0599412918  0.111635767
  0.0613772869  0.114555337
  0.0628150702  0.117260389
  0.06425488  0.119162641
  0.0656967163  0.119617179
  0.06714046  0.118072726
  0.0685861111  0.114197783
  0.0700336695  0.107950233
  0.0714832544  0.099574998
  0.072934866  0.0895322189
  0.0743883848  0.0783779025
  0.0758439302  0.0666298643
  0.077301383  0.0546563603
  0.0787607431  0.0426155031
  0.080222249  0.030460773
  0.0816856623  0.0180069488
  0.0831509829  0.00503627863
  0.08461833 -0.00858836249
  0.0860877037 -0.0228361618
  0.087559104 -0.0374737382
  0.0890324116 -0.0520928279
  0.0905077457 -0.0661938116
  0.0919851065 -0.0793020129
  0.0934643745 -0.0910845399
  0.0949457884 -0.101435028
  0.0964291096 -0.110502765
  0.0979144573 -0.118656836
  0.0994018316 -0.126394406
  0.100891232 -0.134216279
  0.102382541 -0.142500103
  0.103875995 -0.151404664
  0.105371475 -0.160826027
  0.106868863 -0.170416027
  0.108368397 -0.179654807
  0.109869957 -0.18795751
  0.111373544 -0.19478789
  0.112879157 -0.199750766
  0.114386797 -0.202643886
  0.115896463 -0.203461662
  0.117408156 -0.202356026
  0.118921876 -0.199570909
  0.120437741 -0.195371106
  0.121955633 -0.189987227
  0.123475552 -0.183588028
  0.124997616 -0.176285475
  0.126521587 -0.168163687
  0.128047705 -0.159318835
  0.129575968 -0.149891987
  0.131106138 -0.140082195
  0.132638574 -0.13013275
  0.134172916 -0.120293625
  0.135709405 -0.11077024
  0.137248039 -0.101674788
  0.138788581 -0.0929937214
  0.140331388 -0.0845835209
  0.141876221 -0.0761952698
  0.14342308 -0.0675235316
  0.144972086 -0.058266148
  0.146523237 -0.0481803417
  0.148076534 -0.0371211059
  0.149631858 -0.0250551589
  0.151189208 -0.0120494766
  0.152748823  0.00175816857
  0.154310465  0.0161954053
  0.155874133  0.0310858935
  0.157440066  0.046265617
  0.159008026  0.0615819693
  0.160578251  0.0768800452
  0.162150502  0.0919838175
  0.163724899  0.106684275
  0.165301323  0.120742276
  0.166880012  0.133910209
  0.168460846  0.145968914
  0.170043826  0.156770349
  0.171628833  0.166273549
  0.173216105  0.174562708
  0.174805403  0.18183817
  0.176396966  0.18838118
  0.177990675  0.194498956
  0.17958653  0.200463012
  0.18118453  0.20645535
  0.182784677  0.212535635
  0.184387088  0.21863623
  0.185991526  0.22458443
  0.187598228  0.230144426
  0.189207077  0.235065266
  0.190818191  0.239122272
  0.192431331  0.242141217
  0.194046736  0.244000763
  0.195664406  0.244616255
  0.197284222  0.243914127
  0.198906183  0.241808087
  0.200530291  0.238188326
  0.202156782  0.23292917
  0.2037853  0.225915313
  0.205416083  0.217078686
  0.207049131  0.2064358
  0.208684325  0.194112346
  0.210321784  0.180346176
  0.211961389  0.165465564
  0.213603258  0.149845779
  0.215247393  0.133854076
  0.216893673  0.117795721
  0.218542218  0.101872854
  0.220193028  0.0861660391
  0.221845984  0.0706400946
  0.223501325  0.0551716872
  0.225158811  0.0395888202
  0.226818562  0.0237133838
  0.228480577  0.00739583792
  0.230144739 -0.00946351793
  0.231811285 -0.0269084536
  0.233480096 -0.0449323431
  0.235151052 -0.0634896308
  0.236824393 -0.0825067312
  0.23849988 -0.101887934
  0.240177751 -0.121513598
  0.241857767 -0.141233012
  0.243540168 -0.160855025
  0.245224833 -0.180141687
  0.246911764 -0.198808208
  0.24860096 -0.216530383
  0.25029254 -0.232959554
  0.251986265 -0.2477424
  0.253682375 -0.260541052
  0.25538075 -0.27105245
  0.257081389 -0.279025018
  0.258784413 -0.284272522
  0.260489702 -0.286686659
  0.262197375 -0.286249161
  0.263907313 -0.28304261
  0.265619516 -0.277258366
  0.267334104 -0.269197911
  0.269050956 -0.25926289
  0.270770192 -0.247932181
  0.272491693 -0.235724941
  0.274215579 -0.223152906
  0.27594173 -0.210668236
  0.277670264 -0.198615655
  0.279401183 -0.18719691
  0.281134486 -0.176453814
  0.282870054 -0.166273147
  0.284607887 -0.156411543
  0.286348224 -0.146534652
  0.288090825 -0.136263549
  0.28983593 -0.125219867
  0.2915833 -0.113063931
  0.293332934 -0.0995212942
  0.295085073 -0.0843989626
  0.296839595 -0.0675917938
  0.298596382 -0.0490831695
  0.300355673 -0.02894192
  0.302117229 -0.00731731672
  0.303881288  0.0155684473
  0.305647612  0.0394313745
  0.307416439  0.0639420301
  0.309187651  0.0887462422
  0.310961246  0.113488808
  0.312737226  0.137836322
  0.314515591  0.161495313
  0.316296339  0.18422097
  0.318079591  0.205815524
  0.319865227  0.226117849
  0.321653247  0.244987652
  0.32344377  0.262290269
  0.325236678  0.277886868
  0.32703197  0.29163456
  0.328829765  0.303395331
  0.330629945  0.313051254
  0.332432508  0.320519567
  0.334237576  0.325762272
  0.336045146  0.328785479
  0.337855101  0.329627663
  0.339667559  0.328339845
  0.341482401  0.324965477
  0.343299747  0.319525272
  0.345119476  0.312015742
  0.346941829  0.30242157
  0.348766565  0.290739864
  0.350593686  0.277009666
  0.352423429  0.261335969
  0.354255557  0.243899941
  0.356090188  0.224951029
  0.357927322  0.204780638
  0.35976696  0.183685675
  0.361608982  0.161932766
  0.363453627  0.139736071
  0.365300775  0.117256925
  0.367150307  0.0946287662
  0.369002461  0.0720009208
  0.370857  0.0495887548
  0.372714162  0.0277124625
  0.374573827  0.00680960715
  0.376435995 -0.0125890728
  0.378300667 -0.0299209338
  0.380167842 -0.0446796827
  0.38203764 -0.0565104783
  0.383909941 -0.0652900785
  0.385784745 -0.0711700767
  0.387662053 -0.0745709017
  0.389541984 -0.0761248991
  0.391424417 -0.0765797719
