#wavelength[A] flux[arbitraty]
  6798.83496  0.724268377
  6808.04492  0.302099198
  6817.26807 -0.240524098
  6826.50391  0.305056185
  6835.75146 -0.0222494695
  6845.01221 -0.0209539551
  6854.28516  0.473587781
  6863.5708  0.237914234
  6872.86914  0.45192185
  6882.18018 -0.0480403602
  6891.50342  0.357568949
  6900.83936  0.410108775
  6910.18799  0.355725467
  6919.5498  0.363315552
  6928.92383  0.550631225
  6938.31006  0.138257354
  6947.70996  0.402320176
  6957.12207  0.0457082838
  6966.54688  0.271397382
  6975.98438  0.201767311
  6985.43506 -0.0040627406
  6994.89844 -0.0377151556
  7004.37402  0.650436163
  7013.86328  0.322540551
  7023.36572  0.611877143
  7032.88037  0.751965642
  7042.40723  0.386671603
  7051.94824  0.740643859
  7061.50195 -0.128792048
  7071.06787  0.512399137
  7080.64746 -0.212884665
  7090.23975  0.0482508093
  7099.84473 -0.288703352
  7109.46338 -0.0828651711
  7119.09424  0.0672677234
  7128.73877  0.134385288
  7138.396 -0.266832322
  7148.06689 -0.387358516
  7157.75 -0.0598674156
  7167.44727 -0.178346828
  7177.15674  0.137172759
  7186.87988 -0.224054694
  7196.61572 -0.124974087
  7206.36523  0.13856554
  7216.12793 -0.412606925
  7225.90381 -0.332925797
  7235.69336 -0.421810776
  7245.49512 -0.499369651
  7255.31104 -0.163081571
  7265.13965 -0.0697192326
  7274.98242 -0.0173416398
  7284.83789 -0.137293637
  7294.70654 -0.195115477
  7304.58936 -0.312185585
  7314.48486  0.42544201
  7324.39404 -0.559852481
  7334.31641 -0.0167326462
  7344.25244 -0.243032768
  7354.20166 -0.253324449
  7364.16455 -0.285184056
  7374.14062 -0.70806849
  7384.13086 -0.240150988
  7394.13428 -0.689786434
  7404.15088 -0.403995186
  7414.18164 -0.369270772
  7424.22559 -0.381749034
  7434.28369 -0.341945916
  7444.35498 -0.638691902
  7454.43994 -0.339781553
  7464.53857 -0.109877735
  7474.65088 -0.667384028
  7484.77686  0.27548033
  7494.91699  0.0232582744
  7505.0708 -0.013549217
  7515.23779 -0.299956799
  7525.41846 -0.521925092
  7535.61377 -0.00464754086
  7545.82227 -0.0351235569
  7556.04443  0.284898281
  7566.28076  0.448496044
  7576.53125 -0.328328252
  7586.79492 -0.204332799
  7597.07324 -0.710404456
  7607.36523 -0.748823404
  7617.6709  0.157496139
  7627.99072 -0.347506374
  7638.32471 -0.768697321
  7648.67236 -0.100296281
  7659.03418 -0.0386815779
  7669.41016 -0.0381110609
  7679.7998 -0.588510275
  7690.20361 -0.259660661
  7700.62207 -0.498718828
  7711.0542  0.181246907
  7721.50049 -0.233654171
  7731.96094  0.574279845
  7742.43555  0.511788726
  7752.9248  0.100411728
  7763.42773 -0.698994815
  7773.94482 -0.0673897564
  7784.47607 -0.41955179
  7795.02197  0.340141058
  7805.58252  0.247467801
  7816.15674  0.263695598
  7826.74512 -0.124437518
  7837.34814  0.142813653
  7847.96533 -0.22494489
  7858.59766 -0.035738606
  7869.24365 -0.32241711
  7879.9043 -0.0785783753
  7890.5791 -0.17666328
  7901.26855  0.00979703106
  7911.97314  1.79982197
  7922.69092 -0.112609476
  7933.42432  0.932338715
  7944.17188 -0.0232350659
  7954.93408  0.327880114
  7965.71094  0.458848834
  7976.50195  0.103666864
  7987.30811  0.360463351
  7998.12842  0.0463136882
  8008.96387  0.617709816
  8019.81396  0.872837126
  8030.67822  0.435709536
  8041.55762  0.089075774
  8052.45166  0.12207216
  8063.36035  0.0101999063
  8074.28418 -0.161095783
  8085.22217 -0.0231203008
  8096.17578 -0.557054162
  8107.14355  0.027262805
  8118.12646  0.264422148
  8129.12451  0.114893764
  8140.13721 -0.0662597567
  8151.16455 -0.181076482
  8162.20703 -0.350838333
  8173.26465 -0.0610229559
  8184.33691  0.182294279
  8195.4248 -0.424111307
  8206.52734 -0.311410338
  8217.64453  0.127243459
  8228.77734 -0.149806485
  8239.9248 -0.168805793
  8251.08789 -0.282272696
  8262.26562  0.0859756768
  8273.45898 -0.541908264
  8284.66699  1.04713416
  8295.89062  0.246292412
  8307.12891 -0.568867505
  8318.38281 -0.758251429
  8329.65234 -0.408661693
  8340.93652  0.17998375
  8352.23633 -0.10275723
  8363.55078 -0.337110281
  8374.88086 -0.501183033
  8386.22656  0.148221195
  8397.58789  0.378784448
  8408.96387  0.699496567
  8420.35547  0.667339504
  8431.7627 -0.301651508
  8443.18555  0.566359341
  8454.62402  0.513808966
  8466.07715  0.122761361
  8477.54688  0.0714778528
  8489.03223  0.299148887
  8500.53223  0.825651526
  8512.04785  0.605724573
  8523.5791  0.132318333
  8535.12598 -0.0175054725
  8546.68848  0.234518304
  8558.26758 -0.0965024158
  8569.86133  0.0449036919
  8581.4707  0.157728732
  8593.09668 -0.0222130176
  8604.7373  0.113497496
  8616.39453 -0.303403437
  8628.06738 -0.0463821515
  8639.75684  0.0542927608
  8651.45996  0.167806625
  8663.18066 -0.286887884
  8674.91699 -0.0272003934
  8686.66992 -0.0941354409
  8698.4375 -0.0548797287
  8710.2207 -0.177665606
  8722.02051 -0.101795301
  8733.83691 -0.0499750935
  8745.66895 -0.0301208142
  8757.5166 -0.00548218889
  8769.38086 -0.0772667453
  8781.26074 -0.0411947966
  8793.15723 -0.0304316729
  8805.06934 -0.0478231795
  8816.99707  0.0096913334
  8828.94238  0.0179096647
  8840.90332 -0.0146883903
  8852.87988 -0.00425202725
  8864.87305 -0.00217015343
  8876.88281  0.000476544519
  8888.9082  0.000620189996
  8900.9502  0.
  8913.00879  0.
