,SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
0,T2m3ws-20211026.115233-0056.p12_SN_binned.txt,SB1,SLSN-I/2017egm/SPRAT phase-band : -10.67B,0.15891387,0.8559872,0.132,2.0,-10.67,B,0.040430564,0.95956945,9.096425,0.021056538
1,T2m3ws-20211026.115233-0056.p12_SN_binned.txt,SB1,SLSN-I/2017egm/SPRAT phase-band : -5.69B,0.15190609,0.85701996,0.132,2.0,-5.69,B,0.039663967,0.960336,9.129913,0.021134058
2,T2m3ws-20211026.115233-0056.p12_SN_binned.txt,SB1,Ic-BL/2002ap/FOSC phase-band : -5.31B,0.19703242,0.8657111,0.126,2.0,-5.31,B,0.034089904,0.9659101,9.052937,0.021201257
3,T2m3ws-20211026.115233-0056.p12_SN_binned.txt,SB1,SLSN-I/LSQ14an/FORS2 phase-band : 409.0V,0.104113705,0.87978387,0.102,2.0,409.0,V,0.024625747,0.9753743,9.788459,0.022196053
4,T2m3ws-20211026.115233-0056.p12_SN_binned.txt,SB2,SLSN-I/2015bn/IMACS phase-band : 37.34B,0.5294064,0.6635236,0.084,1.4,37.34,B,0.21194412,0.7880559,10.25461,0.022292629
5,T2m3ws-20211026.115233-0056.p12_SN_binned.txt,SB1,IIb/2011fu/AFOSC phase-band : -9.0B,0.5139712,0.7769756,0.094,2.0,-9.0,B,0.10226163,0.89773834,10.286376,0.022657216
6,T2m3ws-20211026.115233-0056.p12_SN_binned.txt,SB2,Ic/2019bkc/Goodman phase-band : 0.37g,0.53374493,0.7125522,0.15,1.6,0.37,g,0.14898127,0.8510187,9.956153,0.022782957
7,T2m3ws-20211026.115233-0056.p12_SN_binned.txt,SB2,Ia-rapid/2002bj/LRIS phase-band : 6.31B,0.5064946,0.52506804,0.01,0.0,6.31,B,0.47022516,0.52977484,11.119123,0.022973396
8,T2m3ws-20211026.115233-0056.p12_SN_binned.txt,SB2,IIb-flash/2013cu_early/AFOSC phase-band : -1.06V,0.31908956,0.5154535,0.094,-1.4,-1.06,V,0.6054923,0.39450774,11.308961,0.023413997
9,T2m3ws-20211026.115233-0056.p12_SN_binned.txt,E,IIb/1993J/KAST phase-band : -18.0B,1.4160768,0.5896265,0.15,2.0,-18.0,B,0.48828593,0.51171404,9.985508,0.02344016
10,T2m3ws-20211026.115233-0056.p12_SN_binned.txt,E,SLSN-II/2008es/HET-LRS phase-band : -13.0B,1.1838313,0.48542365,0.15,1.4,-13.0,B,0.60769194,0.39230806,11.449731,0.023754628
