,SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
0,T2m3ws-20211027.130833-0058.p12_SN_binned.txt,E,Ia 99aa-like/1999aa/MARK-III phase-band : 8.0B,0.616185,0.014632082,0.09,-1.2,8.0,B,0.99363124,0.006368754,7.4671493,0.015556561
1,T2m3ws-20211027.130833-0058.p12_SN_binned.txt,SB2,Ia-norm/2013dy/HET-LRS phase-band : 6.24B,0.69895285,0.0010846672,0.076,0.6,6.24,B,0.9983821,0.001617903,7.0474353,0.015730882
2,T2m3ws-20211027.130833-0058.p12_SN_binned.txt,E,Ia-pec/2013bh/HET-LRS phase-band : 3.0V,0.92840517,0.009243033,0.088,1.0,3.0,V,0.99044716,0.009552843,7.9059668,0.01674993
3,T2m3ws-20211027.130833-0058.p12_SN_binned.txt,Sa,Ia-pec/2013bh/HET-LRS phase-band : 13.0V,0.3425489,0.08656304,0.076,-0.6,13.0,V,0.9428546,0.05714544,7.991894,0.016789693
4,T2m3ws-20211027.130833-0058.p12_SN_binned.txt,Sc,Ia-norm/2013dy/HET-LRS phase-band : 15.45B,0.8921115,0.22490983,0.066,2.0,15.45,B,0.5982796,0.40172043,7.7217665,0.017045842
5,T2m3ws-20211027.130833-0058.p12_SN_binned.txt,E,Ia-norm/2012fr/RSS phase-band : -14.19B,1.7258154,0.020568218,0.118,1.8,-14.19,B,0.97330743,0.026692592,8.8758,0.017472047
6,T2m3ws-20211027.130833-0058.p12_SN_binned.txt,S0,Ia-norm/2009Y/WFCCD phase-band : 12.36B,1.58927,0.15856153,0.086,2.0,12.36,B,0.77687544,0.22312458,8.705011,0.01776533
7,T2m3ws-20211027.130833-0058.p12_SN_binned.txt,S0,Ia-norm/2012fr/KAST phase-band : 8.26B,0.28154784,0.02819369,0.078,-1.6,8.26,B,0.98803407,0.011965932,9.388893,0.017883604
8,T2m3ws-20211027.130833-0058.p12_SN_binned.txt,E,Ia-pec/2013bh/HET-LRS phase-band : -2.0V,1.1315197,0.016962001,0.092,1.2,-2.0,V,0.98128515,0.018714825,8.407772,0.017888876
9,T2m3ws-20211027.130833-0058.p12_SN_binned.txt,E,Ia-norm/2009Y/Other phase-band : -5.64B,0.83869654,0.015153147,0.112,0.0,-5.64,B,0.98990667,0.0100933155,8.790098,0.017938977
10,T2m3ws-20211027.130833-0058.p12_SN_binned.txt,S0,Ic-BL/2002ap/FOSC phase-band : -5.31B,2.1643093,0.037791573,0.15,1.4,-5.31,B,0.95634866,0.043651327,7.877007,0.018066531
