,SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
42,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,II-flash/2014G_early/BC-Asi phase-band : -5.09B,0.7606329,0.0054391455,0.134,-1.4,-5.09,B,0.99675506,0.0032449558,8.359383,0.016014144
43,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB3,SLSN-I/2017egm/SPRAT phase-band : -10.67B,0.14358252,0.82226413,0.138,-1.2,-10.67,B,0.31056216,0.6894378,6.9901886,0.0160694
44,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB3,II/1999br/BC-duPont phase-band : 5.0B,0.9733021,0.45981777,0.048,1.4,5.0,B,0.43084145,0.56915855,8.166395,0.01607558
45,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB3,SLSN-I/2017egm/SPRAT phase-band : -5.69B,0.14254571,0.82996804,0.138,-1.0,-5.69,B,0.28182533,0.71817464,7.01657,0.016130045
46,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,Ic/2014L/BFOSC phase-band : -9.0B,1.4744513,0.35366416,0.034,1.8,-9.0,B,0.4628161,0.5371839,8.269569,0.016151503
47,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,IIn/2008fq/LDSS-3 phase-band : -2.0B,1.8994448,0.23005278,0.054,2.0,-2.0,B,0.5903226,0.4096774,8.327187,0.016169295
48,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,S0,Ia 99aa-like/1999aa/ALFOSC phase-band : -10.0B,0.3222295,0.2619984,0.126,-2.0,-10.0,B,0.9050446,0.0949554,8.199244,0.016172078
49,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB2,Ic-BL/1998bw/DFOSC phase-band : 2.0B,1.0681396,0.29875752,0.132,1.4,2.0,B,0.53747267,0.4625273,8.200637,0.016174825
50,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,Ic-BL/PTF10vgv/HET-LRS phase-band : 2.0R,0.5048993,0.6600338,0.054,2.0,2.0,R,0.14522715,0.85477287,7.3800654,0.016184354
51,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB6,Ic-BL/2006aj/FORS2 phase-band : 5.03B,1.3842921,0.017499622,0.15,0.8,5.03,B,0.97929925,0.02070074,8.402633,0.016190045
52,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,II/2012aw/EFOSC2-NTT phase-band : 20.38B,1.0089033,0.36850706,0.044,1.4,20.38,B,0.46532068,0.5346793,8.325181,0.01619685
53,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,Sc,II-flash/2014G_early/BC-Asi phase-band : -6.87B,0.49403766,0.1496336,0.134,-2.0,-6.87,B,0.93167406,0.06832593,8.455027,0.016197369
54,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,Sa,IIb/1993J/BC-Ekar phase-band : -16.15B,0.39578676,8.8411914e-05,0.14,-2.0,-16.15,B,0.9999717,2.831914e-05,8.149575,0.016299149
55,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,IIn/2008fq/WFCCD phase-band : 3.0B,1.4905543,0.3926829,0.04,2.0,3.0,B,0.38981506,0.61018497,8.235314,0.01633991
56,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,Ib/2005bf/WFCCD phase-band : -31.0B,0.2851777,0.41073433,0.052,-1.8,-31.0,B,0.7205332,0.2794668,8.227748,0.016357351
57,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,Ia-02cx like/2002cx/LRIS phase-band : 54.28B,0.7823489,0.619189,0.04,2.0,54.28,B,0.18057112,0.81942886,7.5166836,0.016376216
58,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,TDE H+He/2016fnl/DBSP phase-band : -1.04g,0.8689003,0.3317687,0.04,0.8,-1.04,g,0.569329,0.43067095,8.32322,0.016416607
59,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB3,II/1999em/LRIS phase-band : 122.25B,0.027844753,0.9576178,0.04,-2.0,122.25,B,0.13872223,0.86127776,8.1801195,0.016558945
60,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,Sa,SLSN-I/2017egm/KAST phase-band : -18.39B,0.24439435,0.4390429,0.044,-2.0,-18.39,B,0.7912737,0.20872632,8.881464,0.016569896
61,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB3,II-flash/iPTF15crj_early/GMOS phase-band : u-,0.58196485,0.4574613,0.034,0.4,u,-,0.5230656,0.47693437,8.488722,0.01661198
62,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,Sc,Ia 91T-like/1991T/Other phase-band : -13.0B,0.46030927,0.321691,0.038,-1.2,-13.0,B,0.76614064,0.23385936,8.890387,0.016617544
63,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,Sc,TDE H+He/ASASSN-14li/DIS phase-band : 9.91B,0.067898124,0.6997983,0.038,-2.0,9.91,B,0.39303234,0.6069677,8.465395,0.016664162
64,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,Sc,Ia-02cx like/2005hk/DIS phase-band : -5.9B,0.35895684,0.15441412,0.042,-2.0,-5.9,B,0.92126065,0.078739345,8.751713,0.01666993
