,SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
0,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sc,IIn/2008fq/WFCCD phase-band : 3.0B,0.6236291,0.11009187,0.042,-0.8,3.0,B,0.9068577,0.09314225,5.4041553,0.01072253
1,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sc,IIn/2008fq/LDSS-3 phase-band : -2.0B,0.50674605,0.14508419,0.092,-1.4,-2.0,B,0.90639424,0.093605734,5.4164143,0.010811206
2,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sc,IIn/2008fq/WFCCD phase-band : 10.0B,0.7187957,0.18740557,0.042,-0.2,10.0,B,0.79641235,0.20358767,5.4566884,0.010826763
3,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,II/2013ej/DEIMOS phase-band : -1.15B,0.3411569,0.7211472,0.06,0.8,-1.15,B,0.24970649,0.7502935,4.696999,0.010974296
4,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ic-BL/2006aj/FORS2 phase-band : 11.01B,0.6303508,0.7085206,0.064,2.0,11.01,B,0.17859644,0.82140356,4.754596,0.01100601
5,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ia-CSM-(ambigious)/2002ic/BC-duPont phase-band : 6.0B,0.23807448,0.5276698,0.074,-2.0,6.0,B,0.7031339,0.29686615,5.6319046,0.01102134
6,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,IIb/2013df/DEIMOS phase-band : -14.0B,0.1495658,0.6934263,0.052,-1.2,-14.0,B,0.46207887,0.53792113,4.731745,0.011029708
7,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ia-norm/2013dy/HET-LRS phase-band : -5.74B,0.14388564,0.54096586,0.07,-2.0,-5.74,B,0.7109911,0.28900892,4.9758396,0.011032904
8,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ia-norm/2013dy/DEIMOS phase-band : -15.38B,0.42934605,0.7098153,0.056,1.2,-15.38,B,0.22595906,0.77404094,4.7239337,0.011037228
9,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ia-norm/2013dy/HET-LRS phase-band : 6.24B,0.10314788,0.65727174,0.068,-1.6,6.24,B,0.5531846,0.44681537,5.021102,0.011108632
10,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ib/2005bf/WFCCD phase-band : -19.0B,0.4106379,0.73151374,0.062,1.4,-19.0,B,0.19866972,0.80133027,5.5445776,0.011111378
11,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ic-BL/2006aj/FORS2 phase-band : 3.04B,0.52749974,0.6529971,0.09,1.2,3.04,B,0.29771516,0.7022849,4.790963,0.0111159235
12,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,IIb/2013df/HET-LRS phase-band : -8.0B,0.37918848,0.5881188,0.066,0.4,-8.0,B,0.41491887,0.58508116,5.027112,0.01112193
13,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,II-flash/iPTF14flu_early/DEIMOS phase-band : u-,0.14081438,0.7456179,0.064,-1.2,u,-,0.4081395,0.5918605,4.8067756,0.011126796
14,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ia 91T-like/2018hfr/KAST phase-band : u-,0.55537343,0.65865874,0.064,2.0,u,-,0.21587637,0.7841236,5.7795305,0.011135897
15,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ia-norm/2009Y/WFCCD phase-band : 12.36B,0.38798532,0.78442,0.066,2.0,12.36,B,0.13695584,0.86304414,5.54763,0.011139819
16,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,S0,II/1999br/BC-duPont phase-band : 5.0B,0.544083,0.7509685,0.054,2.0,5.0,B,0.1732758,0.8267242,5.6372614,0.011140834
17,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,S0,TDE H+He/2016fnl/DBSP phase-band : -1.04g,0.36939076,0.59666777,0.04,0.0,-1.04,g,0.44272992,0.5572701,5.6496377,0.01114327
18,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ib/2005bf/WFCCD phase-band : -23.0B,0.32523084,0.6808682,0.066,0.2,-23.0,B,0.33786988,0.6621301,5.552398,0.011149394
19,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ia 99aa-like/iPTF14bdn/YFOSC phase-band : 10.22B,0.11089923,0.7505688,0.068,-2.0,10.22,B,0.4583043,0.5416957,5.840623,0.011167539
20,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,II/2013ej/HET-LRS phase-band : -2.61B,0.14547771,0.5911906,0.066,-1.6,-2.61,B,0.62327963,0.3767204,5.047798,0.011167696
21,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ia 91bg-like/2005bl/WFCCD phase-band : -6.87B,0.6607693,0.69932896,0.066,2.0,-6.87,B,0.1929299,0.80707014,5.5857763,0.011171553
22,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,S0,Ia-02cx like/2010ae/GMOS-S phase-band : 4.0B,0.7697567,0.6724129,0.06,2.0,4.0,B,0.2270495,0.7729505,5.7836285,0.011186902
23,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ib/2005bf/WFCCD phase-band : -31.0B,0.31020603,0.77007586,0.066,1.0,-31.0,B,0.19792272,0.8020773,5.5732903,0.011191346
24,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,Ia 91bg-like/2005bl/WFCCD phase-band : -3.87B,0.6309664,0.68868804,0.058,2.0,-3.87,B,0.19112726,0.80887276,5.6326303,0.011198072
25,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,S0,II/2013fs/ALFOSC phase-band : 6.24B,0.28753784,0.46190467,0.124,-1.8,6.24,B,0.7820439,0.21795614,5.6726003,0.011210673
26,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,Sa,IIb/2008aq/KAST phase-band : -5.28B,0.4982635,0.73579085,0.062,2.0,-5.28,B,0.1606053,0.8393947,4.845452,0.011216324
27,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,S0,Ia 99aa-like/iPTF14bdn/YFOSC phase-band : -10.66B,0.15762486,0.68541247,0.088,-2.0,-10.66,B,0.5964805,0.40351954,5.8292227,0.011231642
28,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,SB4,IIn/2008fq/KAST phase-band : 11.17B,1.501422,0.11968736,0.126,1.4,11.17,B,0.79403526,0.20596473,5.800507,0.0112412935
29,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,S0,Ia-norm/2011by/KAST phase-band : 5.25B,0.15002377,0.76885945,0.086,-0.2,5.25,B,0.34027737,0.6597226,5.8624845,0.01125237
30,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,S0,Ia 99aa-like/1999aa/DIS phase-band : -6.0B,0.08059486,0.751068,0.112,-2.0,-6.0,B,0.5604593,0.43954068,5.541498,0.0112632075
31,OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN_binned.txt,S0,IIb-flash/2013cu_early/AFOSC phase-band : -1.06V,0.20550513,0.677605,0.124,-2.0,-1.06,V,0.65419775,0.34580222,5.5779243,0.011268534
