,SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
29,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB3,Ic/2014L/BFOSC phase-band : -9.0B,1.9298128,0.21556257,0.03,2.0,-9.0,B,0.6444999,0.35550013,8.399746,0.016502447
30,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB2,II/iPTF14flu/ALFOSC phase-band : u-,1.8136209,0.064116314,0.134,1.8,u,-,0.85725635,0.14274365,8.764844,0.016537443
31,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-pec/2000cx/KAST phase-band : 5.0B,0.28073883,0.28653893,0.11,-0.6,5.0,B,0.7430277,0.25697234,8.741899,0.016588043
32,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB4,Ic-BL/1998bw/DFOSC phase-band : -5.6B,1.0572141,0.21497375,0.15,0.6,-5.6,B,0.7552464,0.24475363,8.528833,0.01659306
33,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-norm/2011fe/KAST phase-band : -16.69B,0.70359254,0.23261136,0.096,0.4,-16.69,B,0.7290027,0.2709973,8.654953,0.016612193
34,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-pec/2000cx/KAST phase-band : 4.0B,0.18846829,0.26127955,0.11,-1.6,4.0,B,0.828746,0.17125396,8.758725,0.016619971
35,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-pec/2000cx/KAST phase-band : 0.4B,0.39004907,0.23219487,0.112,-0.2,0.4,B,0.7687334,0.23126663,8.833271,0.01663516
36,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB3,Ia-pec/2013bh/HET-LRS phase-band : 3.0V,0.44065836,0.46617627,0.106,0.6,3.0,V,0.48963994,0.51036006,7.7418656,0.016649174
37,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB6,IIn/2008fq/LDSS-3 phase-band : -2.0B,2.380769,0.0032708196,0.05,2.0,-2.0,B,0.9931797,0.0068203025,8.619458,0.016672065
38,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB3,Ia-CSM/2005gj/DEIMOS phase-band : 76.05g,1.9900647,0.21449445,0.044,2.0,76.05,g,0.65014136,0.34985867,8.403821,0.016707398
39,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-pec/2013bh/HET-LRS phase-band : 13.0V,0.13011372,0.45942086,0.056,-1.6,13.0,V,0.65895486,0.34104514,8.179809,0.016900431
40,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB6,IIn/2008fq/WFCCD phase-band : 3.0B,2.3835242,0.020203244,0.022,2.0,3.0,B,0.9572246,0.042775378,8.675995,0.016978463
41,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia 99aa-like/iPTF14bdn/YFOSC phase-band : -10.66B,0.3541881,0.20047635,0.094,-2.0,-10.66,B,0.8941056,0.10589437,8.786737,0.016995624
42,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ibn/2005la/DEIMOS phase-band : -1.35B,0.35212597,0.27528343,0.002,-1.8,-1.35,B,0.8326313,0.16736868,8.588276,0.017385174
43,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB1,Ic-BL/2006aj/FORS2 phase-band : 3.04B,0.91075546,0.3299295,0.0,1.0,3.04,B,0.5464148,0.4535852,8.160983,0.017400816
44,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sb,IIb/1993J/BC-Ekar phase-band : -16.15B,0.4166684,0.0025731665,0.15,-1.8,-16.15,B,0.9991194,0.00088060874,8.765376,0.017672129
45,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,SLSN-II/2008es/HET-LRS phase-band : -6.0B,0.42979905,0.3527201,0.148,-1.8,-6.0,B,0.8056032,0.19439681,8.522502,0.017681539
46,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB3,SLSN-I/2017egm/SPRAT phase-band : -10.67B,0.29747435,0.5428966,0.15,-1.6,-10.67,B,0.65658987,0.34341016,7.7697916,0.017698841
47,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-CSM/2017eby/EFOSC2-NTT phase-band : u-,1.6673279,0.06273011,0.036,1.2,u,-,0.9025731,0.09742691,9.394277,0.01772505
48,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB3,SLSN-I/2017egm/SPRAT phase-band : -5.69B,0.27428827,0.5378282,0.15,-1.8,-5.69,B,0.68100744,0.31899253,7.8092947,0.017788826
49,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-rapid/2002bj/LRIS phase-band : 6.31B,0.47527975,0.30537698,0.026,-1.0,6.31,B,0.76266664,0.23733337,8.787112,0.017859984
50,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB1,Ia-norm/2013dy/HET-LRS phase-band : -5.74B,0.37450048,0.30892617,0.014,-0.6,-5.74,B,0.7168426,0.2831574,8.674225,0.018300053
