type,ntemp,fraction,slope,redshift,redshift_error,age,age_error
Ia,704,1.0,0.0,0.0657,0.0058,-1.5,4.577
Ia-norm,633,0.9,0.008,0.0659,0.0058,-1.5,4.624
Ia-91T,61,0.09,-0.0062,0.0645,0.004,-1.0,4.072
Ia-91bg,8,0.01,-0.0045,0.0692,0.0034,-6.9,2.726
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ia-pec,2,0.0,0.0,0.0694,0.0012,-3.05,2.051
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0
II,0,0.0,0.0,0.0,0.0,0.0,0.0
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0
