type,ntemp,fraction,slope,redshift,redshift_error,age,age_error
Ia,8,0.22,-0.0764,0.1816,0.0104,5.75,9.039
Ia-norm,4,0.11,-0.0601,0.1837,0.0037,2.35,4.839
Ia-91T,3,0.08,-0.0118,0.1775,0.0031,9.9,7.055
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ia-pec,1,0.03,-0.0017,0.2081,0.0,23.4,0.0
Ib,5,0.14,-0.0383,0.174,0.0072,452.1,280.636
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIb,5,0.14,-0.0383,0.174,0.0072,452.1,280.636
Ic,1,0.03,0.0,0.1883,0.0,18.7,0.0
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-broad,1,0.03,0.0,0.1883,0.0,18.7,0.0
II,21,0.58,0.1395,0.188,0.0068,0.8,268.65
IIP,10,0.28,0.1253,0.1836,0.0044,-1.65,1.785
II-pec,9,0.25,0.0195,0.1936,0.0025,441.3,233.338
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0
IIL,2,0.06,-0.0063,0.1788,0.0006,10.4,0.707
NotSN,1,0.03,-0.0017,0.1882,0.0,0.0,0.0
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0
Gal,1,0.03,-0.0017,0.1882,0.0,0.0,0.0
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0
