type,ntemp,fraction,slope,redshift,redshift_error,age,age_error
Ia,867,1.0,0.0001,0.0392,0.0069,-0.9,5.212
Ia-norm,807,0.93,0.0047,0.0393,0.0069,-1.0,5.187
Ia-91T,50,0.06,-0.0041,0.0388,0.0051,0.45,4.969
Ia-91bg,4,0.0,-0.0003,0.0347,0.0048,-1.85,3.783
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ia-pec,6,0.01,-0.0008,0.0373,0.0075,6.75,5.561
Ib,2,0.0,0.0,0.0334,0.0031,-2.05,3.465
Ib-norm,2,0.0,0.0,0.0334,0.0031,-2.05,3.465
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0
II,0,0.0,0.0,0.0,0.0,0.0,0.0
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0
