type,ntemp,fraction,slope,redshift,redshift_error,age,age_error
Ia,732,0.93,0.0241,0.3821,0.0054,1.1,15.532
Ia-norm,642,0.82,0.0489,0.3824,0.0053,1.25,16.397
Ia-91T,54,0.07,-0.0126,0.3788,0.0047,-0.1,3.82
Ia-91bg,13,0.02,-0.0051,0.3798,0.008,3.3,9.781
Ia-csm,1,0.0,-0.0,0.3764,0.0,5.6,0.0
Ia-pec,22,0.03,-0.0058,0.3802,0.0051,-0.35,8.504
Ib,34,0.04,-0.0228,0.3948,0.0037,36.2,22.266
Ib-norm,7,0.01,-0.0035,0.3941,0.0054,37.7,27.128
Ib-pec,6,0.01,-0.0014,0.3943,0.0022,27.75,29.141
IIb,21,0.03,-0.0018,0.3951,0.0034,36.7,19.736
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0
II,19,0.02,-0.0121,0.3789,0.0079,114.8,86.294
IIP,14,0.02,-0.001,0.3784,0.0024,116.9,44.782
II-pec,1,0.0,0.0004,0.368,0.0,-82.7,0.0
IIn,3,0.0,-0.0001,0.3926,0.0027,241.3,162.167
IIL,1,0.0,-0.0,0.3998,0.0,71.6,0.0
NotSN,1,0.0,-0.0,0.3888,0.0,0.0,0.0
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0
Gal,1,0.0,-0.0,0.3888,0.0,0.0,0.0
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0
