type,ntemp,fraction,slope,redshift,redshift_error,age,age_error
Ia,14,0.06,0.0017,0.0067,0.0004,62.05,38.935
Ia-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ia-91T,0,0.0,0.0,0.0,0.0,0.0,0.0
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0
Ia-csm,14,0.06,0.0017,0.0067,0.0004,62.05,38.935
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0
II,192,0.88,-0.0931,0.0058,0.0045,265.1,177.701
IIP,44,0.2,-0.0152,0.0061,0.0027,211.4,124.326
II-pec,94,0.43,-0.0441,0.0056,0.0008,311.9,184.958
IIn,44,0.2,-0.0108,0.0083,0.007,103.4,135.522
IIL,10,0.05,-0.005,0.0059,0.0058,0.0,0.0
NotSN,12,0.06,0.0893,0.0062,0.0004,0.0,0.0
AGN,1,0.0,0.035,0.0063,0.0,0.0,0.0
Gal,7,0.03,0.0392,0.0062,0.0003,0.0,0.0
LBV,4,0.02,0.0075,0.0068,0.0005,0.0,0.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0
