type,ntemp,fraction,slope,redshift,redshift_error,age,age_error
Ia,1484,0.86,-0.0307,0.1822,0.0091,6.3,31.649
Ia-norm,1196,0.69,-0.0527,0.1826,0.0093,6.5,33.489
Ia-91T,158,0.09,-0.0123,0.1824,0.0087,6.7,25.105
Ia-91bg,97,0.06,0.0265,0.1758,0.0064,2.3,18.86
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ia-pec,33,0.02,-0.0034,0.1833,0.0067,7.3,16.762
Ib,100,0.06,-0.0032,0.1848,0.0111,19.4,142.088
Ib-norm,15,0.01,-0.0004,0.189,0.0069,64.4,116.871
Ib-pec,32,0.02,0.0031,0.1742,0.009,-3.15,32.363
IIb,53,0.03,-0.0067,0.1949,0.011,152.6,151.182
Ic,128,0.07,0.0243,0.18,0.0105,15.7,79.37
Ic-norm,69,0.04,0.0169,0.1765,0.0093,12.9,50.817
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-broad,59,0.03,0.0072,0.1863,0.0111,20.7,95.8
II,19,0.01,-0.0022,0.1755,0.0088,27.7,208.593
IIP,4,0.0,-0.0001,0.1785,0.014,71.5,240.465
II-pec,7,0.0,-0.0,0.1755,0.0057,-79.6,245.153
IIn,3,0.0,-0.0011,0.1793,0.0063,42.2,0.0
IIL,5,0.0,0.0006,0.1692,0.0087,57.2,20.365
NotSN,1,0.0,0.0002,0.1855,0.0,0.0,0.0
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0
Gal,1,0.0,0.0002,0.1855,0.0,0.0,0.0
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0
