type,ntemp,fraction,slope,redshift,redshift_error,age,age_error
Ia,847,1.0,0.0001,0.0462,0.0059,-0.8,5.091
Ia-norm,797,0.94,0.0063,0.0462,0.006,-0.9,5.063
Ia-91T,36,0.04,-0.0077,0.0463,0.0036,1.45,4.623
Ia-91bg,5,0.01,-0.0014,0.0435,0.0027,-3.0,3.321
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ia-pec,9,0.01,-0.0028,0.0483,0.0039,-1.6,8.145
Ib,1,0.0,0.0,0.0301,0.0,-2.0,0.0
Ib-norm,1,0.0,0.0,0.0301,0.0,-2.0,0.0
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0
II,0,0.0,0.0,0.0,0.0,0.0,0.0
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0
