type,ntemp,fraction,slope,redshift,redshift_error,age,age_error
Ia,299,0.92,0.02,0.0422,0.005,18.3,11.821
Ia-norm,196,0.6,0.0522,0.0426,0.0049,18.0,11.695
Ia-91T,36,0.11,-0.0039,0.0411,0.0028,25.0,8.064
Ia-91bg,52,0.16,-0.0051,0.0421,0.0044,9.95,10.545
Ia-csm,6,0.02,0.0,0.0364,0.0021,38.95,5.792
Ia-pec,9,0.03,0.0181,0.037,0.007,14.3,7.453
Ib,13,0.04,-0.0052,0.0357,0.0058,4.6,5.463
Ib-norm,1,0.0,0.0,0.0559,0.0,0.4,0.0
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIb,12,0.04,-0.004,0.0357,0.002,5.05,5.471
Ic,6,0.02,-0.0013,0.0469,0.0079,12.05,6.873
Ic-norm,6,0.02,-0.0013,0.0469,0.0079,12.05,6.873
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0
II,7,0.02,0.0002,0.0286,0.0026,39.5,20.604
IIP,7,0.02,0.0002,0.0286,0.0026,39.5,20.604
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0
